station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -7.14, None, None, 2021-01-01 00:00:00, -7.1, None, -6999.0, -7.1, -7.6, 0.3, -1.0, -6999.0, None, None, 85.0, 85.1
None, None, -6.93, None, None, 2021-01-01 01:00:00, -6.9, None, -6999.0, -6.9, -7.6, None, None, -6999.0, None, None, None, 86.1
None, None, -6.77, None, None, 2021-01-01 02:00:00, -6.8, None, -6999.0, -6.8, -7.6, 0.9, -1.0, -6999.0, None, None, 85.0, 85.0
None, None, -6.47, None, None, 2021-01-01 03:00:00, -6.5, None, -6999.0, -6.5, -7.6, 0.9, 2.0, -6999.0, None, None, 86.0, 86.3
None, None, -6.24, None, None, 2021-01-01 04:00:00, -6.2, None, -6999.0, -6.2, -7.6, 0.8, 3.0, -6999.0, None, None, 89.0, 89.2
None, None, -6.143, None, None, 2021-01-01 05:00:00, -6.1, None, -6999.0, -6.1, -7.6, 0.7, 2.0, -6999.0, None, None, 90.0, 90.4
None, None, -6.11, None, None, 2021-01-01 06:00:00, -6.1, None, -6999.0, -6.1, -7.6, None, None, -6999.0, None, None, None, 90.6
None, None, -6.04, None, None, 2021-01-01 07:00:00, -6.0, None, -6999.0, -6.0, -6.1, 0.4, 1.0, -6999.0, None, None, 91.0, 90.9
None, None, -5.98, None, None, 2021-01-01 08:00:00, -6.0, None, -6999.0, -6.0, -6.1, 0.3, 1.0, -6999.0, None, None, 91.0, 91.4
None, None, -5.94, None, None, 2021-01-01 09:00:00, -5.9, None, -6999.0, -5.9, -6.1, 0.6, 0.0, -6999.0, None, None, 92.0, 91.5
None, None, -5.76, None, None, 2021-01-01 10:00:00, -5.8, None, -6999.0, -5.8, -6.1, 0.4, 1.0, -6999.0, None, None, 92.0, 92.2
None, None, -5.43, None, None, 2021-01-01 11:00:00, -5.4, None, -6999.0, -5.4, -6.1, None, None, -6999.0, None, None, None, 93.0
None, None, -5.049, None, None, 2021-01-01 12:00:00, -5.0, None, -6999.0, -5.0, -6.1, 0.2, 0.0, -6999.0, None, None, 93.0, 93.1
None, None, -4.776, None, None, 2021-01-01 13:00:00, -4.8, None, -6999.0, -4.8, -6.1, None, None, -6999.0, None, None, None, 92.9
None, None, -4.534, None, None, 2021-01-01 14:00:00, -4.5, None, -6999.0, -4.5, -6.1, 0.3, 1.0, -6999.0, None, None, 94.0, 93.6
None, None, -4.48, None, None, 2021-01-01 15:00:00, -4.5, None, -6999.0, -4.5, -6.1, None, None, -6999.0, None, None, None, 93.5
None, None, -4.33, None, None, 2021-01-01 16:00:00, -4.3, None, -6999.0, -4.3, -6.1, 0.2, 0.0, -6999.0, None, None, 93.0, 93.4
None, None, -4.56, None, None, 2021-01-01 17:00:00, -4.3, None, -6999.0, -4.6, -6.1, 0.2, 1.0, -6999.0, None, None, 94.0, 93.6
None, None, -4.66, None, None, 2021-01-01 18:00:00, -4.3, None, -6999.0, -4.7, -6.1, None, None, -6999.0, None, None, None, 93.8
None, None, -4.78, None, None, 2021-01-01 19:00:00, -4.6, None, -6999.0, -4.8, -4.8, 0.0, 1.0, -6999.0, None, None, 94.0, 94.2
None, None, -4.79, None, None, 2021-01-01 20:00:00, -4.6, None, -6999.0, -4.8, -4.8, 0.1, 0.0, -6999.0, None, None, 94.0, 93.8
