station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW
0.0, -2.688, 93.4, -2.4, 93.0, -4.0, -2.7, -3.5, -4.0, 0.0, 0.0, 2021-01-01 00:00:00, 8.0, 8.24
0.0, -3.036, 94.5, -2.4, 95.0, -4.0, -3.0, -3.5, -4.0, 0.0, 0.0, 2021-01-01 01:00:00, 8.0, 8.09
0.0, -3.163, 94.1, -2.4, 94.0, -4.0, -3.2, -3.6, -4.0, 0.0, 0.0, 2021-01-01 02:00:00, 8.0, 7.968
0.0, -3.666, 94.8, -2.4, 95.0, -5.0, -3.7, -3.8, -5.0, 0.0, 0.0, 2021-01-01 03:00:00, 8.0, 7.876
0.0, -3.496, 95.3, -2.4, 95.0, -4.0, -3.5, -3.9, -4.0, 0.0, 0.0, 2021-01-01 04:00:00, 8.0, 7.846
0.0, -3.61, 94.8, -2.4, 95.0, -4.0, -3.6, -3.9, -4.0, 0.0, 0.0, 2021-01-01 05:00:00, 8.0, 7.821
0.0, -2.929, 95.1, -2.4, 95.0, -3.0, -2.9, -3.9, -3.0, 0.0, 1.0, 2021-01-01 06:00:00, 8.0, 8.09
0.0, -2.422, 95.5, -2.4, 96.0, -3.0, -2.4, -3.0, -3.0, 0.0, 0.0, 2021-01-01 07:00:00, 8.0, 8.07
0.0, -2.34, 95.2, -2.0, 95.0, -3.0, -2.3, -3.0, -3.0, 0.0, 0.0, 2021-01-01 08:00:00, 8.0, 7.941
0.0, -2.395, 95.2, -2.0, 95.0, -3.0, -2.4, -3.0, -3.0, 0.0, 0.0, 2021-01-01 09:00:00, 8.0, 7.985
0.4, -0.913, 95.0, -0.7, 95.0, -2.0, -0.9, -3.0, -2.0, 0.4, 1.0, 2021-01-01 10:00:00, 8.0, 8.29
None, -1.241, 92.2, -0.7, 92.0, -2.0, -1.2, -3.0, -2.0, -0.4, 0.0, 2021-01-01 11:00:00, 8.0, 7.875
None, -0.454, 91.9, -0.2, 92.0, -2.0, -0.5, -3.0, -2.0, 0.0, 0.0, 2021-01-01 12:00:00, 8.0, 7.975
None, -0.079, 94.6, 0.0, 95.0, -1.0, -0.1, -3.0, -1.0, 1.0, 0.0, 2021-01-01 13:00:00, 8.0, 7.899
None, 0.091, 95.4, 0.2, 95.0, 0.0, 0.1, -3.0, 0.0, 1.0, 0.0, 2021-01-01 14:00:00, 8.0, 7.89
