station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
0.0, -13.31, 90.6, -11.2, 91.0, -14.0, -13.3, -13.3, 1006.0, 0.0, -14.0, 908.0, 0.0, 2021-01-01 00:00:00, 44.0, 43.57, 908.0
0.0, -13.33, 90.3, -11.2, 90.0, -14.0, -13.3, -13.4, 1004.8, 0.0, -14.0, 907.0, 0.0, 2021-01-01 01:00:00, 44.0, 43.56, 907.0
0.0, -13.22, 90.5, -11.2, 91.0, -14.0, -13.2, -13.4, 1003.7, 0.0, -14.0, 906.0, 0.0, 2021-01-01 02:00:00, 44.0, 43.62, 906.0
0.0, -12.96, 90.5, -11.2, 91.0, -14.0, -13.0, -13.4, 1002.7, 0.0, -14.0, 905.0, 0.0, 2021-01-01 03:00:00, 44.0, 43.67, 905.0
0.0, -12.65, 90.8, -11.2, 91.0, -14.0, -12.7, -13.4, 1000.5, 0.0, -14.0, 903.0, 0.0, 2021-01-01 04:00:00, 44.0, 43.68, 903.0
0.0, -12.37, 91.1, -11.2, 91.0, -13.0, -12.4, -13.4, 1000.5, 0.0, -13.0, 903.0, 1.0, 2021-01-01 05:00:00, 44.0, 44.04, 903.0
0.0, -12.12, 90.9, -11.2, 91.0, -13.0, -12.1, -13.4, 999.4, 0.0, -13.0, 902.0, 1.0, 2021-01-01 06:00:00, 45.0, 44.94, 902.0
0.0, -11.25, 91.9, -11.3, 92.0, -12.0, -11.3, -12.1, 998.3, 0.0, -12.0, 901.0, 0.0, 2021-01-01 07:00:00, 45.0, 45.04, 901.0
0.0, -10.71, 92.4, -10.7, 92.0, -12.0, -10.7, -12.1, 996.0, 0.0, -12.0, 899.0, 0.0, 2021-01-01 08:00:00, 45.0, 44.69, 899.0
0.2, -10.39, 92.3, -10.3, 92.0, -11.0, -10.4, -12.1, 996.1, 0.2, -11.0, 899.0, 0.0, 2021-01-01 09:00:00, 45.0, 44.83, 899.0
None, -11.17, 91.6, -10.3, 92.0, -12.0, -11.2, -12.1, 995.1, -0.2, -12.0, 898.0, 0.0, 2021-01-01 10:00:00, 45.0, 44.72, 898.0
None, -10.39, 93.7, -10.3, 94.0, -11.0, -10.4, -12.1, 993.9, 0.3, -11.0, 897.0, 0.0, 2021-01-01 11:00:00, 45.0, 44.85, 897.0
None, -9.33, 92.7, -9.4, 93.0, -10.0, -9.3, -12.1, 992.7, 0.7, -10.0, 896.0, 0.0, 2021-01-01 12:00:00, 45.0, 44.96, 896.0
None, -8.64, 92.1, -8.7, 92.0, -10.0, -8.6, -12.1, 991.5, 0.0, -10.0, 895.0, 0.0, 2021-01-01 13:00:00, 45.0, 45.1, 895.0
None, -8.26, 92.7, -8.3, 93.0, -9.0, -8.3, -12.1, 990.4, 0.0, -9.0, 894.0, 1.0, 2021-01-01 14:00:00, 46.0, 46.04, 894.0
None, -8.17, 93.3, -8.2, 93.0, -9.0, -8.2, -12.1, 989.2, 0.0, -9.0, 893.0, 1.0, 2021-01-01 15:00:00, 47.0, 46.61, 893.0
None, -7.73, 94.4, -7.7, 94.0, -8.0, -7.7, -12.1, 988.0, 1.0, -8.0, 892.0, 1.0, 2021-01-01 16:00:00, 47.0, 47.25, 892.0
None, -7.653, 94.6, -7.6, 95.0, -8.0, -7.7, -12.1, 988.0, 0.0, -8.0, 892.0, 1.0, 2021-01-01 17:00:00, 48.0, 47.63, 892.0
None, -7.725, 94.3, -7.6, 94.0, -8.0, -7.7, -12.1, 986.9, 1.0, -8.0, 891.0, 1.0, 2021-01-01 18:00:00, 48.0, 47.9, 891.0
None, -7.872, 94.3, -7.7, 94.0, -9.0, -7.9, -7.9, 986.8, 0.0, -9.0, 891.0, 1.0, 2021-01-01 19:00:00, 48.0, 48.47, 891.0
None, -8.09, 94.2, -7.7, 94.0, -9.0, -8.1, -8.1, 986.7, 1.0, -9.0, 891.0, 1.0, 2021-01-01 20:00:00, 49.0, 49.03, 891.0
None, -8.31, 94.1, -7.7, 94.0, -9.0, -8.3, -8.3, 985.6, 0.0, -9.0, 890.0, 0.0, 2021-01-01 21:00:00, 49.0, 49.07, 890.0
None, -8.81, 93.9, -7.7, 94.0, -10.0, -8.8, -8.8, 985.8, 0.0, -10.0, 890.0, 0.0, 2021-01-01 22:00:00, 49.0, 49.0, 890.0
None, -9.12, 93.5, -7.7, 94.0, -10.0, -9.1, -9.1, 985.7, 0.0, -10.0, 890.0, 0.0, 2021-01-01 23:00:00, 49.0, 48.99, 890.0
None, -10.1, 92.3, -7.7, 92.0, -11.0, -10.1, -10.1, 984.6, 0.0, -11.0, 889.0, 0.0, 2021-01-02 00:00:00, 49.0, 49.0, 889.0
None, -11.1, 91.3, -7.7, 91.0, -12.0, -11.1, -11.1, 983.5, 0.0, -12.0, 888.0, 0.0, 2021-01-02 01:00:00, 49.0, 49.0, 888.0
None, -11.26, 90.2, -7.7, 90.0, -12.0, -11.3, -11.2, 983.5, 0.0, -12.0, 888.0, 0.0, 2021-01-02 02:00:00, 49.0, 48.81, 888.0
None, -11.39, 90.9, -7.7, 91.0, -12.0, -11.4, -11.7, 983.5, 0.0, -12.0, 888.0, 0.0, 2021-01-02 03:00:00, 49.0, 48.92, 888.0
None, -11.39, 91.4, -7.7, 91.0, -12.0, -11.4, -11.7, 983.5, 0.0, -12.0, 888.0, -1.0, 2021-01-02 04:00:00, 48.0, 48.21, 888.0
None, -11.37, 91.1, -7.7, 91.0, -12.0, -11.4, -11.7, 982.4, 0.0, -12.0, 887.0, 2.0, 2021-01-02 05:00:00, 49.0, 49.36, 887.0
None, -11.78, 90.7, -7.7, 91.0, -13.0, -11.8, -11.8, 982.4, 0.5, -13.0, 887.0, 0.0, 2021-01-02 06:00:00, 50.0, 49.51, 887.0
None, -12.75, 89.8, -11.8, 90.0, -14.0, -12.8, -12.7, 981.4, 0.3, -14.0, 886.0, 0.0, 2021-01-02 07:00:00, 49.0, 49.35, 886.0
