station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -6.605, None, 2021-01-01 00:00:00, -3.6, None, -6999.0, -6.6, -6.6, 0.6, -1.0, -6999.0, None, None, 46.0, 46.28
None, None, -6.28, None, 2021-01-01 01:00:00, -3.6, None, -6999.0, -6.3, -6.8, 0.5, 2.0, -6999.0, None, None, 47.0, 47.48
None, None, -6.389, None, 2021-01-01 02:00:00, -3.6, None, -6999.0, -6.4, -6.8, 0.8, 1.0, -6999.0, None, None, 48.0, 48.17
None, None, -6.489, None, 2021-01-01 03:00:00, -3.6, None, -6999.0, -6.5, -6.8, 0.8, 1.0, -6999.0, None, None, 49.0, 48.71
None, None, -6.56, None, 2021-01-01 04:00:00, -3.6, None, -6999.0, -6.6, -6.8, 0.8, 2.0, -6999.0, None, None, 50.0, 49.72
None, None, -6.419, None, 2021-01-01 05:00:00, -3.6, None, -6999.0, -6.4, -6.8, 0.8, 3.0, -6999.0, None, None, 52.0, 51.83
None, None, -6.37, None, 2021-01-01 06:00:00, -3.6, None, -6999.0, -6.4, -6.8, 1.2, 3.0, -6999.0, None, None, 54.0, 54.37
None, None, -6.258, None, 2021-01-01 07:00:00, -6.2, None, -6999.0, -6.3, -6.4, 0.9, 2.0, -6999.0, None, None, 56.0, 56.23
None, None, -6.07, None, 2021-01-01 08:00:00, -6.1, None, -6999.0, -6.1, -6.4, 0.2, 1.0, -6999.0, None, None, 57.0, 56.56
None, None, -5.87, None, 2021-01-01 09:00:00, -5.9, None, -6999.0, -5.9, -6.4, 0.4, 1.0, -6999.0, None, None, 57.0, 56.99
None, None, -5.704, None, 2021-01-01 10:00:00, -5.7, None, -6999.0, -5.7, -6.4, 0.0, 0.0, -6999.0, None, None, 57.0, 56.74
None, None, -5.216, None, 2021-01-01 11:00:00, -5.2, None, -6999.0, -5.2, -6.4, 0.2, 1.0, -6999.0, None, None, 57.0, 57.17
None, None, -4.947, None, 2021-01-01 12:00:00, -5.0, None, -6999.0, -4.9, -6.4, 0.3, 0.0, -6999.0, None, None, 57.0, 57.39
None, None, -4.734, None, 2021-01-01 13:00:00, -4.7, None, -6999.0, -4.7, -6.4, 0.7, 1.0, -6999.0, None, None, 58.0, 57.92
None, None, -4.551, None, 2021-01-01 14:00:00, -4.5, None, -6999.0, -4.6, -6.4, 0.8, 2.0, -6999.0, None, None, 59.0, 59.14
None, None, -4.326, None, 2021-01-01 15:00:00, -4.3, None, -6999.0, -4.3, -6.4, 0.5, 1.0, -6999.0, None, None, 59.0, 59.47
None, None, -4.207, None, 2021-01-01 16:00:00, -4.1, None, -6999.0, -4.2, -6.4, 0.3, 0.0, -6999.0, None, None, 59.0, 59.45
None, None, -4.435, None, 2021-01-01 17:00:00, -4.1, None, -6999.0, -4.4, -6.4, 0.4, 0.0, -6999.0, None, None, 60.0, 59.68
None, None, -4.48, None, 2021-01-01 18:00:00, -4.1, None, -6999.0, -4.5, -6.4, 0.3, 1.0, -6999.0, None, None, 61.0, 60.56
None, None, -4.87, None, 2021-01-01 19:00:00, -4.5, None, -6999.0, -4.9, -5.0, 0.1, 0.0, -6999.0, None, None, 60.0, 60.44
11.2, None, -4.889, None, 2021-01-01 20:00:00, -4.5, None, -6999.0, -4.9, -5.0, 0.0, -2.0, -6999.0, None, None, 59.0, 58.69
11.2, None, -5.51, None, 2021-01-01 21:00:00, -4.5, None, -6999.0, -5.5, -5.5, 0.0, 0.0, -6999.0, None, None, 59.0, 58.73
11.0, None, -5.597, None, 2021-01-01 22:00:00, -4.5, None, -6999.0, -5.6, -5.6, 0.0, 0.0, -6999.0, None, None, 59.0, 58.75
10.5, None, -5.51, None, 2021-01-01 23:00:00, -4.5, None, -6999.0, -5.5, -5.9, 0.1, 0.0, -6999.0, None, None, 59.0, 58.53
9.9, None, -5.71, None, 2021-01-02 00:00:00, -4.5, None, -6999.0, -5.7, -5.9, 0.0, 0.0, -6999.0, None, None, 58.0, 58.41
9.4, None, -4.956, None, 2021-01-02 01:00:00, -4.5, None, -6999.0, -5.0, -5.9, 0.0, 2.0, -6999.0, None, None, 60.0, 59.54
9.1, None, -4.865, None, 2021-01-02 02:00:00, -4.5, None, -6999.0, -4.9, -5.9, 0.5, 0.0, -6999.0, None, None, 60.0, 59.66
8.8, None, -4.708, None, 2021-01-02 03:00:00, -4.5, None, -6999.0, -4.7, -5.9, 0.5, 1.0, -6999.0, None, None, 60.0, 60.09
8.0, None, -4.79, None, 2021-01-02 04:00:00, -4.5, None, -6999.0, -4.8, -5.9, 0.0, -1.0, -6999.0, None, None, 59.0, 59.14
7.2, None, -4.913, None, 2021-01-02 05:00:00, -4.5, None, -6999.0, -4.9, -5.9, 0.0, 0.0, -6999.0, None, None, 59.0, 58.66
6.0, None, -4.77, None, 2021-01-02 06:00:00, -4.5, None, -6999.0, -4.8, -5.9, 0.0, 0.0, -6999.0, None, None, 59.0, 58.86
5.1, None, -4.87, None, 2021-01-02 07:00:00, -4.8, None, -6999.0, -4.9, -5.0, 0.1, -1.0, -6999.0, None, None, 58.0, 57.76
4.9, None, -4.95, None, 2021-01-02 08:00:00, -4.8, None, -6999.0, -5.0, -5.0, 0.1, 1.0, -6999.0, None, None, 58.0, 58.02
4.7, None, -4.74, None, 2021-01-02 09:00:00, -4.7, None, -6999.0, -4.7, -5.0, 0.2, 2.0, -6999.0, None, None, 59.0, 59.12
4.7, None, -4.56, None, 2021-01-02 10:00:00, -4.5, None, -6999.0, -4.6, -5.0, 0.0, 0.0, -6999.0, None, None, 59.0, 58.75
4.9, None, -4.359, None, 2021-01-02 11:00:00, -4.3, None, -6999.0, -4.4, -5.0, 0.4, 1.0, -6999.0, None, None, 60.0, 59.5
5.5, None, -4.032, None, 2021-01-02 12:00:00, -4.0, None, -6999.0, -4.0, -5.0, 0.9, 3.0, -6999.0, None, None, 62.0, 62.23
4.8, None, -3.03, None, 2021-01-02 13:00:00, -3.1, None, -6999.0, -3.0, -5.0, 0.1, 0.0, -6999.0, None, None, 62.0, 61.75
4.3, None, -2.667, None, 2021-01-02 14:00:00, -1.9, None, -6999.0, -2.7, -5.0, 0.3, 0.0, -6999.0, None, None, 61.0, 61.31
3.8, None, -3.296, None, 2021-01-02 15:00:00, -1.9, None, -6999.0, -3.3, -5.0, 0.0, 0.0, -6999.0, None, None, 61.0, 60.89
None, None, -3.261, None, 2021-01-02 16:00:00, -1.9, None, -6999.0, -3.3, -5.0, None, None, -6999.0, None, None, None, 61.15
None, None, -2.93, None, 2021-01-02 17:00:00, -1.9, None, -6999.0, -2.9, -5.0, 0.1, 0.0, -6999.0, None, None, 61.0, 60.72
None, None, -2.917, None, 2021-01-02 18:00:00, -1.9, None, -6999.0, -2.9, -5.0, 0.0, -2.0, -6999.0, None, None, 59.0, 58.94
None, None, -1.685, None, 2021-01-02 19:00:00, -1.6, None, -6999.0, -1.7, -3.0, None, None, -6999.0, None, None, None, 60.24
None, None, -1.487, None, 2021-01-02 20:00:00, -1.4, None, -6999.0, -1.5, -3.0, None, None, -6999.0, None, None, None, 60.3
None, None, -0.948, None, 2021-01-02 21:00:00, -0.8, None, -6999.0, -0.9, -3.0, 0.0, 2.0, -6999.0, None, None, 62.0, 61.89
None, None, -0.328, None, 2021-01-02 22:00:00, -0.2, None, -6999.0, -0.3, -3.0, None, None, -6999.0, None, None, None, 62.02
None, None, -0.518, None, 2021-01-02 23:00:00, -0.2, None, -6999.0, -0.5, -3.0, None, None, -6999.0, None, None, None, 61.97
None, None, -0.483, None, 2021-01-03 00:00:00, -0.2, None, -6999.0, -0.5, -3.0, 0.1, 0.0, -6999.0, None, None, 62.0, 61.89
None, None, -0.129, None, 2021-01-03 01:00:00, -0.1, None, -6999.0, -0.1, -3.0, 0.2, 0.0, -6999.0, None, None, 62.0, 61.91
None, None, 0.042, None, 2021-01-03 02:00:00, 0.1, None, -6999.0, 0.0, -3.0, 0.2, 0.0, -6999.0, None, None, 62.0, 61.98
None, None, 0.115, None, 2021-01-03 03:00:00, 0.3, None, -6999.0, 0.1, -3.0, 0.4, None, -6999.0, None, None, None, 61.66
None, None, 0.107, None, 2021-01-03 04:00:00, 0.3, None, -6999.0, 0.1, -3.0, 0.6, 0.0, -6999.0, None, None, 61.0, 61.35
None, None, 0.113, None, 2021-01-03 05:00:00, 0.4, None, -6999.0, 0.1, -3.0, None, None, -6999.0, None, None, None, 60.88
None, None, 0.03, None, 2021-01-03 06:00:00, 0.4, None, -6999.0, 0.0, -3.0, 0.0, 0.0, -6999.0, None, None, 61.0, 60.83
None, None, -0.032, None, 2021-01-03 07:00:00, 0.0, None, -6999.0, 0.0, -0.2, 0.0, 0.0, -6999.0, None, None, 60.0, 60.41
None, None, 0.049, None, 2021-01-03 08:00:00, 0.1, None, -6999.0, 0.0, -0.2, 1.3, 1.0, -6999.0, None, None, 61.0, 60.84
None, None, 0.039, None, 2021-01-03 09:00:00, 0.1, None, -6999.0, 0.0, -0.2, None, None, -6999.0, None, None, None, 60.78
None, None, 0.06, None, 2021-01-03 10:00:00, 0.1, None, -6999.0, 0.1, -0.2, 0.0, 1.0, -6999.0, None, None, 61.0, 61.28
