CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, -2.815, 97.7, None, None, None, 8.4, 12.87, -2.0, 3.434, 229.7, -3.0, 3.4, -2.8, -2.9, None, 230.0, -1.5, 98.0, None,2020-10-21 00:00:00, 7.0, 7.129,43
None, -3.137, 97.5, None, None, None, 7.2, 14.94, 2.0, 1.731, 236.5, -3.0, 1.7, -3.1, -3.1, None, 237.0, -1.5, 98.0, None,2020-10-21 01:00:00, 8.0, 8.15,43
None, -3.149, 97.5, None, None, None, 8.8, 28.32, 1.0, 0.469, 254.7, -3.0, 0.5, -3.1, -3.2, None, 255.0, -1.5, 98.0, None,2020-10-21 02:00:00, 9.0, 8.95,43
None, -3.499, 97.4, None, None, None, 0.0, 22.19, 1.0, 0.0, 257.4, -4.0, 0.0, -3.5, -3.5, None, 257.0, -1.5, 97.0, None,2020-10-21 03:00:00, 9.0, 9.39,43
None, -3.603, 97.2, None, None, None, 10.5, 27.11, 0.0, 1.436, 248.8, -4.0, 1.4, -3.6, -3.6, None, 249.0, -1.5, 97.0, None,2020-10-21 04:00:00, 9.0, 9.13,43
None, -3.536, 97.3, None, None, None, 6.6, 22.24, 2.0, 1.117, 241.3, -4.0, 1.1, -3.5, -3.6, None, 241.0, -1.5, 97.0, None,2020-10-21 05:00:00, 10.0, 10.32,43
None, -3.599, 97.4, None, None, None, 5.5, 25.96, -2.0, 1.315, 243.7, -4.0, 1.3, -3.6, -3.8, None, 244.0, -1.5, 97.0, None,2020-10-21 06:00:00, 8.0, 8.08,43
None, -4.116, 97.3, None, None, None, 8.3, 70.29, -1.0, 0.859, 250.1, -4.0, 0.9, -4.1, -4.1, None, 250.0, -3.5, 97.0, None,2020-10-21 07:00:00, 7.0, 7.306,43
None, -4.628, 96.9, None, None, None, 16.2, 16.65, 5.0, 6.925, 52.79, -5.0, 6.9, -4.6, -4.6, None, 53.0, -3.5, 97.0, None,2020-10-21 08:00:00, 12.0, 12.23,43
None, -4.421, 96.5, None, None, None, 15.3, 33.39, 3.0, 6.091, 23.11, -5.0, 6.1, -4.4, -4.7, None, 23.0, -3.5, 97.0, None,2020-10-21 09:00:00, 14.0, 14.25,43
None, -4.109, 96.2, None, None, None, 12.4, 30.08, -5.0, 3.673, 24.89, -5.0, 3.7, -4.1, -4.7, None, 25.0, -3.5, 96.0, None,2020-10-21 10:00:00, 9.0, 9.46,43
None, -3.822, 94.9, None, None, None, 13.1, 33.27, 2.0, 4.589, 30.89, -4.0, 4.6, -3.8, -4.7, None, 31.0, -3.4, 95.0, None,2020-10-21 11:00:00, 10.0, 10.45,43
None, -3.789, 91.7, None, None, None, 18.1, 45.78, 2.0, 4.875, 33.55, -5.0, 4.9, -3.8, -4.7, None, 34.0, -3.4, 92.0, None,2020-10-21 12:00:00, 10.0, None,43
None, -2.659, 95.8, None, None, None, 9.9, 73.04, 2.0, 0.744, 265.9, -3.0, 0.7, -2.7, -4.7, None, 266.0, -2.1, 96.0, None,2020-10-21 13:00:00, 10.0, None,43
None, -3.195, 90.3, None, None, None, 14.3, 42.1, 2.0, 2.886, 27.81, -4.0, 2.9, -3.2, -4.7, None, 28.0, -2.1, 90.0, None,2020-10-21 14:00:00, 10.0, None,43
None, -3.18, 82.1, None, None, None, 23.8, 31.81, 4.0, 8.09, 37.06, -6.0, 8.1, -3.2, -4.7, None, 37.0, -2.1, 82.0, None,2020-10-21 15:00:00, 14.0, 13.82,43
None, -3.842, 80.7, None, None, None, 30.4, 32.91, 2.0, 10.0, 36.23, -6.0, 10.0, -3.8, -4.7, None, 36.0, -2.1, 81.0, None,2020-10-21 16:00:00, 15.0, 15.0,43
None, -4.135, 80.2, None, None, None, 30.3, 37.73, 0.0, 8.41, 36.81, -7.0, 8.4, -4.1, -4.7, None, 37.0, -2.1, 80.0, None,2020-10-21 17:00:00, 15.0, 14.84,43
None, -4.65, 83.8, None, None, None, 26.9, 57.55, 0.0, 6.137, 26.1, -7.0, 6.1, -4.7, -4.7, None, 26.0, -2.1, 84.0, None,2020-10-21 18:00:00, 15.0, 14.84,43
None, -4.907, 81.7, None, None, None, 16.0, 64.04, 1.0, 3.182, 1.587, -7.0, 3.2, -4.9, -5.4, None, 2.0, -4.6, 82.0, None,2020-10-21 19:00:00, 15.0, 15.49,43
None, -5.956, 88.6, None, None, None, 14.0, 71.62, -1.0, 2.854, 29.54, -7.0, 2.9, -6.0, -5.9, None, 30.0, -4.6, 89.0, None,2020-10-21 20:00:00, 15.0, 14.78,43
None, -6.334, 89.5, None, None, None, 11.3, 61.64, 0.0, 0.972, 304.3, -8.0, 1.0, -6.3, -6.4, None, 304.0, -4.6, 90.0, None,2020-10-21 21:00:00, 15.0, 14.66,43
