CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,-8.42, 97.2, None, None, None,10.35,22.45, None,169.9, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2016-02-19 07:00:00, None, None, None, None,8
None,-7.88, 98.2, None, None, None,12.42,22.91, None,160.6, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2016-02-19 08:00:00, None, None, None, None,8
None,-7.78, 98.3, None, None, None,16.29,19.55, None,158.9, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2016-02-19 09:00:00, None, None, None, None,8
None,-7.17, 98.4, None, None, None,15.27,17.47, None,145.3, None, None, None, None, None, -7.0, None, None, None, None, None, None, None,2016-02-19 10:00:00, None, None, None, None,8
None,-6.316, 98.5, None, None, None,16.36,16.26, None,146.4, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2016-02-19 11:00:00, None, None, None, None,8
None,-5.071, 97.3, None, None, None,20.02,14.09, None,163.2, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2016-02-19 12:00:00, None, None, None, None,8
None,-5.263, 97.0, None, None, None,13.38,21.58, None,170.8, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2016-02-19 13:00:00, None, None, None, None,8
None,-4.709, 97.1, None, None, None,14.83,16.98, None,162.5, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2016-02-19 14:00:00, None, None, None, None,8
None,-4.95, 97.9, None, None, None,16.66,15.34, None,165.8, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2016-02-19 15:00:00, None, None, None, None,8
None,-5.142, 99.8, None, None, None,18.81,14.01, None,156.4, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2016-02-19 16:00:00, None, None, None, None,8
None,-5.429, 100.5, None, None, None,16.91,21.58, None,191.9, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2016-02-19 17:00:00, None, None, None, None,8
None,-6.196, 99.6, None, None, None,16.77,32.99, None,214.7, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2016-02-19 18:00:00, None, None, None, None,8
None,-7.61, 95.9, None, None, None,12.07,39.48, None,223.0, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2016-02-19 19:00:00, None, None, None, None,8
None,-7.8, 96.5, None, None, None,14.62,36.29, None,222.0, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2016-02-19 20:00:00, None, None, None, None,8
None,-7.95, 98.8, None, None, None,10.97,30.78, None,230.1, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2016-02-19 21:00:00, None, None, None, None,8
None,-8.19, 98.1, None, None, None,15.38,22.41, None,231.2, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2016-02-19 22:00:00, None, None, None, None,8
None,-8.47, 98.4, None, None, None,15.3,20.64, None,238.0, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2016-02-19 23:00:00, None, None, None, None,8
None,-9.0, 98.2, None, None, None,10.3,22.26, None,235.7, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2016-02-20 00:00:00, None, None, None, None,8
None,-9.66, 97.5, None, None, None,9.87,23.25, None,237.3, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2016-02-20 01:00:00, None, None, None, None,8
None,-9.95, 97.3, None, None, None,11.0,17.89, None,236.8, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2016-02-20 02:00:00, None, None, None, None,8
None,-10.51, 96.9, None, None, None,12.54,16.2, None,230.1, None, None, None, None, None, -11.0, None, None, None, None, None, None, None,2016-02-20 03:00:00, None, None, None, None,8
None,-10.71, 96.6, None, None, None,9.88,27.36, None,230.0, None, None, None, None, None, -11.0, None, None, None, None, None, None, None,2016-02-20 04:00:00, None, None, None, None,8
None,-10.51, 96.8, None, None, None,12.13,20.1, None,225.7, None, None, None, None, None, -11.0, None, None, None, None, None, None, None,2016-02-20 05:00:00, None, None, None, None,8
None,-10.23, 97.1, None, None, None,11.85,25.05, None,211.4, None, None, None, None, None, -11.0, None, None, None, None, None, None, None,2016-02-20 06:00:00, None, None, None, None,8
None,-9.94, 97.5, None, None, None,13.74,21.93, None,219.5, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2016-02-20 07:00:00, None, None, None, None,8
None,-9.75, 97.6, None, None, None,11.5,24.23, None,225.6, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2016-02-20 08:00:00, None, None, None, None,8
None,-9.65, 97.3, None, None, None,10.76,18.83, None,236.8, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2016-02-20 09:00:00, None, None, None, None,8
None,-8.98, 98.1, None, None, None,12.95,13.12, None,230.1, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2016-02-20 10:00:00, None, None, None, None,8
None,-9.13, 97.6, None, None, None,12.63,13.05, None,232.7, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2016-02-20 11:00:00, None, None, None, None,8
