wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,snw_dpth
333.0, 83.0, 6.7, 0.0, 7.8, 4.5, 10.6, 10.0, 306.0, 0.0, 0.2, 87.0,2020-06-24 00:00:00,26,
348.0, 88.0, 5.6, 0.0, 7.9, 4.2, 9.8, 9.2, 294.0, 0.0, 0.2, 92.0,2020-06-24 01:00:00,26,
195.0, 87.0, 4.5, 0.0, 7.9, 3.0, 10.0, 9.5, 333.0, 0.0, 0.2, 88.0,2020-06-24 02:00:00,26,
279.0, 92.0, 4.2, 0.6, 8.0, 2.7, 9.2, 9.8, 348.0, 0.0, 0.2, 94.0,2020-06-24 03:00:00,26,
325.0, 88.0, 3.0, 1.8, 7.6, 2.4, 9.5, 9.6, 195.0, 0.0, 0.2, 97.0,2020-06-24 04:00:00,26,
275.0, 94.0, 2.7, 1.0, 8.9, 4.3, 9.8, 9.8, 279.0, 0.6, 0.8, 97.0,2020-06-24 05:00:00,26,
261.0, 97.0, 2.4, 0.6, 9.1, 4.9, 9.6, 10.3, 325.0, 1.8, 2.6, 97.0,2020-06-24 06:00:00,26,
246.0, 97.0, 4.3, 0.2, 9.3, 3.8, 9.8, 11.2, 275.0, 1.0, 3.6, 91.0,2020-06-24 07:00:00,26,
232.0, 97.0, 4.9, 0.0, 9.8, 5.8, 10.3, 13.9, 261.0, 0.6, 4.0, 81.0,2020-06-24 08:00:00,26,
260.0, 91.0, 3.8, 0.0, 9.8, 7.0, 11.2, 13.2, 246.0, 0.2, 4.2, 84.0,2020-06-24 09:00:00,26,
244.0, 81.0, 5.8, 0.0, 10.7, 5.8, 13.9, 15.6, 232.0, 0.0, 4.2, 72.0,2020-06-24 10:00:00,26,
267.0, 84.0, 7.0, 0.0, 10.6, 6.5, 13.2, 14.5, 260.0, 0.0, 4.2, 75.0,2020-06-24 11:00:00,26,
160.0, 72.0, 5.8, 0.0, 10.6, 6.3, 15.6, 15.4, 244.0, 0.0, 4.2, 74.0,2020-06-24 12:00:00,26,
315.0, 75.0, 6.5, 0.0, 10.1, 6.8, 14.5, 15.7, 267.0, 0.0, 4.2, 72.0,2020-06-24 13:00:00,26,
34.0, 74.0, 6.3, 0.0, 10.8, 4.4, 15.4, 13.4, 160.0, 0.0, 4.2, 84.0,2020-06-24 14:00:00,26,
156.0, 72.0, 6.8, 0.6, 10.7, 3.7, 15.7, 12.5, 315.0, 0.0, 4.2, 92.0,2020-06-24 15:00:00,26,
158.0, 84.0, 4.4, 0.0, 10.8, 3.6, 13.4, 14.9, 34.0, 0.0, 4.2, 82.0,2020-06-24 16:00:00,26,
258.0, 92.0, 3.7, 0.0, 11.2, 3.1, 12.5, 14.6, 156.0, 0.6, 4.8, 80.0,2020-06-24 17:00:00,26,
281.0, 82.0, 3.6, 0.0, 11.9, 0.6, 14.9, 12.7, 158.0, 0.0, 4.8, 91.0,2020-06-24 18:00:00,26,
342.0, 80.0, 3.1, 0.0, 11.2, 5.8, 14.6, 10.0, 258.0, 0.0, 4.8, 93.0,2020-06-24 19:00:00,26,
340.0, 91.0, 0.6, 0.0, 11.3, 6.5, 12.7, 9.3, 281.0, 0.0, 4.8, 93.0,2020-06-24 20:00:00,26,
1.0, 93.0, 5.8, 0.0, 8.9, 3.1, 10.0, 8.0, 342.0, 0.0, 4.8, 95.0,2020-06-24 21:00:00,26,
352.0, 93.0, 6.5, 0.0, 8.2, 6.7, 9.3, 8.0, 340.0, 0.0, 4.8, 97.0,2020-06-24 22:00:00,26,
343.0, 95.0, 3.1, 0.0, 7.2, 6.2, 8.0, 8.1, 1.0, 0.0, 4.8, 96.0,2020-06-24 23:00:00,26,
334.0, 97.0, 6.7, 0.0, 7.6, 5.8, 8.0, 7.8, 352.0, 0.0, 4.8, 95.0,2020-06-25 00:00:00,26,
347.0, 96.0, 6.2, 0.2, 7.5, 5.8, 8.1, 7.6, 343.0, 0.0, 4.8, 97.0,2020-06-25 01:00:00,26,
345.0, 95.0, 5.8, 0.0, 7.0, 6.9, 7.8, 7.6, 334.0, 0.0, 4.8, 97.0,2020-06-25 02:00:00,26,
356.0, 97.0, 5.8, 0.0, 7.2, 5.6, 7.6, 7.8, 347.0, 0.2, 5.0, 96.0,2020-06-25 03:00:00,26,
