station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
42.7, None, None, None, None, None, None, None, -22.0, None, None, None, None, None, None, None, None, -13.5, None, None, None, None, None, None, None, None, None, 2012-01-01 00:00:00, None
41.98, None, None, None, 2.77, 327.2, None, None, -23.0, None, None, None, None, None, None, None, None, -13.37, None, None, None, None, 33.83, None, None, None, None, 2012-01-01 01:00:00, None
39.67, None, None, None, 4.034, 107.7, None, None, -23.0, None, None, None, None, None, None, None, None, -13.22, None, None, None, None, 45.38, None, None, None, None, 2012-01-01 02:00:00, None
37.6, None, None, None, 7.82, 122.8, None, None, -23.0, None, None, None, None, None, None, None, None, -13.14, None, None, None, None, 26.28, None, None, None, None, 2012-01-01 03:00:00, None
36.32, None, None, None, 6.633, 99.4, None, None, -24.0, None, None, None, None, None, None, None, None, -13.12, None, None, None, None, 24.01, None, None, None, None, 2012-01-01 04:00:00, None
36.94, None, None, None, 2.226, 135.9, None, None, -24.0, None, None, None, None, None, None, None, None, -13.77, None, None, None, None, 49.38, None, None, None, None, 2012-01-01 05:00:00, None
37.7, None, None, None, 3.69, 114.8, None, None, -24.0, None, None, None, None, None, None, None, None, -13.89, None, None, None, None, 45.06, None, None, None, None, 2012-01-01 06:00:00, None
39.07, None, None, None, 4.682, 130.7, None, None, -24.0, None, None, None, None, None, None, None, None, -13.77, None, None, None, None, 39.0, None, None, None, None, 2012-01-01 07:00:00, None
37.84, None, None, None, 6.691, 150.9, None, None, -24.0, None, None, None, None, None, None, None, None, -14.08, None, None, None, None, 23.58, None, None, None, None, 2012-01-01 08:00:00, None
39.55, None, None, None, 6.746, 142.9, None, None, -23.0, None, None, None, None, None, None, None, None, -13.06, None, None, None, None, 22.82, None, None, None, None, 2012-01-01 09:00:00, None
37.94, None, None, None, 6.092, 120.6, None, None, -22.0, None, None, None, None, None, None, None, None, -11.71, None, None, None, None, 28.13, None, None, None, None, 2012-01-01 10:00:00, None
35.64, None, None, None, 3.744, 144.6, None, None, -22.0, None, None, None, None, None, None, None, None, -10.87, None, None, None, None, 38.73, None, None, None, None, 2012-01-01 11:00:00, None
31.56, None, None, None, 2.801, 120.9, None, None, -23.0, None, None, None, None, None, None, None, None, -11.18, None, None, None, None, 58.15, None, None, None, None, 2012-01-01 12:00:00, None
