station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -12.79, None, None, None, None, None, 33.05, None, 0.0, 127.2, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 00:00:00, None, None, 148.9
None, -12.59, None, None, None, None, None, 22.0, None, 0.0, 140.1, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 01:00:00, None, None, 148.7
None, -12.56, None, None, None, None, None, 17.18, None, 0.0, 136.5, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 02:00:00, None, None, 148.7
None, -12.27, None, None, None, None, None, 13.8, None, 0.0, 132.9, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 03:00:00, None, None, 148.6
None, -12.15, None, None, None, None, None, 14.19, None, 0.0, 149.1, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 04:00:00, None, None, 148.7
None, -12.11, None, None, None, None, None, 24.16, None, 0.0, 172.0, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 05:00:00, None, None, 148.9
None, -11.91, None, None, None, None, None, 30.35, None, 0.0, 151.2, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 06:00:00, None, None, 148.9
None, -11.88, None, None, None, None, None, 40.52, None, 0.0, 193.4, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 07:00:00, None, None, 148.7
None, -11.95, None, None, None, None, None, 25.72, None, 0.0, 168.2, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 08:00:00, None, None, 148.7
None, -11.22, None, None, None, None, None, 21.79, None, 0.0, 173.3, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 09:00:00, None, None, 148.6
None, -10.41, None, None, None, None, None, 15.83, None, 0.0, 153.5, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 10:00:00, None, None, 148.5
None, -9.16, None, None, None, None, None, 20.35, None, 0.0, 175.9, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 11:00:00, None, None, 148.3
None, -8.86, None, None, None, None, None, 34.63, None, 0.0, 165.2, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 12:00:00, None, None, 148.5
None, -7.97, None, None, None, None, None, 31.85, None, 0.001, 187.4, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 13:00:00, None, None, 148.3
None, -8.03, None, None, None, None, None, 22.73, None, 0.258, 161.3, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 14:00:00, None, None, 148.5
None, -8.38, None, None, None, None, None, 18.81, None, 2.109, 115.6, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 15:00:00, None, None, 148.8
None, -7.98, None, None, None, None, None, 15.95, None, 2.146, 120.9, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 16:00:00, None, None, 148.6
None, -7.94, None, None, None, None, None, 16.61, None, 0.465, 117.1, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 17:00:00, None, None, 148.4
None, -8.01, None, None, None, None, None, 16.81, None, 0.843, 121.3, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 18:00:00, None, None, 148.5
None, -7.3, None, None, None, None, None, 14.66, None, 4.263, 135.5, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 19:00:00, None, None, 148.0
None, -6.806, None, None, None, None, None, 10.06, None, 5.401, 133.3, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 20:00:00, None, None, 148.2
None, -5.548, None, None, None, None, None, 10.21, None, 7.63, 139.8, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 21:00:00, None, None, 148.4
