station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -6.778, None, 2012-01-01 00:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -6.376, None, 2012-01-01 01:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -6.2, None, 2012-01-01 02:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -6.004, None, 2012-01-01 03:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -5.867, None, 2012-01-01 04:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -5.77, None, 2012-01-01 05:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -5.751, None, 2012-01-01 06:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -5.401, None, 2012-01-01 07:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -5.101, None, 2012-01-01 08:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -4.851, None, 2012-01-01 09:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -4.668, None, 2012-01-01 10:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -3.86, None, 2012-01-01 11:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -3.534, None, 2012-01-01 12:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -3.525, None, 2012-01-01 13:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -3.736, None, 2012-01-01 14:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -3.227, None, 2012-01-01 15:00:00, None, None, None, None, None, None, None, None, None, None, None, None
