station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, ACTUAL_WIND_DIRECTION, MINIMUM_AIR_TEMPERATURE, ACTUAL_WIND_SPEED, MAXIMUM_AIR_TEMPERATURE, time, WIND_DIRECTION_STD_DEVIATION1, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MAXIMUM_MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1
None, 4.183, None, None, None, None, 2012-09-17 11:00:00, 4.201, None, 24.27, None, 269.1
None, 4.146, None, None, None, None, 2012-09-17 12:00:00, 4.5, None, 27.31, None, 271.4
None, 3.309, None, None, None, None, 2012-09-17 13:00:00, 3.568, None, 30.86, None, 271.7
None, 1.82, None, None, None, None, 2012-09-17 14:00:00, 4.815, None, 35.66, None, 275.1
None, 1.502, None, None, None, None, 2012-09-17 15:00:00, 7.93, None, 39.3, None, 264.5
None, 2.185, None, None, None, None, 2012-09-17 16:00:00, 6.803, None, 38.05, None, 279.4
None, 2.654, None, None, None, None, 2012-09-17 17:00:00, 7.58, None, 31.1, None, 285.1
None, 2.372, None, None, None, None, 2012-09-17 18:00:00, 6.912, None, 29.46, None, 297.1
None, 1.277, None, None, None, None, 2012-09-17 19:00:00, 8.11, None, 30.5, None, 290.1
None, 1.642, None, None, None, None, 2012-09-17 20:00:00, 7.47, None, 25.72, None, 281.1
None, 1.521, None, None, None, None, 2012-09-17 21:00:00, 6.317, None, 25.93, None, 285.3
None, 1.324, None, None, None, None, 2012-09-17 22:00:00, 6.002, None, 24.64, None, 296.4
None, 1.062, None, None, None, None, 2012-09-17 23:00:00, 6.917, None, 23.08, None, 297.2
None, 0.866, None, None, None, None, 2012-09-18 00:00:00, 6.473, None, 23.47, None, 295.3
None, 0.473, None, None, None, None, 2012-09-18 01:00:00, 7.89, None, 22.93, None, 290.7
None, 0.08, None, None, None, None, 2012-09-18 02:00:00, 6.542, None, 23.52, None, 289.9
None, -0.472, None, None, None, None, 2012-09-18 03:00:00, 7.16, None, 19.09, None, 292.1
None, -0.219, None, None, None, None, 2012-09-18 04:00:00, 7.09, None, 17.88, None, 299.4
None, 0.828, None, None, None, None, 2012-09-18 05:00:00, 7.1, None, 12.7, None, 301.6
None, 1.754, None, None, None, None, 2012-09-18 06:00:00, 4.777, None, 16.28, None, 304.9
None, 3.207, None, None, None, None, 2012-09-18 07:00:00, 8.42, None, 14.21, None, 312.2
None, 3.854, None, None, None, None, 2012-09-18 08:00:00, 6.304, None, 13.54, None, 329.3
None, 4.109, None, None, None, None, 2012-09-18 09:00:00, 9.7, None, 10.88, None, 323.4
None, 4.72, None, None, None, None, 2012-09-18 10:00:00, 8.14, None, 9.41, None, 342.5
None, 6.233, None, None, None, None, 2012-09-18 11:00:00, 10.01, None, 5.266, None, 337.9
None, 9.43, None, None, None, None, 2012-09-18 12:00:00, 55.94, None, 0.89, None, 294.3
None, 6.885, None, None, None, None, 2012-09-18 13:00:00, 21.74, None, 3.193, None, 253.5
None, 5.915, None, None, None, None, 2012-09-18 14:00:00, 11.15, None, 8.47, None, 231.2
None, 5.138, None, None, None, None, 2012-09-18 15:00:00, 9.35, None, 13.11, None, 267.2
None, 4.221, None, None, None, None, 2012-09-18 16:00:00, 4.692, None, 17.35, None, 288.4
None, 6.347, None, None, None, None, 2012-09-18 17:00:00, 5.644, None, 14.11, None, 300.9
None, 7.77, None, None, None, None, 2012-09-18 18:00:00, 7.98, None, 10.77, None, 312.8
None, 8.82, None, None, None, None, 2012-09-18 19:00:00, 17.24, None, 8.64, None, 331.4
None, 5.146, None, None, None, None, 2012-09-18 20:00:00, 24.27, None, 8.07, None, 318.9
None, 7.51, None, None, None, None, 2012-09-18 21:00:00, 14.1, None, 11.46, None, 290.5
None, 7.78, None, None, None, None, 2012-09-18 22:00:00, 5.416, None, 14.33, None, 307.4
None, 6.404, None, None, None, None, 2012-09-18 23:00:00, 5.163, None, 16.32, None, 296.9
None, 8.43, None, None, None, None, 2012-09-19 00:00:00, 7.13, None, 11.48, None, 303.6
None, 6.376, None, None, None, None, 2012-09-19 01:00:00, 7.31, None, 12.5, None, 294.4
None, 7.09, None, None, None, None, 2012-09-19 02:00:00, 6.455, None, 16.2, None, 293.7
None, 7.34, None, None, None, None, 2012-09-19 03:00:00, 7.04, None, 16.96, None, 293.3
None, 5.665, None, None, None, None, 2012-09-19 04:00:00, 6.061, None, 22.87, None, 293.0
None, 5.419, None, None, None, None, 2012-09-19 05:00:00, 6.971, None, 24.23, None, 292.0
