pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,-4.047,92.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 10:00:00, None, None, 198.4, None,6
None, None,-3.387,75.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, None,2018-02-06 11:00:00, None, None, None, None,6
None, None,-1.809,71.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2018-02-06 12:00:00, None, None, 198.8, None,6
None, None,-1.847,72.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2018-02-06 13:00:00, None, None, 198.8, None,6
None, None,-1.885,72.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2018-02-06 14:00:00, None, None, 198.9, None,6
None, None,-2.577,76.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2018-02-06 15:00:00, None, None, 199.8, None,6
None, None,-2.977,83.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 16:00:00, None, None, 200.4, None,6
None, None,-3.195,89.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 17:00:00, None, None, 200.6, None,6
None, None,-3.253,92.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-06 18:00:00, None, None, 200.5, None,6
None, None,-3.139,92.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-06 19:00:00, None, None, 200.3, None,6
None, None,-3.091,92.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-06 20:00:00, None, None, 200.5, None,6
None, None,-3.052,94.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-06 21:00:00, None, None, 200.3, None,6
None, None,-2.882,96.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-06 22:00:00, None, None, 201.2, None,6
None, None,-2.873,94.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-06 23:00:00, None, None, 201.0, None,6
None, None,-2.93,93.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-07 00:00:00, None, None, 200.1, None,6
None, None,-2.711,93.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-07 01:00:00, None, None, 200.8, None,6
None, None,-2.644,92.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-07 02:00:00, None, None, 200.9, None,6
None, None,-2.74,95.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-07 03:00:00, None, None, 200.7, None,6
None, None,-2.692,96.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-07 04:00:00, None, None, 200.4, None,6
None, None,-2.549,96.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-07 05:00:00, None, None, 200.2, None,6
None, None,-2.418,96.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-07 06:00:00, None, None, 200.1, None,6
None, None,-2.141,98.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-07 07:00:00, None, None, 200.3, None,6
None, None,-1.895,98.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-07 08:00:00, None, None, 200.4, None,6
None, None,-1.335,98.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-07 09:00:00, None, None, 200.2, None,6
None, None,-0.568,93.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, None,2018-02-07 10:00:00, None, None, 200.0, None,6
None, None,0.17,86.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-07 11:00:00, None, None, 199.7, None,6
None, None,1.228,78.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-07 12:00:00, None, None, 198.1, None,6
None, None,1.297,73.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-07 13:00:00, None, None, 198.7, None,6
None, None,1.884,70.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-07 14:00:00, None, None, 198.1, None,6
None, None,0.571,78.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-07 15:00:00, None, None, 198.4, None,6
None, None,-0.072,87.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-07 16:00:00, None, None, 198.3, None,6
None, None,-0.773,94.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-07 17:00:00, None, None, 198.7, None,6
None, None,-1.18,97.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, None,2018-02-07 18:00:00, None, None, 198.6, None,6
None, None,-0.934,100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, None,2018-02-07 19:00:00, None, None, 198.7, None,6
None, None,-0.5,99.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, None,2018-02-07 20:00:00, None, None, 198.8, None,6
None, None,-0.595,99.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, None,2018-02-07 21:00:00, None, None, 199.0, None,6
None, None,-0.066,98.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None,2018-02-07 22:00:00, None, None, 199.3, None,6
None, None,-0.171,95.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, None,2018-02-07 23:00:00, None, None, 199.0, None,6
None, None,0.0,86.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 00:00:00, None, None, 198.9, None,6
None, None,-0.492,91.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 01:00:00, None, None, 199.4, None,6
None, None,-1.161,96.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 02:00:00, None, None, 197.0, None,6
None, None,-1.437,100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, None,2018-02-08 03:00:00, None, None, 202.2, None,6
None, None,-1.59,100.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 04:00:00, None, None, 202.5, None,6
None, None,-1.646,100.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 05:00:00, None, None, 202.2, None,6
None, None,-1.676,99.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 06:00:00, None, None, 202.0, None,6
None, None,-1.874,99.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 07:00:00, None, None, 202.0, None,6
None, None,-2.094,97.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 08:00:00, None, None, 201.9, None,6
None, None,-2.206,99.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 09:00:00, None, None, 201.9, None,6
None, None,-1.591,95.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, None,2018-02-08 10:00:00, None, None, 200.5, None,6
None, None,-1.799,93.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-08 11:00:00, None, None, 200.3, None,6
None, None,-1.305,89.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-08 12:00:00, None, None, 203.5, None,6
None, None,-1.676,90.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-08 13:00:00, None, None, 200.7, None,6
None, None,-2.547,89.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-08 14:00:00, None, None, 208.5, None,6
None, None,-2.044,74.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2018-02-08 15:00:00, None, None, 206.8, None,6
None, None,-5.235,86.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, None,2018-02-08 16:00:00, None, None, 208.5, None,6
None, None,-6.233,84.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, None,2018-02-08 17:00:00, None, None, 207.0, None,6
None, None,-7.37,86.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2018-02-08 18:00:00, None, None, 210.1, None,6
None, None,-8.17,78.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None,2018-02-08 19:00:00, None, None, 209.6, None,6
None, None,-8.82,80.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None,2018-02-08 20:00:00, None, None, 208.6, None,6
None, None,-9.29,74.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None,2018-02-08 21:00:00, None, None, 208.2, None,6
None, None,-10.94,74.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, None,2018-02-08 22:00:00, None, None, 207.2, None,6
None, None,-11.63,76.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, None,2018-02-08 23:00:00, None, None, 207.3, None,6
None, None,-12.18,77.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, None,2018-02-09 00:00:00, None, None, 205.8, None,6
None, None,-12.17,78.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, None,2018-02-09 01:00:00, None, None, 207.1, None,6
None, None,-12.3,78.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, None,2018-02-09 02:00:00, None, None, 207.3, None,6
None, None,-12.92,76.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -16.0, None, None, None, None, None,2018-02-09 03:00:00, None, None, 207.3, None,6
None, None,-13.21,77.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -16.0, None, None, None, None, None,2018-02-09 04:00:00, None, None, 207.3, None,6
None, None,-13.9,77.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2018-02-09 05:00:00, None, None, 206.9, None,6
