AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,SnowWaterEquivalent,RelativeHumidity,week_of_year
7.7, 1.0,0.25, 10.5, None,2017-11-26 00:00:00, 3.0, None, 99.0,48
7.8, None,0.0, 8.9, None,2017-11-26 00:15:00, 13.0, None, 99.0,48
8.0, None,0.51, 12.5, None,2017-11-26 00:30:00, 20.0, None, 99.0,48
8.0, None,0.0, 10.2, None,2017-11-26 00:45:00, 25.0, None, 99.0,48
7.9, 1.0,0.25, 7.2, None,2017-11-26 01:00:00, 348.0, None, 100.0,48
7.9, None,0.0, 5.2, None,2017-11-26 01:15:00, 82.0, None, 100.0,48
7.8, None,0.0, 4.0, None,2017-11-26 01:30:00, 16.0, None, 100.0,48
7.8, None,0.0, 2.2, None,2017-11-26 01:45:00, 36.0, None, 100.0,48
7.7, 0.0,0.0, 3.3, None,2017-11-26 02:00:00, 63.0, None, 100.0,48
7.6, None,0.0, 2.4, None,2017-11-26 02:15:00, 113.0, None, 100.0,48
7.5, None,0.0, 2.5, None,2017-11-26 02:30:00, 237.0, None, 100.0,48
7.4, None,0.0, 4.2, None,2017-11-26 02:45:00, 196.0, None, 100.0,48
7.4, 0.0,0.25, 3.3, None,2017-11-26 03:00:00, 151.0, None, 100.0,48
7.6, None,0.25, 5.8, None,2017-11-26 03:15:00, 331.0, None, 100.0,48
7.8, None,0.51, 3.9, None,2017-11-26 03:30:00, 344.0, None, 100.0,48
7.9, None,0.25, 3.0, None,2017-11-26 03:45:00, 71.0, None, 100.0,48
7.7, 1.0,0.25, 4.7, None,2017-11-26 04:00:00, 216.0, None, 100.0,48
7.7, None,0.0, 4.6, None,2017-11-26 04:15:00, 190.0, None, 100.0,48
7.7, None,0.0, 6.6, None,2017-11-26 04:30:00, 188.0, None, 100.0,48
7.6, None,0.25, 3.5, None,2017-11-26 04:45:00, 204.0, None, 100.0,48
7.8, 1.0,0.51, 4.7, None,2017-11-26 05:00:00, 197.0, None, 100.0,48
