ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_speed,temperature,wind_direction,relative_humidity,precipitation
3.2,3.2,-1.0,0.0,2018-10-02,0.0,3.0,40,,,,,
0.0,0.0,-5.5,0.0,2018-10-03,0.0,-1.0,40,,,,,
,,,,2018-10-01 00:00:00,,,40,18.6,-0.8,207.0,100.0,0.0
,,,,2018-10-01 01:00:00,,,40,18.9,-0.8,210.0,100.0,0.0
,,,,2018-10-01 02:00:00,,,40,21.2,-0.7,206.0,100.0,0.0
,,,,2018-10-01 03:00:00,,,40,18.4,-0.8,202.0,100.0,0.0
,,,,2018-10-01 04:00:00,,,40,18.5,-0.8,209.0,100.0,0.0
,,,,2018-10-01 05:00:00,,,40,17.4,-0.8,201.0,100.0,0.0
,,,,2018-10-01 06:00:00,,,40,20.5,-0.6,210.0,100.0,0.0
,,,,2018-10-01 07:00:00,,,40,14.7,-0.6,207.0,100.0,0.0
,,,,2018-10-01 08:00:00,,,40,17.1,-0.4,211.0,100.0,0.0
,,,,2018-10-01 09:00:00,,,40,14.7,-0.2,214.0,100.0,0.0
,,,,2018-10-01 10:00:00,,,40,17.6,-0.1,204.0,100.0,0.0
,,,,2018-10-01 11:00:00,,,40,13.9,0.0,195.0,100.0,0.0
,,,,2018-10-01 12:00:00,,,40,13.1,1.0,198.0,100.0,0.0
,,,,2018-10-01 13:00:00,,,40,15.7,1.9,205.0,100.0,0.0
,,,,2018-10-01 14:00:00,,,40,12.9,2.3,214.0,100.0,0.0
,,,,2018-10-01 15:00:00,,,40,8.5,2.3,239.0,100.0,0.0
,,,,2018-10-01 16:00:00,,,40,8.8,1.8,260.0,100.0,0.0
,,,,2018-10-01 17:00:00,,,40,8.6,1.7,270.0,100.0,0.0
,,,,2018-10-01 18:00:00,,,40,7.4,2.1,254.0,100.0,0.0
,,,,2018-10-01 19:00:00,,,40,8.3,2.2,264.0,100.0,0.0
,,,,2018-10-01 20:00:00,,,40,8.6,2.3,267.0,100.0,0.0
,,,,2018-10-01 21:00:00,,,40,8.1,2.4,271.0,100.0,0.0
,,,,2018-10-01 22:00:00,,,40,8.0,2.4,264.0,100.0,0.0
,,,,2018-10-01 23:00:00,,,40,9.8,2.1,263.0,100.0,0.0
,,,,2018-10-02 00:00:00,,,40,8.1,1.8,268.0,100.0,0.0
,,,,2018-10-02 01:00:00,,,40,9.0,1.5,267.0,100.0,0.0
,,,,2018-10-02 02:00:00,,,40,6.7,1.6,263.0,100.0,0.0
,,,,2018-10-02 03:00:00,,,40,6.9,1.4,264.0,100.0,0.0
,,,,2018-10-02 04:00:00,,,40,6.2,0.7,177.0,100.0,0.0
,,,,2018-10-02 05:00:00,,,40,9.2,1.1,233.0,100.0,0.0
,,,,2018-10-02 06:00:00,,,40,11.2,0.8,192.0,100.0,0.0
,,,,2018-10-02 07:00:00,,,40,12.6,1.1,207.0,100.0,0.0
,,,,2018-10-02 08:00:00,,,40,12.9,1.0,209.0,100.0,0.0
