WDIR_VECT,TEMP_MEAN,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
352.4, -12.6, 82.7, 82.7,2019-02-19 00:00:00, -12.57,8
317.7, -11.8, 79.3, 79.32,2019-02-19 01:00:00, -11.81,8
293.4, -10.8, 77.5, 77.5,2019-02-19 02:00:00, -10.75,8
184.2, -7.0, 66.6, 66.61,2019-02-19 03:00:00, -6.998,8
173.5, -6.6, 65.5, 65.53,2019-02-19 04:00:00, -6.643,8
164.9, -6.7, 69.9, 69.94,2019-02-19 05:00:00, -6.742,8
172.6, -6.5, 74.3, 74.29,2019-02-19 06:00:00, -6.492,8
173.6, -6.7, 82.4, 82.4,2019-02-19 07:00:00, -6.736,8
174.2, -6.6, 85.7, 85.7,2019-02-19 08:00:00, -6.644,8
174.3, -6.7, 86.8, 86.8,2019-02-19 09:00:00, -6.68,8
165.3, -6.9, 84.2, 84.2,2019-02-19 10:00:00, -6.894,8
161.6, -6.5, 83.9, 83.9,2019-02-19 11:00:00, -6.539,8
160.4, -5.8, 79.8, 79.75,2019-02-19 12:00:00, -5.772,8
159.2, -5.1, 78.1, 78.05,2019-02-19 13:00:00, -5.114,8
155.3, -4.3, 78.1, 78.12,2019-02-19 14:00:00, -4.348,8
158.0, -4.0, 80.1, 80.1,2019-02-19 15:00:00, -3.988,8
158.3, -3.5, 79.1, 79.06,2019-02-19 16:00:00, -3.505,8
155.7, -3.4, 78.3, 78.25,2019-02-19 17:00:00, -3.381,8
150.5, -3.8, 83.0, 83.0,2019-02-19 18:00:00, -3.795,8
167.8, -4.0, 86.3, 86.3,2019-02-19 19:00:00, -4.03,8
132.3, -4.2, 87.6, 87.6,2019-02-19 20:00:00, -4.227,8
162.0, -4.9, 87.8, 87.8,2019-02-19 21:00:00, -4.898,8
141.0, -4.7, 86.4, 86.4,2019-02-19 22:00:00, -4.701,8
349.4, -5.3, 90.4, 90.4,2019-02-19 23:00:00, -5.277,8
31.7, -5.1, 91.0, 91.0,2019-02-20 00:00:00, -5.103,8
1.1, -5.2, 91.6, 91.6,2019-02-20 01:00:00, -5.191,8
359.7, -5.2, 92.0, 92.0,2019-02-20 02:00:00, -5.215,8
