AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,SnowWaterEquivalent,RelativeHumidity,week_of_year
4.1, 0.0, 0.0, 7.9, 0.0,2020-04-22 00:00:00, 189.0, 7.0, 100.0,17
4.2, None, 0.0, 8.4, None,2020-04-22 00:15:00, 187.0, None, 100.0,17
4.2, None, 0.0, 8.3, None,2020-04-22 00:30:00, 185.0, None, 100.0,17
4.2, None, 0.0, 7.4, None,2020-04-22 00:45:00, 191.0, None, 100.0,17
4.2, 0.0, 0.0, 7.8, 0.0,2020-04-22 01:00:00, 189.0, 7.1, 100.0,17
4.2, None, 0.0, 3.5, None,2020-04-22 01:15:00, 202.0, None, 100.0,17
4.3, None, 0.0, 4.9, None,2020-04-22 01:30:00, 185.0, None, 100.0,17
4.2, None, 0.0, 4.8, None,2020-04-22 01:45:00, 188.0, None, 100.0,17
4.1, 0.0, 0.0, 5.3, 0.0,2020-04-22 02:00:00, 192.0, 7.0, 100.0,17
4.1, None, 0.0, 3.6, None,2020-04-22 02:15:00, 194.0, None, 100.0,17
4.1, None, 0.0, 3.7, None,2020-04-22 02:30:00, 190.0, None, 100.0,17
4.0, None, 0.0, 7.2, None,2020-04-22 02:45:00, 188.0, None, 100.0,17
4.1, 0.0, 0.0, 4.3, 0.001,2020-04-22 03:00:00, 197.0, 7.0, 100.0,17
4.0, None, 0.0, 3.6, None,2020-04-22 03:15:00, 185.0, None, 100.0,17
4.0, None, 0.0, 3.1, None,2020-04-22 03:30:00, 190.0, None, 100.0,17
4.0, None, 0.0, 4.0, None,2020-04-22 03:45:00, 176.0, None, 100.0,17
4.0, 0.0, 0.0, 3.6, 0.0,2020-04-22 04:00:00, 165.0, 7.1, 100.0,17
4.0, None, 0.0, 2.9, None,2020-04-22 04:15:00, 180.0, None, 100.0,17
3.9, None, 0.0, 2.1, None,2020-04-22 04:30:00, 159.0, None, 100.0,17
3.9, None, 0.0, 0.8, None,2020-04-22 04:45:00, 91.0, None, 100.0,17
3.9, 0.0, 0.0, 1.2, 0.0,2020-04-22 05:00:00, 62.0, 7.1, 100.0,17
3.9, None, 0.0, 1.9, None,2020-04-22 05:15:00, 62.0, None, 100.0,17
3.8, None, 0.0, 1.9, None,2020-04-22 05:30:00, 56.0, None, 100.0,17
3.8, None, 0.254, 3.4, None,2020-04-22 05:45:00, 49.0, None, 100.0,17
3.7, 0.0, 0.254, 4.2, 0.001,2020-04-22 06:00:00, 39.0, 7.3, 100.0,17
3.6, None, 0.254, 5.2, None,2020-04-22 06:15:00, 40.0, None, 100.0,17
3.6, None, 0.508, 5.4, None,2020-04-22 06:30:00, 40.0, None, 100.0,17
3.6, None, 0.508, 5.6, None,2020-04-22 06:45:00, 36.0, None, 100.0,17
3.6, 2.0, 0.508, 6.2, 0.0,2020-04-22 07:00:00, 38.0, 7.2, 100.0,17
3.6, None, 0.762, 5.9, None,2020-04-22 07:15:00, 37.0, None, 100.0,17
3.6, None, 0.762, 5.4, None,2020-04-22 07:30:00, 36.0, None, 100.0,17
3.7, None, 1.016, 6.2, None,2020-04-22 07:45:00, 42.0, None, 100.0,17
3.7, 3.0, 1.016, 7.1, 0.002,2020-04-22 08:00:00, 39.0, 7.2, 100.0,17
3.8, None, 0.762, 6.2, None,2020-04-22 08:15:00, 38.0, None, 100.0,17
3.9, None, 0.254, 7.9, None,2020-04-22 08:30:00, 35.0, None, 100.0,17
3.9, None, 0.508, 6.8, None,2020-04-22 08:45:00, 40.0, None, 100.0,17
3.8, 2.0, 0.508, 8.1, 0.0,2020-04-22 09:00:00, 41.0, 7.0, 100.0,17
3.7, None, 0.254, 8.6, None,2020-04-22 09:15:00, 37.0, None, 100.0,17
3.7, None, 0.254, 9.1, None,2020-04-22 09:30:00, 40.0, None, 100.0,17
3.8, None, 0.508, 6.7, None,2020-04-22 09:45:00, 42.0, None, 100.0,17
3.6, 2.0, 0.762, 8.5, 0.0,2020-04-22 10:00:00, 39.0, 7.1, 100.0,17
3.6, None, 0.508, 8.9, None,2020-04-22 10:15:00, 37.0, None, 100.0,17
3.5, None, 0.508, 7.7, None,2020-04-22 10:30:00, 37.0, None, 100.0,17
3.4, None, 0.508, 7.8, None,2020-04-22 10:45:00, 36.0, None, 100.0,17
3.7, 2.0, 0.508, 6.9, 0.0,2020-04-22 11:00:00, 37.0, 6.9, 100.0,17
4.3, None, 0.254, 6.7, None,2020-04-22 11:15:00, 39.0, None, 99.0,17
4.1, None, 0.0, 8.0, None,2020-04-22 11:30:00, 39.0, None, 99.0,17
3.9, None, 0.254, 6.4, None,2020-04-22 11:45:00, 34.0, None, 99.0,17
3.9, 0.0, 0.0, 6.5, 0.0,2020-04-22 12:00:00, 45.0, 6.6, 99.0,17
3.9, None, 0.254, 7.0, None,2020-04-22 12:15:00, 37.0, None, 99.0,17
4.0, None, 0.254, 6.6, None,2020-04-22 12:30:00, 44.0, None, 99.0,17
4.1, None, 0.254, 6.1, None,2020-04-22 12:45:00, 49.0, None, 99.0,17
4.1, 1.0, 0.254, 5.0, 0.002,2020-04-22 13:00:00, 45.0, 6.6, 99.0,17
4.1, None, 0.254, 5.3, None,2020-04-22 13:15:00, 45.0, None, 99.0,17
4.4, None, 0.254, 5.6, None,2020-04-22 13:30:00, 48.0, None, 99.0,17
4.2, None, 0.254, 5.8, None,2020-04-22 13:45:00, 40.0, None, 99.0,17
4.6, 1.0, 0.254, 4.7, 0.001,2020-04-22 14:00:00, 42.0, 6.3, 99.0,17
4.4, None, 0.254, 6.0, None,2020-04-22 14:15:00, 35.0, None, 99.0,17
4.6, None, 0.254, 5.1, None,2020-04-22 14:30:00, 31.0, None, 99.0,17
4.7, None, 0.254, 5.1, None,2020-04-22 14:45:00, 39.0, None, 99.0,17
4.9, 1.0, 0.0, 4.9, 0.0,2020-04-22 15:00:00, 40.0, 6.1, 99.0,17
5.0, None, 0.0, 4.0, None,2020-04-22 15:15:00, 43.0, None, 99.0,17
5.0, None, 0.0, 3.5, None,2020-04-22 15:30:00, 27.0, None, 99.0,17
5.3, None, 0.254, 4.0, None,2020-04-22 15:45:00, 17.0, None, 98.0,17
5.4, 0.0, 0.0, 3.1, 0.0,2020-04-22 16:00:00, 343.0, 5.7, 99.0,17
5.7, None, 0.0, 3.0, None,2020-04-22 16:15:00, 13.0, None, 99.0,17
5.7, None, 0.0, 2.6, None,2020-04-22 16:30:00, 37.0, None, 99.0,17
5.5, None, 0.0, 2.7, None,2020-04-22 16:45:00, 31.0, None, 99.0,17
5.4, 0.0, 0.0, 2.5, 0.0,2020-04-22 17:00:00, 12.0, 6.2, 99.0,17
5.5, None, 0.0, 2.5, None,2020-04-22 17:15:00, 352.0, None, 99.0,17
5.6, None, 0.0, 2.1, None,2020-04-22 17:30:00, 328.0, None, 99.0,17
5.4, None, 0.0, 2.9, None,2020-04-22 17:45:00, 339.0, None, 98.0,17
5.4, 0.0, 0.0, 2.0, 0.001,2020-04-22 18:00:00, 351.0, 6.3, 99.0,17
5.4, None, 0.0, 1.7, None,2020-04-22 18:15:00, 17.0, None, 99.0,17
5.2, None, 0.0, 1.8, None,2020-04-22 18:30:00, 350.0, None, 99.0,17
4.7, None, 0.0, 3.2, None,2020-04-22 18:45:00, 22.0, None, 99.0,17
4.7, 0.0, 0.0, 2.6, 0.001,2020-04-22 19:00:00, 32.0, 7.0, 99.0,17
4.6, None, 0.0, 2.2, None,2020-04-22 19:15:00, 19.0, None, 99.0,17
4.5, None, 0.0, 1.4, None,2020-04-22 19:30:00, 1.0, None, 99.0,17
4.4, None, 0.0, 1.9, None,2020-04-22 19:45:00, 26.0, None, 100.0,17
4.4, 0.0, 0.0, 1.3, 0.0,2020-04-22 20:00:00, 15.0, 7.2, 100.0,17
4.4, None, 0.0, 2.1, None,2020-04-22 20:15:00, 342.0, None, 100.0,17
4.3, None, 0.0, 3.0, None,2020-04-22 20:30:00, 356.0, None, 100.0,17
4.0, None, 0.0, 3.2, None,2020-04-22 20:45:00, 6.0, None, 100.0,17
3.6, 1.0, 0.0, 3.6, 0.0,2020-04-22 21:00:00, 355.0, 7.8, 100.0,17
3.4, None, 0.0, 4.0, None,2020-04-22 21:15:00, 344.0, None, 100.0,17
3.5, None, 0.0, 4.1, None,2020-04-22 21:30:00, 328.0, None, 99.0,17
3.5, None, 0.0, 4.1, None,2020-04-22 21:45:00, 315.0, None, 100.0,17
3.7, 0.0, 0.0, 4.8, 0.0,2020-04-22 22:00:00, 314.0, 8.1, 100.0,17
3.8, None, 0.0, 5.4, None,2020-04-22 22:15:00, 303.0, None, 100.0,17
3.8, None, 0.0, 6.0, None,2020-04-22 22:30:00, 300.0, None, 100.0,17
3.8, None, 0.0, 6.4, None,2020-04-22 22:45:00, 305.0, None, 100.0,17
3.8, 0.0, 0.0, 6.7, 0.0,2020-04-22 23:00:00, 306.0, 7.8, 100.0,17
3.7, None, 0.0, 6.6, None,2020-04-22 23:15:00, 290.0, None, 100.0,17
3.7, None, 0.254, 7.1, None,2020-04-22 23:30:00, 295.0, None, 100.0,17
3.7, None, 0.0, 6.3, None,2020-04-22 23:45:00, 291.0, None, 100.0,17
3.6, 0.0, 0.0, 6.4, 0.0,2020-04-23 00:00:00, 294.0, 7.4, 100.0,17
3.7, None, 0.0, 7.4, None,2020-04-23 00:15:00, 290.0, None, 100.0,17
3.7, None, 0.0, 7.2, None,2020-04-23 00:30:00, 299.0, None, 100.0,17
3.7, None, 0.0, 7.3, None,2020-04-23 00:45:00, 313.0, None, 100.0,17
3.7, 0.0, 0.0, 7.6, 0.0,2020-04-23 01:00:00, 306.0, 7.7, 100.0,17
3.5, None, 0.0, 6.3, None,2020-04-23 01:15:00, 297.0, None, 100.0,17
3.7, None, 0.0, 6.1, None,2020-04-23 01:30:00, 297.0, None, 100.0,17
3.7, None, 0.0, 6.0, None,2020-04-23 01:45:00, 294.0, None, 100.0,17
3.8, 0.0, 0.0, 6.7, 0.0,2020-04-23 02:00:00, 299.0, 7.3, 100.0,17
3.9, None, 0.0, 6.7, None,2020-04-23 02:15:00, 300.0, None, 100.0,17
3.9, None, 0.0, 6.9, None,2020-04-23 02:30:00, 297.0, None, 100.0,17
3.9, None, 0.0, 6.9, None,2020-04-23 02:45:00, 292.0, None, 100.0,17
4.0, 0.0, 0.0, 7.1, 0.0,2020-04-23 03:00:00, 297.0, 7.2, 100.0,17
4.1, None, 0.0, 7.3, None,2020-04-23 03:15:00, 290.0, None, 100.0,17
4.0, None, 0.0, 7.0, None,2020-04-23 03:30:00, 286.0, None, 100.0,17
4.1, None, 0.0, 6.5, None,2020-04-23 03:45:00, 288.0, None, 100.0,17
4.2, 0.0, 0.0, 7.0, 0.001,2020-04-23 04:00:00, 287.0, 7.4, 100.0,17
4.1, None, 0.0, 7.2, None,2020-04-23 04:15:00, 300.0, None, 100.0,17
4.1, None, 0.0, 7.2, None,2020-04-23 04:30:00, 302.0, None, 100.0,17
4.0, None, 0.0, 7.2, None,2020-04-23 04:45:00, 315.0, None, 100.0,17
3.9, 0.0, 0.0, 6.6, 0.0,2020-04-23 05:00:00, 304.0, 7.4, 100.0,17
4.1, None, 0.0, 6.9, None,2020-04-23 05:15:00, 300.0, None, 100.0,17
4.2, None, 0.0, 6.4, None,2020-04-23 05:30:00, 296.0, None, 100.0,17
4.2, None, 0.0, 5.0, None,2020-04-23 05:45:00, 288.0, None, 100.0,17
4.2, 0.0, 0.0, 5.3, 0.0,2020-04-23 06:00:00, 263.0, 6.9, 100.0,17
4.2, None, 0.0, 5.4, None,2020-04-23 06:15:00, 322.0, None, 100.0,17
4.2, None, 0.0, 5.7, None,2020-04-23 06:30:00, 214.0, None, 100.0,17
4.3, None, 0.0, 4.4, None,2020-04-23 06:45:00, 111.0, None, 100.0,17
4.4, 0.0, 0.0, 4.7, 0.001,2020-04-23 07:00:00, 118.0, 6.9, 100.0,17
4.6, None, 0.0, 4.9, None,2020-04-23 07:15:00, 71.0, None, 100.0,17
4.6, None, 0.0, 6.1, None,2020-04-23 07:30:00, 189.0, None, 100.0,17
4.7, None, 0.0, 5.9, None,2020-04-23 07:45:00, 177.0, None, 100.0,17
4.9, 0.0, 0.0, 5.7, 0.001,2020-04-23 08:00:00, 143.0, 6.5, 100.0,17
5.1, None, 0.0, 5.6, None,2020-04-23 08:15:00, 194.0, None, 100.0,17
5.5, None, 0.0, 6.6, None,2020-04-23 08:30:00, 228.0, None, 99.0,17
5.7, None, 0.0, 5.9, None,2020-04-23 08:45:00, 245.0, None, 99.0,17
6.7, 0.0, 0.0, 6.1, 0.001,2020-04-23 09:00:00, 348.0, 4.3, 97.0,17
6.8, None, 0.0, 6.0, None,2020-04-23 09:15:00, 163.0, None, 96.0,17
6.6, None, 0.0, 5.2, None,2020-04-23 09:30:00, 140.0, None, 96.0,17
6.6, None, 0.0, 5.7, None,2020-04-23 09:45:00, 171.0, None, 94.0,17
6.2, 0.0, 0.0, 7.0, 0.001,2020-04-23 10:00:00, 132.0, 4.5, 95.0,17
6.5, None, 0.0, 6.1, None,2020-04-23 10:15:00, 42.0, None, 94.0,17
6.3, None, 0.0, 6.8, None,2020-04-23 10:30:00, 205.0, None, 94.0,17
6.7, None, 0.0, 6.3, None,2020-04-23 10:45:00, 331.0, None, 92.0,17
6.6, 0.0, 0.0, 5.2, 0.003,2020-04-23 11:00:00, 211.0, 4.3, 93.0,17
7.6, None, 0.0, 6.3, None,2020-04-23 11:15:00, 174.0, None, 88.0,17
7.3, None, 0.0, 6.2, None,2020-04-23 11:30:00, 316.0, None, 87.0,17
8.9, None, 0.0, 6.7, None,2020-04-23 11:45:00, 137.0, None, 75.0,17
8.6, 0.0, 0.0, 5.4, 0.0,2020-04-23 12:00:00, 191.0, 2.5, 81.0,17
8.3, None, 0.0, 5.7, None,2020-04-23 12:15:00, 294.0, None, 80.0,17
