station_observations
wind_direction, rel_hum, avg_wnd_spd_10m_pst10mts, precipitation, dwpt_temp, wind_speed, air_temp, temperature, avg_wnd_dir_10m_pst10mts, rnfl_amt_pst1hr, rnfl_amt_pst24hrs, relative_humidity, time
158.0, None, None, 0.0, None, 4.6, None, -18.6, None, None, None, 80.0, 2022-01-01 00:00:00
161.0, 80.0, 4.6, 0.0, -21.2, 4.8, -18.6, -18.2, 158.0, 0.0, 0.0, 81.0, 2022-01-01 01:00:00
161.0, 81.0, 4.8, 0.0, -20.7, 4.8, -18.2, -17.5, 161.0, 0.0, 0.0, 82.0, 2022-01-01 02:00:00
163.0, None, None, 0.0, None, 5.1, None, -16.9, None, None, None, 83.0, 2022-01-01 03:00:00
165.0, None, None, 0.0, None, 4.4, None, -16.5, None, None, None, 83.0, 2022-01-01 04:00:00
164.0, None, None, 0.0, None, 5.2, None, -16.3, None, None, None, 84.0, 2022-01-01 05:00:00
167.0, None, None, 0.0, None, 5.4, None, -15.6, None, None, None, 85.0, 2022-01-01 06:00:00
163.0, None, None, 0.0, None, 5.9, None, -15.0, None, None, None, 85.0, 2022-01-01 07:00:00
167.0, None, None, 0.0, None, 6.3, None, -14.4, None, None, None, 87.0, 2022-01-01 08:00:00
162.0, None, None, 0.0, None, 6.9, None, -13.9, None, None, None, 87.0, 2022-01-01 09:00:00
160.0, None, None, 0.0, None, 7.8, None, -13.1, None, None, None, 87.0, 2022-01-01 10:00:00
155.0, None, None, 0.0, None, 8.7, None, -12.1, None, None, None, 88.0, 2022-01-01 11:00:00
151.0, None, None, 0.0, None, 16.1, None, -11.2, None, None, None, 88.0, 2022-01-01 12:00:00
159.0, None, None, 0.0, None, 18.0, None, -10.4, None, None, None, 89.0, 2022-01-01 13:00:00
158.0, None, None, 0.0, None, 19.9, None, -9.9, None, None, None, 90.0, 2022-01-01 14:00:00
163.0, None, None, 0.0, None, 16.0, None, -10.1, None, None, None, 90.0, 2022-01-01 15:00:00
172.0, None, None, 0.0, None, 17.4, None, -10.0, None, None, None, 90.0, 2022-01-01 16:00:00
162.0, None, None, 0.0, None, 19.9, None, -9.7, None, None, None, 91.0, 2022-01-01 17:00:00
153.0, None, None, 0.0, None, 19.2, None, -9.3, None, None, None, 91.0, 2022-01-01 18:00:00
143.0, None, None, 0.0, None, 18.8, None, -9.2, None, None, None, 90.0, 2022-01-01 19:00:00
154.0, None, None, 0.0, None, 20.7, None, -9.1, None, None, None, 89.0, 2022-01-01 20:00:00
146.0, None, None, 0.0, None, 17.7, None, -8.8, None, None, None, 90.0, 2022-01-01 21:00:00
163.0, None, None, 0.0, None, 19.8, None, -8.3, None, None, None, 90.0, 2022-01-01 22:00:00
155.0, None, None, 0.0, None, 21.2, None, -7.9, None, None, None, 90.0, 2022-01-01 23:00:00
162.0, None, None, 0.0, None, 18.8, None, -7.8, None, None, None, 89.0, 2022-01-02 00:00:00
160.0, None, None, 0.0, None, 13.3, None, -7.7, None, None, None, 91.0, 2022-01-02 01:00:00
156.0, None, None, 0.0, None, 11.3, None, -7.9, None, None, None, 92.0, 2022-01-02 02:00:00
152.0, None, None, 0.0, None, 10.3, None, -8.2, None, None, None, 91.0, 2022-01-02 03:00:00
163.0, None, None, 0.0, None, 10.8, None, -8.6, None, None, None, 92.0, 2022-01-02 04:00:00
151.0, None, None, 0.0, None, 12.6, None, -8.6, None, None, None, 92.0, 2022-01-02 05:00:00
138.0, None, None, 0.0, None, 11.4, None, -8.3, None, None, None, 93.0, 2022-01-02 06:00:00
169.0, None, None, 0.0, None, 10.8, None, -7.9, None, None, None, 93.0, 2022-01-02 07:00:00
155.0, None, None, 0.0, None, 11.4, None, -7.6, None, None, None, 93.0, 2022-01-02 08:00:00
152.0, None, None, 0.0, None, 11.8, None, -6.8, None, None, None, 91.0, 2022-01-02 09:00:00
139.0, None, None, 0.0, None, 9.9, None, -6.2, None, None, None, 90.0, 2022-01-02 10:00:00
145.0, None, None, 0.0, None, 13.3, None, -5.4, None, None, None, 89.0, 2022-01-02 11:00:00
148.0, None, None, 0.0, None, 12.8, None, -4.4, None, None, None, 87.0, 2022-01-02 12:00:00
151.0, None, None, 0.0, None, 13.4, None, -3.9, None, None, None, 87.0, 2022-01-02 13:00:00
154.0, None, None, 0.0, None, 13.4, None, -4.0, None, None, None, 88.0, 2022-01-02 14:00:00
148.0, None, None, 0.0, None, 16.0, None, -4.0, None, None, None, 87.0, 2022-01-02 15:00:00
156.0, None, None, 0.0, None, 17.4, None, -4.0, None, None, None, 87.0, 2022-01-02 16:00:00
153.0, None, None, 0.0, None, 13.6, None, -3.7, None, None, None, 88.0, 2022-01-02 17:00:00
154.0, None, None, 0.0, None, 15.3, None, -3.4, None, None, None, 85.0, 2022-01-02 18:00:00
153.0, None, None, 0.0, None, 16.7, None, -3.5, None, None, None, 84.0, 2022-01-02 19:00:00
159.0, None, None, 0.0, None, 15.1, None, -3.4, None, None, None, 83.0, 2022-01-02 20:00:00
153.0, None, None, 0.0, None, 17.3, None, -3.1, None, None, None, 80.0, 2022-01-02 21:00:00
174.0, None, None, 0.0, None, 12.5, None, -3.2, None, None, None, 80.0, 2022-01-02 22:00:00
161.0, None, None, 0.0, None, 13.2, None, -3.2, None, None, None, 80.0, 2022-01-02 23:00:00
159.0, None, None, 0.0, None, 10.6, None, -3.5, None, None, None, 79.0, 2022-01-03 00:00:00
182.0, None, None, 0.0, None, 7.0, None, -3.4, None, None, None, 78.0, 2022-01-03 01:00:00
179.0, None, None, 0.0, None, 6.1, None, -3.4, None, None, None, 77.0, 2022-01-03 02:00:00
119.0, None, None, 0.0, None, 5.4, None, -3.7, None, None, None, 83.0, 2022-01-03 03:00:00
1.0, None, None, 0.0, None, 8.9, None, -11.1, None, None, None, 88.0, 2022-01-03 04:00:00
354.0, None, None, 0.0, None, 11.6, None, -14.3, None, None, None, 84.0, 2022-01-03 05:00:00
347.0, None, None, 0.0, None, 12.7, None, -16.7, None, None, None, 82.0, 2022-01-03 06:00:00
327.0, None, None, 0.0, None, 12.8, None, -17.9, None, None, None, 80.0, 2022-01-03 07:00:00
336.0, None, None, 0.0, None, 12.7, None, -19.1, None, None, None, 78.0, 2022-01-03 08:00:00
323.0, None, None, 0.0, None, 16.0, None, -20.3, None, None, None, 76.0, 2022-01-03 09:00:00
331.0, None, None, 0.0, None, 15.9, None, -20.1, None, None, None, 74.0, 2022-01-03 10:00:00
317.0, None, None, 0.0, None, 14.8, None, -20.8, None, None, None, 74.0, 2022-01-03 11:00:00
