station_observations
wind_speed, temperature, wind_direction, relative_humidity, time
2.5, -7.3, 281.0, 95.0, 2022-01-01 00:00:00
2.9, -6.8, 271.0, 95.0, 2022-01-01 01:00:00
3.2, -6.7, 336.0, 95.0, 2022-01-01 02:00:00
11.2, -3.8, 143.0, 83.0, 2022-01-01 03:00:00
11.2, -3.6, 140.0, 83.0, 2022-01-01 04:00:00
11.5, -3.6, 135.0, 83.0, 2022-01-01 05:00:00
18.0, -3.4, 134.0, 84.0, 2022-01-01 06:00:00
17.6, -3.2, 129.0, 86.0, 2022-01-01 07:00:00
17.3, -3.4, 125.0, 93.0, 2022-01-01 08:00:00
20.5, -3.0, 131.0, 94.0, 2022-01-01 09:00:00
19.1, -2.7, 139.0, 95.0, 2022-01-01 10:00:00
20.9, -2.1, 124.0, 95.0, 2022-01-01 11:00:00
33.1, -1.0, 126.0, 92.0, 2022-01-01 12:00:00
40.3, -1.0, 124.0, 92.0, 2022-01-01 13:00:00
39.2, -1.1, 123.0, 92.0, 2022-01-01 14:00:00
38.9, -1.1, 116.0, 94.0, 2022-01-01 15:00:00
42.8, -1.0, 117.0, 95.0, 2022-01-01 16:00:00
41.8, -0.3, 127.0, 95.0, 2022-01-01 17:00:00
None, 0.1, None, 97.0, 2022-01-01 18:00:00
None, 0.1, None, 98.0, 2022-01-01 19:00:00
31.0, 0.2, 126.0, 98.0, 2022-01-01 20:00:00
27.7, 0.3, 133.0, 99.0, 2022-01-01 21:00:00
9.7, 0.3, 142.0, 99.0, 2022-01-01 22:00:00
11.9, 0.9, 111.0, 99.0, 2022-01-01 23:00:00
0.7, 0.5, 314.0, 98.0, 2022-01-02 00:00:00
5.0, 0.4, 326.0, 98.0, 2022-01-02 01:00:00
3.2, 0.2, 300.0, 99.0, 2022-01-02 02:00:00
2.9, 0.4, 224.0, 99.0, 2022-01-02 03:00:00
10.8, 0.9, 134.0, 100.0, 2022-01-02 04:00:00
19.4, 2.2, 112.0, 100.0, 2022-01-02 05:00:00
22.3, 1.9, 133.0, 100.0, 2022-01-02 06:00:00
26.6, 0.4, 132.0, 99.0, 2022-01-02 07:00:00
17.6, 0.3, 147.0, 99.0, 2022-01-02 08:00:00
7.6, 0.2, 72.0, 99.0, 2022-01-02 09:00:00
9.7, 1.0, 129.0, 99.0, 2022-01-02 10:00:00
28.1, 2.5, 131.0, 96.0, 2022-01-02 11:00:00
41.0, 2.8, 130.0, 95.0, 2022-01-02 12:00:00
26.3, 2.8, 148.0, 95.0, 2022-01-02 13:00:00
34.6, 2.8, 141.0, 96.0, 2022-01-02 14:00:00
23.8, 3.0, 141.0, 97.0, 2022-01-02 15:00:00
21.2, 3.0, 140.0, 97.0, 2022-01-02 16:00:00
16.9, 3.2, 148.0, 98.0, 2022-01-02 17:00:00
10.8, 3.2, 159.0, 98.0, 2022-01-02 18:00:00
13.0, 2.8, 145.0, 99.0, 2022-01-02 19:00:00
12.6, 3.1, 155.0, 99.0, 2022-01-02 20:00:00
17.6, 2.9, 142.0, 98.0, 2022-01-02 21:00:00
None, 2.9, None, 96.0, 2022-01-02 22:00:00
7.9, 2.5, 142.0, 96.0, 2022-01-02 23:00:00
9.0, 2.3, 121.0, 94.0, 2022-01-03 00:00:00
2.2, 1.7, 123.0, 96.0, 2022-01-03 01:00:00
2.2, -0.3, 305.0, 98.0, 2022-01-03 02:00:00
6.5, -1.1, 310.0, 99.0, 2022-01-03 03:00:00
6.5, -1.9, 312.0, 99.0, 2022-01-03 04:00:00
