station_observations
wind_direction, rel_hum, avg_wnd_spd_10m_pst10mts, precipitation, dwpt_temp, wind_speed, air_temp, temperature, avg_wnd_dir_10m_pst10mts, rnfl_amt_pst1hr, rnfl_amt_pst24hrs, relative_humidity, time, snw_dpth
1.0, 76.0, 0.0, 0.0, -24.4, 0.0, -21.3, -21.4, 1.0, 0.0, 0.0, 74.0, 2022-01-01 00:00:00, 193.0
1.0, 74.0, 0.0, 0.0, -24.8, 0.0, -21.4, -21.1, 1.0, 0.0, 0.0, 75.0, 2022-01-01 01:00:00, 193.0
1.0, 75.0, 0.0, 0.0, -24.4, 0.0, -21.1, -20.3, 1.0, 0.0, 0.0, 77.0, 2022-01-01 02:00:00, 193.0
1.0, 77.0, 0.0, 0.0, -23.3, 0.0, -20.3, -19.7, 1.0, 0.0, 0.0, 73.0, 2022-01-01 03:00:00, 193.0
0.0, 73.0, 0.0, 0.0, -23.3, 2.4, -19.7, -19.8, 1.0, 0.0, 0.0, 73.0, 2022-01-01 04:00:00, 193.0
0.0, 73.0, 2.4, 0.0, -23.4, 2.0, -19.8, -19.6, 0.0, 0.0, 0.0, 77.0, 2022-01-01 05:00:00, 193.0
0.0, 77.0, 2.0, 0.0, -22.6, 0.0, -19.6, -19.3, 0.0, 0.0, 0.0, 76.0, 2022-01-01 06:00:00, None
0.0, 76.0, 0.0, 0.0, -22.5, 0.0, -19.3, -19.2, 0.0, 0.0, 0.0, 77.0, 2022-01-01 07:00:00, 193.0
0.0, 77.0, 0.0, 0.0, -22.2, 1.7, -19.2, -18.7, 0.0, 0.0, 0.0, 77.0, 2022-01-01 08:00:00, 193.0
54.0, 77.0, 1.7, 0.0, -21.7, 2.0, -18.7, -17.6, 0.0, 0.0, 0.0, 76.0, 2022-01-01 09:00:00, 193.0
332.0, 76.0, 2.0, 0.0, -20.8, 1.6, -17.6, -16.7, 54.0, 0.0, 0.0, 77.0, 2022-01-01 10:00:00, 193.0
306.0, 77.0, 1.6, 0.0, -19.8, 1.7, -16.7, -15.6, 332.0, 0.0, 0.0, 77.0, 2022-01-01 11:00:00, None
343.0, 77.0, 1.7, 0.0, -18.7, 1.6, -15.6, -14.8, 306.0, 0.0, 0.0, 78.0, 2022-01-01 12:00:00, 193.0
134.0, 78.0, 1.6, 0.0, -17.8, 0.0, -14.8, -14.8, 343.0, 0.0, 0.0, 79.0, 2022-01-01 13:00:00, 193.0
167.0, 79.0, 0.0, 0.0, -17.6, 0.0, -14.8, -14.4, 134.0, 0.0, 0.0, 80.0, 2022-01-01 14:00:00, 193.0
36.0, None, None, 0.0, None, 0.0, None, -14.5, None, None, None, 82.0, 2022-01-01 15:00:00, None
89.0, None, None, 0.0, None, 1.6, None, -14.2, None, None, None, 82.0, 2022-01-01 16:00:00, None
316.0, 82.0, 1.6, 0.0, -16.6, 1.6, -14.2, -14.0, 89.0, 0.0, 0.0, 84.0, 2022-01-01 17:00:00, 193.0
283.0, 84.0, 1.6, 0.0, -16.1, 1.6, -14.0, -13.7, 316.0, 0.0, 0.0, 83.0, 2022-01-01 18:00:00, 193.0
111.0, 83.0, 1.6, 0.0, -16.0, 0.0, -13.7, -13.7, 283.0, 0.0, 0.0, 83.0, 2022-01-01 19:00:00, 193.0
347.0, 83.0, 0.0, 0.0, -16.0, 0.0, -13.7, -13.0, 111.0, 0.0, 0.0, 84.0, 2022-01-01 20:00:00, 193.0
19.0, 84.0, 0.0, 0.0, -15.1, 0.0, -13.0, -12.8, 347.0, 0.0, 0.0, 85.0, 2022-01-01 21:00:00, 193.0
35.0, 85.0, 0.0, 0.0, -14.8, 0.0, -12.8, -12.6, 19.0, 0.0, 0.0, 85.0, 2022-01-01 22:00:00, 193.0
72.0, 85.0, 0.0, 0.0, -14.6, 0.0, -12.6, -12.4, 35.0, 0.0, 0.0, 85.0, 2022-01-01 23:00:00, 193.0
270.0, 85.0, 0.0, 0.0, -14.4, 0.0, -12.4, -12.3, 72.0, 0.0, 0.0, 85.0, 2022-01-02 00:00:00, 193.0
336.0, 85.0, 0.0, 0.0, -14.3, 0.0, -12.3, -12.1, 270.0, 0.0, 0.0, 85.0, 2022-01-02 01:00:00, 193.0
111.0, 85.0, 0.0, 0.0, -14.1, 0.0, -12.1, -11.8, 336.0, 0.0, 0.0, 85.0, 2022-01-02 02:00:00, 193.0
350.0, 85.0, 0.0, 0.0, -13.8, 0.0, -11.8, -11.6, 111.0, 0.0, 0.0, 85.0, 2022-01-02 03:00:00, 193.0
223.0, 85.0, 0.0, 0.0, -13.6, 1.6, -11.6, -11.4, 350.0, 0.0, 0.0, 85.0, 2022-01-02 04:00:00, 193.0
90.0, 85.0, 1.6, 0.0, -13.4, 1.6, -11.4, -11.1, 223.0, 0.0, 0.0, 86.0, 2022-01-02 05:00:00, 193.0
92.0, 86.0, 1.6, 0.0, -13.0, 0.0, -11.1, -11.5, 90.0, 0.0, 0.0, 84.0, 2022-01-02 06:00:00, 193.0
44.0, 84.0, 0.0, 0.0, -13.7, 1.6, -11.5, -11.9, 92.0, 0.0, 0.0, 86.0, 2022-01-02 07:00:00, 193.0
58.0, 86.0, 1.6, 0.0, -13.8, 1.6, -11.9, -12.3, 44.0, 0.0, 0.0, 84.0, 2022-01-02 08:00:00, 193.0
12.0, 84.0, 1.6, 0.0, -14.4, 1.6, -12.3, -11.5, 58.0, 0.0, 0.0, 82.0, 2022-01-02 09:00:00, 193.0
103.0, 82.0, 1.6, 0.0, -14.0, 1.6, -11.5, -9.4, 12.0, 0.0, 0.0, 78.0, 2022-01-02 10:00:00, 193.0
91.0, 78.0, 1.6, 0.0, -12.5, 0.0, -9.4, -9.5, 103.0, 0.0, 0.0, 79.0, 2022-01-02 11:00:00, 193.0
269.0, 79.0, 0.0, 0.0, -12.5, 1.6, -9.5, -8.5, 91.0, 0.0, 0.0, 77.0, 2022-01-02 12:00:00, 193.0
155.0, 77.0, 1.6, 0.0, -11.8, 0.0, -8.5, -8.9, 269.0, 0.0, 0.0, 79.0, 2022-01-02 13:00:00, 193.0
186.0, 79.0, 0.0, 0.0, -11.9, 0.0, -8.9, -9.3, 155.0, 0.0, 0.0, 82.0, 2022-01-02 14:00:00, 193.0
180.0, 82.0, 0.0, 0.0, -11.8, 0.0, -9.3, -10.1, 186.0, 0.0, 0.0, 86.0, 2022-01-02 15:00:00, 193.0
88.0, 86.0, 0.0, 0.0, -12.0, 0.0, -10.1, -10.2, 180.0, 0.0, 0.0, 87.0, 2022-01-02 16:00:00, 193.0
