station_observations
wind_speed, temperature, wind_direction, relative_humidity, time
17.6, -6.2, 95.0, 80.0, 2022-01-01 00:00:00
15.8, -5.5, 98.0, 82.0, 2022-01-01 01:00:00
13.3, -5.8, 105.0, 81.0, 2022-01-01 02:00:00
15.5, -5.4, 100.0, 79.0, 2022-01-01 03:00:00
15.1, -5.3, 102.0, 81.0, 2022-01-01 04:00:00
15.1, -5.0, 89.0, 80.0, 2022-01-01 05:00:00
14.0, -4.9, 94.0, 81.0, 2022-01-01 06:00:00
11.9, -4.5, 89.0, 81.0, 2022-01-01 07:00:00
13.3, -4.0, 80.0, 78.0, 2022-01-01 08:00:00
12.2, -3.1, 77.0, 76.0, 2022-01-01 09:00:00
12.6, -2.8, 85.0, 77.0, 2022-01-01 10:00:00
11.9, -1.6, 78.0, 66.0, 2022-01-01 11:00:00
15.8, -1.3, 62.0, 67.0, 2022-01-01 12:00:00
18.4, -0.4, 66.0, 59.0, 2022-01-01 13:00:00
15.5, -0.2, 77.0, 62.0, 2022-01-01 14:00:00
18.7, 0.2, 61.0, 60.0, 2022-01-01 15:00:00
19.1, 0.3, 83.0, 62.0, 2022-01-01 16:00:00
20.5, 0.6, 77.0, 64.0, 2022-01-01 17:00:00
32.8, 1.2, 76.0, 65.0, 2022-01-01 18:00:00
35.6, 0.8, 97.0, 70.0, 2022-01-01 19:00:00
26.6, 0.7, 95.0, 70.0, 2022-01-01 20:00:00
28.1, 1.2, 83.0, 67.0, 2022-01-01 21:00:00
32.4, 0.8, 99.0, 69.0, 2022-01-01 22:00:00
29.5, 1.9, 84.0, 68.0, 2022-01-01 23:00:00
32.4, 3.4, 114.0, 68.0, 2022-01-02 00:00:00
21.6, 3.0, 85.0, 76.0, 2022-01-02 01:00:00
23.4, 0.8, 39.0, 94.0, 2022-01-02 02:00:00
23.0, 0.8, 61.0, 96.0, 2022-01-02 03:00:00
20.5, 0.8, 57.0, 96.0, 2022-01-02 04:00:00
20.5, 1.3, 63.0, 93.0, 2022-01-02 05:00:00
21.2, 2.1, 71.0, 86.0, 2022-01-02 06:00:00
27.0, 2.3, 98.0, 81.0, 2022-01-02 07:00:00
30.6, 2.7, 100.0, 78.0, 2022-01-02 08:00:00
31.7, 4.1, 112.0, 70.0, 2022-01-02 09:00:00
25.9, 3.6, 100.0, 74.0, 2022-01-02 10:00:00
25.9, 4.0, 95.0, 76.0, 2022-01-02 11:00:00
36.0, 4.2, 106.0, 79.0, 2022-01-02 12:00:00
40.7, 4.4, 117.0, 82.0, 2022-01-02 13:00:00
43.6, 4.3, 106.0, 84.0, 2022-01-02 14:00:00
34.2, 4.5, 125.0, 83.0, 2022-01-02 15:00:00
31.0, 3.8, 133.0, 93.0, 2022-01-02 16:00:00
40.0, 3.8, 130.0, 92.0, 2022-01-02 17:00:00
32.8, 4.6, 132.0, 88.0, 2022-01-02 18:00:00
34.9, 4.8, 129.0, 86.0, 2022-01-02 19:00:00
27.0, 4.5, 121.0, 86.0, 2022-01-02 20:00:00
28.4, 3.9, 130.0, 90.0, 2022-01-02 21:00:00
28.4, 4.1, 133.0, 88.0, 2022-01-02 22:00:00
42.1, 3.7, 134.0, 92.0, 2022-01-02 23:00:00
34.2, 4.4, 139.0, 90.0, 2022-01-03 00:00:00
36.4, 3.9, 146.0, 89.0, 2022-01-03 01:00:00
25.9, 3.5, 140.0, 90.0, 2022-01-03 02:00:00
28.4, 3.9, 146.0, 87.0, 2022-01-03 03:00:00
21.6, 3.8, 142.0, 91.0, 2022-01-03 04:00:00
23.4, 4.3, 149.0, 92.0, 2022-01-03 05:00:00
24.1, 3.3, 167.0, 91.0, 2022-01-03 06:00:00
15.8, 2.2, 93.0, 96.0, 2022-01-03 07:00:00
19.8, 3.4, 138.0, 96.0, 2022-01-03 08:00:00
13.0, 4.1, 134.0, 93.0, 2022-01-03 09:00:00
19.8, 4.5, 147.0, 88.0, 2022-01-03 10:00:00
22.0, 4.9, 156.0, 87.0, 2022-01-03 11:00:00
28.4, 4.7, 154.0, 84.0, 2022-01-03 12:00:00
29.9, 4.8, 191.0, 73.0, 2022-01-03 13:00:00
31.7, 3.6, 197.0, 82.0, 2022-01-03 14:00:00
33.1, 2.9, 195.0, 81.0, 2022-01-03 15:00:00
21.2, 2.9, 180.0, 78.0, 2022-01-03 16:00:00
19.8, 2.7, 180.0, 82.0, 2022-01-03 17:00:00
11.2, 2.3, 163.0, 86.0, 2022-01-03 18:00:00
11.5, 2.9, 168.0, 79.0, 2022-01-03 19:00:00
10.4, 2.3, 105.0, 83.0, 2022-01-03 20:00:00
18.0, 2.1, 90.0, 88.0, 2022-01-03 21:00:00
