AirTemp,ONE_DAY_PRECIPITATION,time,MIN_TEMP,MAX_TEMP,week_of_year
None,0.1,2023-03-26,-4.4,9.3,13
None,1.1,2023-03-27,-6.8,8.8,13
None,0.0,2023-03-28,-9.1,9.7,13
None,0.3,2023-03-29,-9.5,10.7,13
None,1.1,2023-03-30,-7.4,13.7,13
None,0.9,2023-03-31,-7.1,8.1,13
None,3.7,2023-04-01,-1.4,6.4,13
