SolarRadiation,AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
None,5.1, 0.0,0.0,1.7, None,2018-10-22 00:00:00,359.0,97.0,43
None,5.2, None,0.0,3.2, None,2018-10-22 00:15:00,343.0,97.0,43
None,5.2, None,0.0,3.1, None,2018-10-22 00:30:00,353.0,97.0,43
None,5.3, None,0.0,1.9, None,2018-10-22 00:45:00,306.0,97.0,43
None,5.3, 0.0,0.0,3.0, None,2018-10-22 01:00:00,326.0,97.0,43
None,5.2, None,0.0,3.3, None,2018-10-22 01:15:00,307.0,96.0,43
None,5.1, None,0.0,2.3, None,2018-10-22 01:30:00,314.0,96.0,43
None,5.0, None,0.0,4.1, None,2018-10-22 01:45:00,321.0,96.0,43
None,5.1, 0.0,0.0,2.9, None,2018-10-22 02:00:00,263.0,97.0,43
None,5.2, None,0.0,2.8, None,2018-10-22 02:15:00,274.0,96.0,43
None,5.1, None,0.0,2.5, None,2018-10-22 02:30:00,328.0,96.0,43
None,5.3, None,0.0,3.2, None,2018-10-22 02:45:00,339.0,96.0,43
None,5.2, 1.0,0.0,4.7, None,2018-10-22 03:00:00,11.0,96.0,43
None,5.2, None,0.0,5.4, None,2018-10-22 03:15:00,26.0,96.0,43
None,5.2, None,0.0,4.7, None,2018-10-22 03:30:00,355.0,96.0,43
None,5.2, None,0.0,5.2, None,2018-10-22 03:45:00,345.0,96.0,43
None,5.4, 0.0,0.0,5.7, None,2018-10-22 04:00:00,345.0,95.0,43
None,5.4, None,0.0,5.2, None,2018-10-22 04:15:00,4.0,95.0,43
None,5.6, None,0.0,5.4, None,2018-10-22 04:30:00,14.0,95.0,43
None,5.6, None,0.0,5.7, None,2018-10-22 04:45:00,3.0,95.0,43
None,5.7, 0.0,0.0,5.7, None,2018-10-22 05:00:00,9.0,95.0,43
None,5.6, None,0.0,5.2, None,2018-10-22 05:15:00,13.0,95.0,43
None,5.4, None,0.0,4.7, None,2018-10-22 05:30:00,8.0,96.0,43
None,5.6, None,0.0,5.5, None,2018-10-22 05:45:00,5.0,95.0,43
None,5.6, 1.0,0.0,5.8, None,2018-10-22 06:00:00,354.0,94.0,43
None,5.3, None,0.0,3.5, None,2018-10-22 06:15:00,303.0,96.0,43
None,5.2, None,0.0,3.4, None,2018-10-22 06:30:00,301.0,96.0,43
None,4.9, None,0.0,3.7, None,2018-10-22 06:45:00,334.0,96.0,43
None,5.2, -1.0,0.0,4.8, None,2018-10-22 07:00:00,13.0,97.0,43
None,6.1, None,0.0,6.0, None,2018-10-22 07:15:00,24.0,97.0,43
None,6.4, None,0.0,6.8, None,2018-10-22 07:30:00,10.0,95.0,43
None,6.7, None,0.0,5.9, None,2018-10-22 07:45:00,360.0,94.0,43
None,6.6, 0.0,0.0,4.7, None,2018-10-22 08:00:00,348.0,94.0,43
None,6.7, None,0.0,6.8, None,2018-10-22 08:15:00,339.0,95.0,43
None,8.3, None,0.0,9.1, None,2018-10-22 08:30:00,1.0,90.0,43
None,10.3, None,0.0,6.2, None,2018-10-22 08:45:00,348.0,80.0,43
None,11.5, 0.0,0.0,4.6, None,2018-10-22 09:00:00,339.0,78.0,43
None,12.8, None,0.0,4.0, None,2018-10-22 09:15:00,2.0,69.0,43
None,13.7, None,0.0,3.9, None,2018-10-22 09:30:00,331.0,71.0,43
None,14.4, None,0.0,4.9, None,2018-10-22 09:45:00,5.0,62.0,43
None,14.8, 1.0,0.0,4.1, None,2018-10-22 10:00:00,2.0,61.0,43
None,14.4, None,0.0,7.7, None,2018-10-22 10:15:00,358.0,59.0,43
None,14.8, None,0.0,7.3, None,2018-10-22 10:30:00,353.0,60.0,43
None,15.2, None,0.0,4.9, None,2018-10-22 10:45:00,335.0,57.0,43
None,15.5, 1.0,0.0,4.4, None,2018-10-22 11:00:00,19.0,55.0,43
None,16.1, None,0.0,4.4, None,2018-10-22 11:15:00,23.0,54.0,43
None,16.0, None,0.0,7.2, None,2018-10-22 11:30:00,7.0,54.0,43
None,16.4, None,0.0,4.6, None,2018-10-22 11:45:00,16.0,52.0,43
None,16.6, -1.0,0.0,5.6, None,2018-10-22 12:00:00,347.0,50.0,43
None,16.1, None,0.0,6.5, None,2018-10-22 12:15:00,16.0,49.0,43
None,16.1, None,0.0,5.4, None,2018-10-22 12:30:00,6.0,48.0,43
None,16.2, None,0.0,4.9, None,2018-10-22 12:45:00,341.0,48.0,43
None,16.4, 0.0,0.0,7.5, None,2018-10-22 13:00:00,20.0,47.0,43
None,16.4, None,0.0,5.8, None,2018-10-22 13:15:00,36.0,48.0,43
None,17.0, None,0.0,4.4, None,2018-10-22 13:30:00,5.0,46.0,43
None,16.8, None,0.0,4.9, None,2018-10-22 13:45:00,86.0,46.0,43
None,16.9, 0.0,0.0,2.9, None,2018-10-22 14:00:00,341.0,46.0,43
None,16.6, None,0.0,5.5, None,2018-10-22 14:15:00,11.0,43.0,43
None,16.2, None,0.0,6.2, None,2018-10-22 14:30:00,2.0,43.0,43
None,16.2, None,0.0,4.2, None,2018-10-22 14:45:00,355.0,43.0,43
None,16.2, 0.0,0.0,4.0, None,2018-10-22 15:00:00,9.0,44.0,43
None,15.5, None,0.0,4.1, None,2018-10-22 15:15:00,16.0,45.0,43
None,15.2, None,0.0,3.5, None,2018-10-22 15:30:00,347.0,47.0,43
None,14.3, None,0.0,3.9, None,2018-10-22 15:45:00,39.0,51.0,43
None,13.8, -1.0,0.0,4.1, None,2018-10-22 16:00:00,324.0,53.0,43
None,13.2, None,0.0,2.4, None,2018-10-22 16:15:00,328.0,59.0,43
None,12.4, None,0.0,1.3, None,2018-10-22 16:30:00,252.0,65.0,43
None,11.6, None,0.0,3.2, None,2018-10-22 16:45:00,300.0,69.0,43
None,10.9, -1.0,0.0,3.0, None,2018-10-22 17:00:00,293.0,72.0,43
None,10.3, None,0.0,2.5, None,2018-10-22 17:15:00,248.0,75.0,43
None,9.6, None,0.0,2.8, None,2018-10-22 17:30:00,278.0,79.0,43
None,9.0, None,0.0,2.8, None,2018-10-22 17:45:00,303.0,84.0,43
None,8.5, 1.0,0.0,3.1, None,2018-10-22 18:00:00,317.0,85.0,43
None,8.1, None,0.0,2.4, None,2018-10-22 18:15:00,320.0,85.0,43
None,8.1, None,0.0,5.0, None,2018-10-22 18:30:00,330.0,85.0,43
None,7.8, None,0.0,3.2, None,2018-10-22 18:45:00,320.0,85.0,43
None,7.6, 0.0,0.0,3.3, None,2018-10-22 19:00:00,355.0,86.0,43
None,7.2, None,0.0,2.5, None,2018-10-22 19:15:00,355.0,89.0,43
None,7.1, None,0.0,2.1, None,2018-10-22 19:30:00,331.0,88.0,43
