IGNITION_DATE,FIRE_SIZE_HA,LATITUDE,LONGITUDE
2017-10-23,24.0,48.6259,-124.4929
2017-10-23,0.3,50.5508,-126.4183
2017-10-23,80.0,50.2874,-126.6997
2017-10-24,22.0,48.6488,-124.5299
2017-10-24,0.009,50.306,-117.8368
2017-10-24,20.0,50.2872,-126.3578
2017-10-24,0.009,50.4449,-126.4118
2017-10-24,16.0,48.6398,-124.5435
2017-10-25,0.009,50.7276,-121.1223
2017-10-25,0.25,49.7561,-118.625
2017-10-25,0.1,49.0175,-119.1947
2017-10-25,0.25,49.756134,-118.625
2017-10-25,1.0,49.4548,-121.6949
2017-10-25,12.0,49.4614,-121.7008
2017-10-26,24.0,49.6379,-122.5934
2017-10-27,3.0,49.7017,-125.4788
2017-10-27,39.0,48.6375,-124.0415
2017-10-27,43.6,48.5973,-124.0175
2017-10-28,0.009,51.8172,-120.8134
2017-10-29,0.009,49.8055,-119.6744
