pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None, 0.168, 92.0, 4.0, 92.0, -1.0, 0.2, -0.2, 1010.5, None, -1.0, 961.0, None,2022-10-29 00:00:00, None, 961.0,44
None, -0.313, 93.0, 4.0, 93.0, -1.0, -0.3, -0.4, 1011.5, None, -1.0, 962.0, None,2022-10-29 01:00:00, None, 962.0,44
None, -0.734, 92.2, 4.0, 92.0, -2.0, -0.7, -0.8, 1012.6, None, -2.0, 963.0, None,2022-10-29 02:00:00, None, 963.0,44
None, -1.221, 93.3, 4.0, 93.0, -2.0, -1.2, -1.3, 1013.7, None, -2.0, 964.0, None,2022-10-29 03:00:00, None, 964.0,44
None, -1.309, 93.5, 4.0, 94.0, -2.0, -1.3, -1.5, 1013.8, None, -2.0, 964.0, None,2022-10-29 04:00:00, None, 964.0,44
None, -0.939, 93.4, 4.0, 93.0, -2.0, -0.9, -1.5, 1013.8, None, -2.0, 964.0, None,2022-10-29 05:00:00, None, 964.0,44
None, -0.215, 91.6, 4.0, 92.0, -1.0, -0.2, -1.5, 1012.7, None, -1.0, 963.0, None,2022-10-29 06:00:00, None, 963.0,44
None, 1.195, 83.2, 1.3, 83.0, -2.0, 1.2, -0.2, 1012.7, None, -2.0, 963.0, None,2022-10-29 07:00:00, None, 963.0,44
None, 0.986, 86.1, 1.5, 86.0, -1.0, 1.0, -0.2, 1011.7, None, -1.0, 962.0, None,2022-10-29 08:00:00, None, 962.0,44
None, 0.769, 88.6, 1.5, 89.0, -1.0, 0.8, -0.2, 1010.7, None, -1.0, 961.0, None,2022-10-29 09:00:00, None, 961.0,44
None, 0.889, 89.1, 1.5, 89.0, -1.0, 0.9, -0.2, 1009.7, None, -1.0, 960.0, None,2022-10-29 10:00:00, None, 960.0,44
None, 1.13, 89.4, 1.5, 89.0, 0.0, 1.1, -0.2, 1008.6, None, 0.0, 959.0, None,2022-10-29 11:00:00, None, 959.0,44
None, 1.261, 91.6, 1.5, 92.0, 0.0, 1.3, -0.2, 1007.6, None, 0.0, 958.0, None,2022-10-29 12:00:00, None, 958.0,44
None, 1.752, 91.2, 1.7, 91.0, 0.0, 1.8, -0.2, 1005.5, None, 0.0, 956.0, None,2022-10-29 13:00:00, None, 956.0,44
None, 5.326, 76.81, 5.2, 77.0, 2.0, 5.3, -0.2, 1003.2, None, 2.0, 954.0, None,2022-10-29 14:00:00, None, 954.0,44
None, 5.709, 79.07, 6.3, 79.0, 2.0, 5.7, -0.2, 1001.1, None, 2.0, 952.0, None,2022-10-29 15:00:00, None, 952.0,44
None, 4.37, 89.0, 6.3, 89.0, 3.0, 4.4, -0.2, 1001.2, None, 3.0, 952.0, None,2022-10-29 16:00:00, None, 952.0,44
None, 4.803, 87.7, 6.3, 88.0, 3.0, 4.8, -0.2, 999.0, None, 3.0, 950.0, None,2022-10-29 17:00:00, None, 950.0,44
None, 5.815, 82.5, 6.3, 83.0, 3.0, 5.8, -0.2, 996.8, None, 3.0, 948.0, None,2022-10-29 18:00:00, None, 948.0,44
None, 5.063, 87.1, 6.1, 87.0, 3.0, 5.1, 5.1, 996.8, None, 3.0, 948.0, None,2022-10-29 19:00:00, None, 948.0,44
None, 4.472, 92.1, 6.1, 92.0, 3.0, 4.5, 4.4, 996.9, None, 3.0, 948.0, None,2022-10-29 20:00:00, None, 948.0,44
None, 5.126, 88.3, 6.1, 88.0, 3.0, 5.1, 4.4, 996.8, None, 3.0, 948.0, None,2022-10-29 21:00:00, None, 948.0,44
None, 4.124, 89.4, 6.1, 89.0, 3.0, 4.1, 4.2, 997.9, None, 3.0, 949.0, None,2022-10-29 22:00:00, None, 949.0,44
None, 4.259, 88.1, 6.1, 88.0, 2.0, 4.3, 4.0, 999.0, None, 2.0, 950.0, None,2022-10-29 23:00:00, None, 950.0,44
None, 2.709, 91.8, 6.1, 92.0, 1.0, 2.7, 2.8, 999.0, None, 1.0, 950.0, None,2022-10-30 00:00:00, None, 950.0,44
None, 2.375, 92.8, 6.1, 93.0, 1.0, 2.4, 2.2, 999.0, None, 1.0, 950.0, None,2022-10-30 01:00:00, None, 950.0,44
None, 1.706, 93.2, 6.1, 93.0, 1.0, 1.7, 1.7, 998.9, None, 1.0, 950.0, None,2022-10-30 02:00:00, None, 950.0,44
None, 1.777, 93.2, 6.1, 93.0, 1.0, 1.8, 1.4, 999.9, None, 1.0, 951.0, None,2022-10-30 03:00:00, None, 951.0,44
None, 1.796, 93.3, 6.1, 93.0, 1.0, 1.8, 1.4, 1000.0, None, 1.0, 951.0, None,2022-10-30 04:00:00, None, 951.0,44
None, 1.599, 93.8, 6.1, 94.0, 1.0, 1.6, 1.4, 1000.0, None, 1.0, 951.0, None,2022-10-30 05:00:00, None, 951.0,44
None, 2.153, 93.8, 6.1, 94.0, 1.0, 2.2, 1.4, 999.9, None, 1.0, 951.0, None,2022-10-30 06:00:00, None, 951.0,44
None, 2.177, 93.1, 2.9, 93.0, 1.0, 2.2, 2.1, 1001.0, None, 1.0, 952.0, None,2022-10-30 07:00:00, None, 952.0,44
None, 2.36, 91.1, 2.9, 91.0, 1.0, 2.4, 1.9, 1001.0, None, 1.0, 952.0, None,2022-10-30 08:00:00, None, 952.0,44
None, 1.989, 91.0, 3.2, 91.0, 1.0, 2.0, 1.9, 1002.0, None, 1.0, 953.0, None,2022-10-30 09:00:00, None, 953.0,44
None, 2.145, 91.0, 3.2, 91.0, 1.0, 2.1, 1.8, 1003.1, None, 1.0, 954.0, None,2022-10-30 10:00:00, None, 954.0,44
None, 4.471, 81.0, 4.5, 81.0, 1.0, 4.5, 1.8, 1004.1, None, 1.0, 955.0, None,2022-10-30 11:00:00, None, 955.0,44
None, 5.38, 73.38, 5.5, 73.0, 1.0, 5.4, 1.8, 1004.1, None, 1.0, 955.0, None,2022-10-30 12:00:00, None, 955.0,44
None, 4.673, 68.03, 5.8, 68.0, -1.0, 4.7, 1.8, 1005.2, None, -1.0, 956.0, None,2022-10-30 13:00:00, None, 956.0,44
None, 5.081, 69.24, 5.8, 69.0, 0.0, 5.1, 1.8, 1006.3, None, 0.0, 957.0, None,2022-10-30 14:00:00, None, 957.0,44
None, 5.173, 63.11, 5.8, 63.0, -1.0, 5.2, 1.8, 1007.3, None, -1.0, 958.0, None,2022-10-30 15:00:00, None, 958.0,44
None, 3.279, 80.4, 5.8, 80.0, 0.0, 3.3, 1.8, 1007.4, None, 0.0, 958.0, None,2022-10-30 16:00:00, None, 958.0,44
None, 2.711, 77.18, 5.8, 77.0, -1.0, 2.7, 1.8, 1007.4, None, -1.0, 958.0, None,2022-10-30 17:00:00, None, 958.0,44
None, 0.749, 87.9, 5.8, 88.0, -1.0, 0.7, 0.8, 1007.5, None, -1.0, 958.0, None,2022-10-30 18:00:00, None, 958.0,44
None, -0.102, 90.6, 0.8, 91.0, -1.0, -0.1, -0.3, 1007.5, None, -1.0, 958.0, None,2022-10-30 19:00:00, None, 958.0,44
None, 0.016, 91.1, 0.8, 91.0, -1.0, 0.0, -0.3, 1006.5, None, -1.0, 957.0, None,2022-10-30 20:00:00, None, 957.0,44
None, -0.611, 90.5, 0.8, 91.0, -2.0, -0.6, -0.7, 1006.5, None, -2.0, 957.0, None,2022-10-30 21:00:00, None, 957.0,44
None, -0.85, 90.7, 0.8, 91.0, -2.0, -0.9, -1.0, 1006.5, None, -2.0, 957.0, None,2022-10-30 22:00:00, None, 957.0,44
None, -0.575, 96.7, 0.8, 97.0, -1.0, -0.6, -1.0, 1005.3, None, -1.0, 956.0, None,2022-10-30 23:00:00, None, 956.0,44
