WDIR_VECT,TEMP_MEAN,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
148.2, None,74.2, None,2021-12-10 00:00:00, None,50
142.7, None,73.4, None,2021-12-10 01:00:00, None,50
170.8, None,71.0, None,2021-12-10 02:00:00, None,50
169.5, None,68.8, None,2021-12-10 03:00:00, None,50
169.9, None,69.6, None,2021-12-10 04:00:00, None,50
172.3, None,68.7, None,2021-12-10 05:00:00, None,50
172.3, None,67.9, None,2021-12-10 06:00:00, None,50
168.5, None,67.9, None,2021-12-10 07:00:00, None,50
162.1, None,72.5, None,2021-12-10 08:00:00, None,50
166.0, None,81.9, None,2021-12-10 09:00:00, None,50
167.0, None,80.8, None,2021-12-10 10:00:00, None,50
165.8, None,79.3, None,2021-12-10 11:00:00, None,50
169.8, None,74.0, None,2021-12-10 12:00:00, None,50
169.6, None,71.8, None,2021-12-10 13:00:00, None,50
168.6, None,70.8, None,2021-12-10 14:00:00, None,50
170.2, None,66.6, None,2021-12-10 15:00:00, None,50
169.0, None,66.7, None,2021-12-10 16:00:00, None,50
166.8, None,67.0, None,2021-12-10 17:00:00, None,50
170.1, None,66.0, None,2021-12-10 18:00:00, None,50
170.7, None,65.4, None,2021-12-10 19:00:00, None,50
171.4, None,65.5, None,2021-12-10 20:00:00, None,50
172.9, None,64.7, None,2021-12-10 21:00:00, None,50
175.4, None,64.8, None,2021-12-10 22:00:00, None,50
179.3, None,64.3, None,2021-12-10 23:00:00, None,50
181.4, None,65.3, None,2021-12-11 00:00:00, None,50
185.4, None,65.8, None,2021-12-11 01:00:00, None,50
193.1, None,75.6, None,2021-12-11 02:00:00, None,50
173.6, None,88.0, None,2021-12-11 03:00:00, None,50
168.8, None,86.5, None,2021-12-11 04:00:00, None,50
150.2, None,87.9, None,2021-12-11 05:00:00, None,50
146.8, None,89.3, None,2021-12-11 06:00:00, None,50
152.6, None,89.1, None,2021-12-11 07:00:00, None,50
153.4, None,89.5, None,2021-12-11 08:00:00, None,50
158.1, None,92.4, None,2021-12-11 09:00:00, None,50
155.3, None,86.8, None,2021-12-11 10:00:00, None,50
157.3, None,81.5, None,2021-12-11 11:00:00, None,50
172.0, None,76.5, None,2021-12-11 12:00:00, None,50
162.6, None,75.2, None,2021-12-11 13:00:00, None,50
145.3, None,77.1, None,2021-12-11 14:00:00, None,50
180.1, None,78.8, None,2021-12-11 15:00:00, None,50
128.7, None,78.1, None,2021-12-11 16:00:00, None,50
154.0, None,83.5, None,2021-12-11 17:00:00, None,50
160.7, None,89.1, None,2021-12-11 18:00:00, None,50
160.5, None,88.9, None,2021-12-11 19:00:00, None,50
240.6, None,91.5, None,2021-12-11 20:00:00, None,50
14.3, None,92.3, None,2021-12-11 21:00:00, None,50
165.6, None,91.5, None,2021-12-11 22:00:00, None,50
171.8, None,91.0, None,2021-12-11 23:00:00, None,50
152.6, None,91.2, None,2021-12-12 00:00:00, None,50
164.9, None,91.5, None,2021-12-12 01:00:00, None,50
177.4, None,91.4, None,2021-12-12 02:00:00, None,50
151.6, None,91.5, None,2021-12-12 03:00:00, None,50
179.2, None,91.1, None,2021-12-12 04:00:00, None,50
187.0, None,91.7, None,2021-12-12 05:00:00, None,50
