time,tasmin,tasmax,pcp,week_of_year
2016-04-22, 1.7, 6.9,5.1,17
2016-04-23, 2.1, 8.5,5.3,17
2016-04-24, 1.6, 4.3,0.0,17
2016-04-25, -1.4, 6.4,0.0,17
2016-04-26, -1.6, 7.4,7.4,17
2016-04-27, 1.8, 6.2,0.1,17
2016-04-28, -0.3, 9.0,5.5,17
