WDIR_VECT,time,week_of_year
32.1,2019-04-30 00:00:00,18
3.1,2019-04-30 01:00:00,18
7.0,2019-04-30 02:00:00,18
1.8,2019-04-30 03:00:00,18
326.7,2019-04-30 04:00:00,18
52.5,2019-04-30 05:00:00,18
53.3,2019-04-30 06:00:00,18
23.6,2019-04-30 07:00:00,18
85.6,2019-04-30 08:00:00,18
230.7,2019-04-30 09:00:00,18
251.0,2019-04-30 10:00:00,18
266.2,2019-04-30 11:00:00,18
259.5,2019-04-30 12:00:00,18
268.6,2019-04-30 13:00:00,18
274.2,2019-04-30 14:00:00,18
266.3,2019-04-30 15:00:00,18
268.9,2019-04-30 16:00:00,18
267.0,2019-04-30 17:00:00,18
268.3,2019-04-30 18:00:00,18
280.7,2019-04-30 19:00:00,18
286.5,2019-04-30 20:00:00,18
8.1,2019-04-30 21:00:00,18
15.8,2019-04-30 22:00:00,18
22.9,2019-04-30 23:00:00,18
38.7,2019-05-01 00:00:00,18
52.1,2019-05-01 01:00:00,18
57.8,2019-05-01 02:00:00,18
72.6,2019-05-01 03:00:00,18
41.0,2019-05-01 04:00:00,18
48.9,2019-05-01 05:00:00,18
41.8,2019-05-01 06:00:00,18
41.6,2019-05-01 07:00:00,18
85.6,2019-05-01 08:00:00,18
101.2,2019-05-01 09:00:00,18
93.1,2019-05-01 10:00:00,18
89.7,2019-05-01 11:00:00,18
92.3,2019-05-01 12:00:00,18
113.6,2019-05-01 13:00:00,18
186.3,2019-05-01 14:00:00,18
145.1,2019-05-01 15:00:00,18
178.9,2019-05-01 16:00:00,18
213.1,2019-05-01 17:00:00,18
231.4,2019-05-01 18:00:00,18
175.5,2019-05-01 19:00:00,18
169.5,2019-05-01 20:00:00,18
133.5,2019-05-01 21:00:00,18
28.5,2019-05-01 22:00:00,18
32.8,2019-05-01 23:00:00,18
19.2,2019-05-02 00:00:00,18
81.2,2019-05-02 01:00:00,18
88.6,2019-05-02 02:00:00,18
89.4,2019-05-02 03:00:00,18
88.1,2019-05-02 04:00:00,18
88.4,2019-05-02 05:00:00,18
87.5,2019-05-02 06:00:00,18
85.5,2019-05-02 07:00:00,18
87.2,2019-05-02 08:00:00,18
86.3,2019-05-02 09:00:00,18
83.5,2019-05-02 10:00:00,18
90.4,2019-05-02 11:00:00,18
94.9,2019-05-02 12:00:00,18
122.4,2019-05-02 13:00:00,18
147.4,2019-05-02 14:00:00,18
99.5,2019-05-02 15:00:00,18
71.4,2019-05-02 16:00:00,18
85.5,2019-05-02 17:00:00,18
87.6,2019-05-02 18:00:00,18
97.1,2019-05-02 19:00:00,18
89.1,2019-05-02 20:00:00,18
77.2,2019-05-02 21:00:00,18
70.8,2019-05-02 22:00:00,18
93.1,2019-05-02 23:00:00,18
80.1,2019-05-03 00:00:00,18
72.6,2019-05-03 01:00:00,18
86.9,2019-05-03 02:00:00,18
93.3,2019-05-03 03:00:00,18
97.3,2019-05-03 04:00:00,18
100.2,2019-05-03 05:00:00,18
100.0,2019-05-03 06:00:00,18
104.2,2019-05-03 07:00:00,18
105.5,2019-05-03 08:00:00,18
103.8,2019-05-03 09:00:00,18
154.8,2019-05-03 10:00:00,18
147.4,2019-05-03 11:00:00,18
103.3,2019-05-03 12:00:00,18
100.3,2019-05-03 13:00:00,18
90.3,2019-05-03 14:00:00,18
108.2,2019-05-03 15:00:00,18
