pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,snwfl_amt_pst1hr,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 7.843,67.58, None, None, None, None, None, None, None, None, None,2.0, 889.0, None, None, None,2017-08-27 00:00:00, None, None, None,35
None, 7.208,70.73, None, None, None, None, None, None, None, None, None,2.0, 889.0, None, None, None,2017-08-27 01:00:00, None, None, None,35
None, 6.561,72.91, None, None, None, None, None, None, None, None, None,2.0, 889.0, None, None, None,2017-08-27 02:00:00, None, None, None,35
None, 6.043,75.74, None, None, None, None, None, None, None, None, None,2.0, 889.0, None, None, None,2017-08-27 03:00:00, None, None, None,35
None, 5.412,78.74, None, None, None, None, None, None, None, None, None,2.0, 889.0, None, None, None,2017-08-27 04:00:00, None, None, None,35
None, 5.014,80.5, None, None, None, None, None, None, None, None, None,2.0, 889.0, None, None, None,2017-08-27 05:00:00, None, None, None,35
None, 4.6,81.0, None, None, None, None, None, None, None, None, None,2.0, 889.0, None, None, None,2017-08-27 06:00:00, None, None, None,35
None, 4.319,84.4, None, None, None, None, None, None, None, None, None,2.0, 889.0, None, None, None,2017-08-27 07:00:00, None, None, None,35
None, 10.03,66.63, None, None, None, None, None, None, None, None, None,4.0, 889.0, None, None, None,2017-08-27 08:00:00, None, None, None,35
None, 15.6,46.18, None, None, None, None, None, None, None, None, None,4.0, 889.0, None, None, None,2017-08-27 09:00:00, None, None, None,35
None, 21.11,28.96, None, None, None, None, None, None, None, None, None,2.0, 888.0, None, None, None,2017-08-27 10:00:00, None, None, None,35
None, 24.41,23.49, None, None, None, None, None, None, None, None, None,3.0, 887.0, None, None, None,2017-08-27 11:00:00, None, None, None,35
None, 26.02,21.28, None, None, None, None, None, None, None, None, None,2.0, 887.0, None, None, None,2017-08-27 12:00:00, None, None, None,35
None, 27.58,17.97, None, None, None, None, None, None, None, None, None,1.0, 886.0, None, None, None,2017-08-27 13:00:00, None, None, None,35
None, 29.15,16.36, None, None, None, None, None, None, None, None, None,1.0, 885.0, None, None, None,2017-08-27 14:00:00, None, None, None,35
None, 29.46,15.99, None, None, None, None, None, None, None, None, None,1.0, 884.0, None, None, None,2017-08-27 15:00:00, None, None, None,35
None, 29.74,16.06, None, None, None, None, None, None, None, None, None,2.0, 884.0, None, None, None,2017-08-27 16:00:00, None, None, None,35
None, 25.94,25.82, None, None, None, None, None, None, None, None, None,5.0, 884.0, None, None, None,2017-08-27 17:00:00, None, None, None,35
None, 23.18,30.37, None, None, None, None, None, None, None, None, None,4.0, 884.0, None, None, None,2017-08-27 18:00:00, None, None, None,35
None, 21.2,33.84, None, None, None, None, None, None, None, None, None,5.0, 884.0, None, None, None,2017-08-27 19:00:00, None, None, None,35
None, 18.13,43.34, None, None, None, None, None, None, None, None, None,5.0, 884.0, None, None, None,2017-08-27 20:00:00, None, None, None,35
None, 15.38,50.84, None, None, None, None, None, None, None, None, None,5.0, 885.0, None, None, None,2017-08-27 21:00:00, None, None, None,35
None, 13.45,56.31, None, None, None, None, None, None, None, None, None,5.0, 885.0, None, None, None,2017-08-27 22:00:00, None, None, None,35
None, 12.05,57.63, None, None, None, None, None, None, None, None, None,4.0, 885.0, None, None, None,2017-08-27 23:00:00, None, None, None,35
None, 11.24,62.98, None, None, None, None, None, None, None, None, None,4.0, 886.0, None, None, None,2017-08-28 00:00:00, None, None, None,35
None, 10.27,65.57, None, None, None, None, None, None, None, None, None,4.0, 886.0, None, None, None,2017-08-28 01:00:00, None, None, None,35
None, 9.37,69.55, None, None, None, None, None, None, None, None, None,4.0, 886.0, None, None, None,2017-08-28 02:00:00, None, None, None,35
