wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
, 63.0, 10.8, None, 3.6, None, 10.3, None, 349.0, 0.0, 0.0, None,2022-08-06 00:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 61.0, 11.9, None, 2.9, None, 10.1, None, 0.0, 0.0, 0.0, None,2022-08-06 01:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 61.0, 14.3, None, 3.1, None, 10.3, None, 353.0, 0.0, 0.0, None,2022-08-06 02:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 63.0, 14.2, None, 3.4, None, 10.1, None, 354.0, 0.0, 0.0, None,2022-08-06 03:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 63.0, 13.7, None, 3.3, None, 10.0, None, 359.0, 0.0, 0.0, None,2022-08-06 04:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 68.0, None, None, 3.8, None, 9.4, None, 347.0, 0.0, 0.0, None,2022-08-06 05:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 67.0, None, None, 3.8, None, 9.6, None, 358.0, 0.0, 0.0, None,2022-08-06 06:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 61.0, 11.8, None, 4.1, None, 11.3, None, 1.0, 0.0, 0.0, None,2022-08-06 07:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 59.0, 10.1, None, 4.4, None, 12.2, None, 14.0, 0.0, 0.0, None,2022-08-06 08:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 53.0, 12.7, None, 4.1, None, 13.5, None, 24.0, 0.0, 0.0, None,2022-08-06 09:00:00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
