TempC,time,RH,week_of_year
-0.171,2020-02-17 14:00:00,68.0,7
-0.032,2020-02-17 15:00:00,67.8,7
-0.311,2020-02-17 16:00:00,70.2,7
-1.299,2020-02-17 17:00:00,74.6,7
-2.683,2020-02-17 18:00:00,83.1,7
-3.956,2020-02-17 19:00:00,89.1,7
-3.212,2020-02-17 20:00:00,82.1,7
-5.141,2020-02-17 21:00:00,85.7,7
-5.295,2020-02-17 22:00:00,90.9,7
-5.698,2020-02-17 23:00:00,92.6,7
-5.885,2020-02-18 00:00:00,94.5,7
-6.01,2020-02-18 01:00:00,95.4,7
-5.948,2020-02-18 02:00:00,95.1,7
-6.073,2020-02-18 03:00:00,95.4,7
-7.219,2020-02-18 04:00:00,95.8,7
-9.782,2020-02-18 05:00:00,95.3,7
-12.491,2020-02-18 06:00:00,93.6,7
-13.315,2020-02-18 07:00:00,92.9,7
-10.686,2020-02-18 08:00:00,93.9,7
-8.497,2020-02-18 09:00:00,94.5,7
-5.264,2020-02-18 10:00:00,95.5,7
-0.255,2020-02-18 11:00:00,80.5,7
0.88,2020-02-18 12:00:00,65.4,7
0.19,2020-02-18 13:00:00,65.1,7
-0.676,2020-02-18 14:00:00,73.5,7
-0.06,2020-02-18 15:00:00,74.1,7
0.163,2020-02-18 16:00:00,71.4,7
-1.584,2020-02-18 17:00:00,70.6,7
-5.948,2020-02-18 18:00:00,84.3,7
-8.264,2020-02-18 19:00:00,91.6,7
-9.851,2020-02-18 20:00:00,92.8,7
-11.147,2020-02-18 21:00:00,91.6,7
-11.976,2020-02-18 22:00:00,91.8,7
-12.528,2020-02-18 23:00:00,91.7,7
