AirTemperature,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
6.8,0.0, 8.5,2019-05-21 00:00:00, 76.0,94.0,21
6.8,0.254, 9.0,2019-05-21 00:15:00, 64.0,94.0,21
6.8,0.0, 10.1,2019-05-21 00:30:00, 57.0,94.0,21
6.8,0.0, 8.0,2019-05-21 00:45:00, 57.0,93.0,21
6.8,0.0, 7.0,2019-05-21 01:00:00, 58.0,93.0,21
6.7,0.0, 3.4,2019-05-21 01:15:00, 72.0,93.0,21
6.7,0.0, 2.2,2019-05-21 01:30:00, 78.0,93.0,21
6.7,0.0, 2.7,2019-05-21 01:45:00, 6.0,93.0,21
6.7,0.0, 5.8,2019-05-21 02:00:00, 24.0,93.0,21
6.6,0.0, 6.0,2019-05-21 02:15:00, 24.0,93.0,21
6.6,0.0, 7.2,2019-05-21 02:30:00, 6.0,93.0,21
6.6,0.0, 11.2,2019-05-21 02:45:00, 355.0,93.0,21
6.7,0.0, 12.1,2019-05-21 03:00:00, 358.0,93.0,21
6.7,0.0, 11.4,2019-05-21 03:15:00, 356.0,93.0,21
6.7,0.0, 12.5,2019-05-21 03:30:00, 354.0,93.0,21
6.7,0.0, 12.3,2019-05-21 03:45:00, 358.0,93.0,21
6.8,0.0, 11.3,2019-05-21 04:00:00, 2.0,93.0,21
6.7,0.0, 13.3,2019-05-21 04:15:00, 356.0,92.0,21
6.7,0.0, 14.4,2019-05-21 04:30:00, 3.0,92.0,21
6.7,0.0, 16.6,2019-05-21 04:45:00, 2.0,92.0,21
6.6,0.254, 17.6,2019-05-21 05:00:00, 6.0,92.0,21
6.8,0.0, 20.4,2019-05-21 05:15:00, 8.0,92.0,21
6.9,0.0, 18.1,2019-05-21 05:30:00, 6.0,92.0,21
6.9,0.0, 15.7,2019-05-21 05:45:00, 1.0,92.0,21
7.1,0.0, 16.5,2019-05-21 06:00:00, 5.0,92.0,21
7.1,0.0, 17.4,2019-05-21 06:15:00, 10.0,92.0,21
7.2,0.0, 15.3,2019-05-21 06:30:00, 13.0,92.0,21
7.2,0.0, 16.5,2019-05-21 06:45:00, 7.0,92.0,21
7.3,0.0, 17.2,2019-05-21 07:00:00, 12.0,92.0,21
7.3,0.0, 17.8,2019-05-21 07:15:00, 4.0,93.0,21
7.4,0.0, 17.3,2019-05-21 07:30:00, 16.0,93.0,21
7.4,0.0, 16.2,2019-05-21 07:45:00, 14.0,94.0,21
7.5,0.0, 12.7,2019-05-21 08:00:00, 8.0,95.0,21
7.5,0.0, 11.9,2019-05-21 08:15:00, 17.0,95.0,21
7.8,0.0, 13.7,2019-05-21 08:30:00, 16.0,95.0,21
8.4,0.0, 11.0,2019-05-21 08:45:00, 6.0,94.0,21
