pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,23.69,45.99, None, None, 30.25, 0.677, 343.1, None, None, None, None, None, None,11.0, 974.0, None, None, None,2017-09-03 00:00:00, None, None, None,36
None,23.3,47.22, None, None, 23.6, 1.368, 328.7, None, None, None, None, None, None,11.0, 974.0, None, None, None,2017-09-03 01:00:00, None, None, None,36
None,22.33,50.76, None, None, 45.59, 0.821, 308.3, None, None, None, None, None, None,12.0, 975.0, None, None, None,2017-09-03 02:00:00, None, None, None,36
None,21.35,55.31, None, None, 57.58, 1.275, 335.2, None, None, None, None, None, None,12.0, 975.0, None, None, None,2017-09-03 03:00:00, None, None, None,36
None,20.38,57.67, None, None, 47.33, 0.924, 326.7, None, None, None, None, None, None,12.0, 975.0, None, None, None,2017-09-03 04:00:00, None, None, None,36
None,19.29,61.19, None, None, 26.02, 2.463, 250.8, None, None, None, None, None, None,12.0, 975.0, None, None, None,2017-09-03 05:00:00, None, None, None,36
None,20.24,55.13, None, None, 28.45, 0.938, 319.9, None, None, None, None, None, None,11.0, 975.0, None, None, None,2017-09-03 06:00:00, None, None, None,36
None,20.71,53.88, None, None, 26.63, 1.218, 326.7, None, None, None, None, None, None,11.0, 975.0, None, None, None,2017-09-03 07:00:00, None, None, None,36
None,22.08,51.4, None, None, 42.82, 0.541, 357.4, None, None, None, None, None, None,12.0, 976.0, None, None, None,2017-09-03 08:00:00, None, None, None,36
None,22.81,50.39, None, None, 19.72, 2.676, 186.6, None, None, None, None, None, None,12.0, 976.0, None, None, None,2017-09-03 09:00:00, None, None, None,36
None,23.33,53.01, None, None, 14.72, 4.419, 180.8, None, None, None, None, None, None,13.0, 976.0, None, None, None,2017-09-03 10:00:00, None, None, None,36
