pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, None, None,700.0,1817.0, None,2020-01-15 00:00:00,-36.6, None,235.0, None,3
None, None, None,700.0,1789.0, None,2020-01-15 01:00:00,-35.3, None,235.0, None,3
None, None, None,701.0,1850.0, None,2020-01-15 02:00:00,-36.0, None,235.0, None,3
None, None, None,702.0,1902.0, None,2020-01-15 04:00:00,-36.4, None,235.0, None,3
None, None, None,702.0,1838.0, None,2020-01-15 05:00:00,-35.4, None,234.0, None,3
None, None, None,702.0,1877.0, None,2020-01-15 06:00:00,-35.4, None,234.0, None,3
None, None, None,703.0,1865.0, None,2020-01-15 07:00:00,-35.4, None,234.0, None,3
None, None, None,703.0,1889.0, None,2020-01-15 08:00:00,-35.9, None,234.0, None,3
None, None, None,703.0,1804.0, None,2020-01-15 09:00:00,-34.8, None,234.0, None,3
None, None, None,704.0,1664.0, None,2020-01-15 10:00:00,-33.0, None,234.0, None,3
None, None, None,704.0,1631.0, None,2020-01-15 11:00:00,-34.1, None,233.0, None,3
None, None, None,704.0,1556.0, None,2020-01-15 12:00:00,-33.3, None,233.0, None,3
None, None, None,704.0,1531.0, None,2020-01-15 13:00:00,-33.9, None,233.0, None,3
None, None, None,704.0,1455.0, None,2020-01-15 14:00:00,-32.1, None,234.0, None,3
None, None, 15.0,704.0,1470.0, None,2020-01-15 15:00:00,-32.8, None,233.0, None,3
None, None, None,704.0,1341.0, None,2020-01-15 16:00:00,-30.1, None,233.0, None,3
None, None, None,704.0,1268.0, None,2020-01-15 17:00:00,-29.7, None,233.0, None,3
None, None, None,704.0,1212.0, None,2020-01-15 18:00:00,-29.0, None,232.0, None,3
None, None, None,704.0,1155.0, None,2020-01-15 19:00:00,-28.0, None,232.0, None,3
None, None, None,704.0,1150.0, None,2020-01-15 20:00:00,-27.6, None,232.0, None,3
None, None, None,704.0,1113.0, None,2020-01-15 21:00:00,-27.2, None,232.0, None,3
None, None, 37.0,704.0,1150.0, None,2020-01-15 22:00:00,-27.9, None,232.0, None,3
None, None, None,703.0,1147.0, None,2020-01-15 23:00:00,-27.4, None,232.0, None,3
None, None, None,703.0,1145.0, None,2020-01-16 00:00:00,-27.1, None,233.0, None,3
None, None, 38.0,703.0,1183.0, None,2020-01-16 01:00:00,-26.9, None,232.0, None,3
None, None, None,703.0,1157.0, None,2020-01-16 02:00:00,-27.2, None,232.0, None,3
None, None, 15.0,702.0,1172.0, None,2020-01-16 03:00:00,-28.2, None,232.0, None,3
None, None, 30.0,702.0,1202.0, None,2020-01-16 04:00:00,-29.4, None,232.0, None,3
None, None, None,702.0,1185.0, None,2020-01-16 05:00:00,-30.1, None,232.0, None,3
None, None, 0.0,702.0,1185.0, None,2020-01-16 06:00:00,-29.9, None,231.0, None,3
None, None, 17.0,701.0,1202.0, None,2020-01-16 07:00:00,-30.7, None,231.0, None,3
None, None, 21.0,701.0,1223.0, None,2020-01-16 08:00:00,-31.2, None,231.0, None,3
None, None, None,701.0,1207.0, None,2020-01-16 09:00:00,-29.7, None,231.0, None,3
None, None, None,701.0,1202.0, None,2020-01-16 10:00:00,-29.3, None,231.0, None,3
None, None, None,701.0,1152.0, None,2020-01-16 11:00:00,-24.3, None,230.0, None,3
None, None, 39.0,700.0,1191.0, None,2020-01-16 12:00:00,-27.6, None,230.0, None,3
None, None, None,700.0,1168.0, None,2020-01-16 13:00:00,-27.9, None,231.0, None,3
None, None, None,700.0,1141.0, None,2020-01-16 14:00:00,-24.8, None,230.0, None,3
None, None, 43.0,699.0,1184.0, None,2020-01-16 15:00:00,-26.6, None,230.0, None,3
None, None, 7.0,699.0,1191.0, None,2020-01-16 16:00:00,-27.9, None,230.0, None,3
None, None, 1.0,699.0,1192.0, None,2020-01-16 17:00:00,-27.6, None,229.0, None,3
None, None, 19.0,698.0,1211.0, None,2020-01-16 18:00:00,-29.4, None,229.0, None,3
57.0, None, 1.0,698.0,1212.0, None,2020-01-16 19:00:00,-30.0, None,229.0, None,3
63.0, None, 1.0,698.0,1213.0, None,2020-01-16 20:00:00,-29.5, None,229.0, None,3
104.0, None, 4.0,698.0,1217.0, None,2020-01-16 21:00:00,-30.3, None,228.0, None,3
44.0, None, None,698.0,1194.0, None,2020-01-16 22:00:00,-29.4, None,229.0, None,3
44.0, None, None,698.0,1191.0, None,2020-01-16 23:00:00,-28.3, None,229.0, None,3
52.0, None, 6.0,697.0,1197.0, None,2020-01-17 00:00:00,-27.5, None,229.0, None,3
21.0, None, 7.0,697.0,1204.0, None,2020-01-17 01:00:00,-29.2, None,230.0, None,3
41.0, None, None,697.0,1198.0, None,2020-01-17 02:00:00,-29.3, None,232.0, None,3
17.0, None, None,696.0,1189.0, None,2020-01-17 03:00:00,-27.8, None,231.0, None,3
8.0, None, 21.0,696.0,1210.0, None,2020-01-17 04:00:00,-28.7, None,231.0, None,3
42.0, None, 17.0,696.0,1227.0, None,2020-01-17 05:00:00,-30.7, None,231.0, None,3
2.0, None, None,696.0,1187.0, None,2020-01-17 06:00:00,-28.0, None,231.0, None,3
None, None, 5.0,696.0,1192.0, None,2020-01-17 07:00:00,-27.7, None,230.0, None,3
None, None, 25.0,696.0,1217.0, None,2020-01-17 08:00:00,-27.7, None,230.0, None,3
None, None, None,695.0,1202.0, None,2020-01-17 09:00:00,-26.3, None,230.0, None,3
