RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
20.45, None, None, 27.5, 11.84, 300.3, -20.0, -0.3, -20.0, None, 300.0, None, None, -6999.0, None, None, None, 0.016, None, 3.4, None, None, 15.55, 11.8, 0.0, 0.0, -6999.0, 20.0,2020-05-27 00:00:00, -6999.0,22
20.64, None, None, 22.7, 10.08, 304.7, -18.0, -0.7, -18.0, None, 305.0, None, None, -6999.0, None, None, None, -0.623, None, 3.4, None, None, 19.39, 10.1, -0.6, 0.0, -6999.0, 21.0,2020-05-27 01:00:00, -6999.0,22
20.7, None, None, 23.5, 8.47, 304.3, -19.0, -1.0, -19.0, None, 304.0, None, None, -6999.0, None, None, None, -0.833, None, 3.4, None, None, 20.11, 8.5, -0.8, 0.0, -6999.0, 21.0,2020-05-27 02:00:00, -6999.0,22
20.81, None, None, 17.3, 6.37, 305.7, -19.0, -1.4, -19.0, None, 306.0, None, None, -6999.0, None, None, None, -1.186, None, 3.4, None, None, 20.7, 6.4, -1.2, 0.0, -6999.0, 21.0,2020-05-27 03:00:00, -6999.0,22
20.85, None, None, 13.9, 6.315, 302.0, -19.0, -1.7, -19.0, None, 302.0, None, None, -6999.0, None, None, None, -1.331, None, 3.4, None, None, 16.41, 6.3, -1.3, 0.0, -6999.0, 21.0,2020-05-27 04:00:00, -6999.0,22
20.83, None, None, 16.0, 7.53, 287.9, -19.0, -1.8, -19.0, None, 288.0, None, None, -6999.0, None, None, None, -1.283, None, 3.4, None, None, 15.51, 7.5, -1.3, 0.0, -6999.0, 21.0,2020-05-27 05:00:00, -6999.0,22
20.69, None, None, 18.6, 6.0, 281.9, -19.0, -1.8, -19.0, None, 282.0, None, None, -6999.0, None, None, None, -0.794, None, 3.4, None, None, 18.32, 6.0, -0.8, 0.0, -6999.0, 21.0,2020-05-27 06:00:00, -6999.0,22
20.4, None, None, 17.0, 6.922, 298.3, -20.0, -1.0, -20.0, None, 298.0, None, None, -6999.0, None, None, None, 0.173, None, 0.4, None, None, 16.98, 6.9, 0.2, 0.0, -6999.0, 20.0,2020-05-27 07:00:00, -6999.0,22
19.88, None, None, 18.2, 3.54, 294.4, -19.0, -1.0, -19.0, None, 294.0, None, None, -6999.0, None, None, None, 1.684, None, 1.8, None, None, 33.35, 3.5, 1.7, 0.0, -6999.0, 20.0,2020-05-27 08:00:00, -6999.0,22
20.34, None, None, 26.7, 6.665, 300.3, -20.0, -1.0, -20.0, None, 300.0, None, None, -6999.0, None, None, None, 0.351, None, 2.4, None, None, 28.72, 6.7, 0.4, 0.0, -6999.0, 20.0,2020-05-27 09:00:00, -6999.0,22
19.67, None, None, 24.1, 10.26, 304.8, -18.0, -1.0, -18.0, None, 305.0, None, None, -6999.0, None, None, None, 2.611, None, 2.6, None, None, 19.86, 10.3, 2.6, 0.0, -6999.0, 20.0,2020-05-27 10:00:00, -6999.0,22
