CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,snwfl_amt_pst1hr,stn_pres,week_of_year
10.24, None, None, None, None, None, None, None, None, 10.2, 10.2, None, -1.0, None, 18.8, None, None,2022-08-06 00:00:00, None, None, None,32
10.14, None, None, None, None, None, None, None, None, 10.1, 10.1, None, -0.1, None, 18.8, None, None,2022-08-06 01:00:00, None, None, None,32
9.97, None, None, None, None, None, None, None, None, 10.0, 9.4, None, -0.1, None, 18.8, None, None,2022-08-06 02:00:00, None, None, None,32
9.42, None, None, None, None, None, None, None, None, 9.4, 9.4, None, -0.1, None, 18.8, None, None,2022-08-06 03:00:00, None, None, None,32
9.02, None, None, None, None, None, None, None, None, 9.0, 9.0, None, 0.0, None, 18.8, None, None,2022-08-06 04:00:00, None, None, None,32
8.16, None, None, None, None, None, None, None, None, 8.2, 8.2, None, -0.1, None, 18.8, None, None,2022-08-06 05:00:00, None, None, None,32
8.44, None, None, None, None, None, None, None, None, 8.4, 7.6, None, -1.0, None, 18.8, None, None,2022-08-06 06:00:00, None, None, None,32
8.0, None, None, None, None, None, None, None, None, 8.0, 7.9, None, -0.1, None, 8.5, None, None,2022-08-06 07:00:00, None, None, None,32
9.43, None, None, None, None, None, None, None, None, 9.4, 7.9, None, -0.1, None, 9.4, None, None,2022-08-06 08:00:00, None, None, None,32
10.75, None, None, None, None, None, None, None, None, 10.8, 7.9, None, 0.0, None, 11.0, None, None,2022-08-06 09:00:00, None, None, None,32
13.26, None, None, None, None, None, None, None, None, 13.3, 7.9, None, 1.0, None, 13.3, None, None,2022-08-06 10:00:00, None, None, None,32
17.19, None, None, None, None, None, None, None, None, 17.2, 7.9, None, -2.0, None, 17.4, None, None,2022-08-06 11:00:00, None, None, None,32
20.29, None, None, None, None, None, None, None, None, 20.3, 7.9, None, -4.0, None, 20.3, None, None,2022-08-06 12:00:00, None, None, None,32
