WSPD_SCLR,time,week_of_year
0.598753,2019-03-05 00:00:00,10
1.12107,2019-03-05 01:00:00,10
2.02449,2019-03-05 02:00:00,10
2.64469,2019-03-05 03:00:00,10
4.6216,2019-03-05 04:00:00,10
4.29265,2019-03-05 05:00:00,10
2.94972,2019-03-05 06:00:00,10
2.31062,2019-03-05 07:00:00,10
1.85952,2019-03-05 08:00:00,10
1.42691,2019-03-05 09:00:00,10
2.03293,2019-03-05 10:00:00,10
1.84662,2019-03-05 11:00:00,10
1.81488,2019-03-05 12:00:00,10
2.68174,2019-03-05 13:00:00,10
1.36838,2019-03-05 14:00:00,10
1.60897,2019-03-05 15:00:00,10
1.9974,2019-03-05 16:00:00,10
1.74911,2019-03-05 17:00:00,10
1.55115,2019-03-05 18:00:00,10
1.2072,2019-03-05 19:00:00,10
0.213722,2019-03-05 20:00:00,10
0.213994,2019-03-05 21:00:00,10
0.914367,2019-03-05 22:00:00,10
0.771014,2019-03-05 23:00:00,10
0.712079,2019-03-06 00:00:00,10
1.57827,2019-03-06 01:00:00,10
1.71021,2019-03-06 02:00:00,10
0.812937,2019-03-06 03:00:00,10
0.56135,2019-03-06 04:00:00,10
1.42092,2019-03-06 05:00:00,10
1.66382,2019-03-06 06:00:00,10
1.6672,2019-03-06 07:00:00,10
1.35861,2019-03-06 08:00:00,10
1.14818,2019-03-06 09:00:00,10
1.72466,2019-03-06 10:00:00,10
1.94881,2019-03-06 11:00:00,10
2.59082,2019-03-06 12:00:00,10
2.77492,2019-03-06 13:00:00,10
2.7379,2019-03-06 14:00:00,10
2.84467,2019-03-06 15:00:00,10
2.62585,2019-03-06 16:00:00,10
1.77012,2019-03-06 17:00:00,10
1.56558,2019-03-06 18:00:00,10
0.80507,2019-03-06 19:00:00,10
0.749237,2019-03-06 20:00:00,10
0.604007,2019-03-06 21:00:00,10
1.20126,2019-03-06 22:00:00,10
1.30577,2019-03-06 23:00:00,10
1.44928,2019-03-07 00:00:00,10
1.13342,2019-03-07 01:00:00,10
0.998566,2019-03-07 02:00:00,10
1.16394,2019-03-07 03:00:00,10
1.34372,2019-03-07 04:00:00,10
1.17962,2019-03-07 05:00:00,10
0.754491,2019-03-07 06:00:00,10
0.577465,2019-03-07 07:00:00,10
0.337964,2019-03-07 08:00:00,10
0.836457,2019-03-07 09:00:00,10
1.64972,2019-03-07 10:00:00,10
1.55678,2019-03-07 11:00:00,10
0.762875,2019-03-07 12:00:00,10
0.409231,2019-03-07 13:00:00,10
0.413233,2019-03-07 14:00:00,10
0.632263,2019-03-07 15:00:00,10
1.28671,2019-03-07 16:00:00,10
1.22859,2019-03-07 17:00:00,10
1.24071,2019-03-07 18:00:00,10
0.868933,2019-03-07 19:00:00,10
1.07675,2019-03-07 20:00:00,10
1.0054,2019-03-07 21:00:00,10
1.3261,2019-03-07 22:00:00,10
1.34794,2019-03-07 23:00:00,10
0.83349,2019-03-08 00:00:00,10
0.391456,2019-03-08 01:00:00,10
1.81531,2019-03-08 02:00:00,10
2.17767,2019-03-08 03:00:00,10
2.20652,2019-03-08 04:00:00,10
2.17655,2019-03-08 05:00:00,10
1.82786,2019-03-08 06:00:00,10
1.93117,2019-03-08 07:00:00,10
1.6164,2019-03-08 08:00:00,10
1.05916,2019-03-08 09:00:00,10
2.38132,2019-03-08 10:00:00,10
4.23254,2019-03-08 11:00:00,10
3.55269,2019-03-08 12:00:00,10
2.4767,2019-03-08 13:00:00,10
2.36327,2019-03-08 14:00:00,10
1.81278,2019-03-08 15:00:00,10
1.50811,2019-03-08 16:00:00,10
0.683985,2019-03-08 17:00:00,10
1.16721,2019-03-08 18:00:00,10
1.11557,2019-03-08 19:00:00,10
0.933423,2019-03-08 20:00:00,10
0.973685,2019-03-08 21:00:00,10
1.4339,2019-03-08 22:00:00,10
1.67466,2019-03-08 23:00:00,10
1.81872,2019-03-09 00:00:00,10
1.8556,2019-03-09 01:00:00,10
1.56835,2019-03-09 02:00:00,10
1.70264,2019-03-09 03:00:00,10
0.704811,2019-03-09 04:00:00,10
0.517222,2019-03-09 05:00:00,10
1.0691,2019-03-09 06:00:00,10
1.27806,2019-03-09 07:00:00,10
0.779617,2019-03-09 08:00:00,10
0.582964,2019-03-09 09:00:00,10
0.897054,2019-03-09 10:00:00,10
0.663215,2019-03-09 11:00:00,10
1.23398,2019-03-09 12:00:00,10
0.851566,2019-03-09 13:00:00,10
0.613262,2019-03-09 14:00:00,10
1.30814,2019-03-09 15:00:00,10
1.98793,2019-03-09 16:00:00,10
2.29894,2019-03-09 17:00:00,10
1.20268,2019-03-09 18:00:00,10
2.1171,2019-03-09 19:00:00,10
1.56906,2019-03-09 20:00:00,10
2.06941,2019-03-09 21:00:00,10
3.17917,2019-03-09 22:00:00,10
4.0894,2019-03-09 23:00:00,10
3.98073,2019-03-10 00:00:00,10
3.48815,2019-03-10 01:00:00,10
4.06161,2019-03-10 02:00:00,10
3.99538,2019-03-10 03:00:00,10
2.35252,2019-03-10 04:00:00,10
2.12886,2019-03-10 05:00:00,10
3.34665,2019-03-10 06:00:00,10
3.27767,2019-03-10 07:00:00,10
3.0019,2019-03-10 08:00:00,10
5.2145,2019-03-10 09:00:00,10
5.84124,2019-03-10 10:00:00,10
6.85104,2019-03-10 11:00:00,10
10.2459,2019-03-10 12:00:00,10
8.96115,2019-03-10 13:00:00,10
7.33511,2019-03-10 14:00:00,10
5.7563,2019-03-10 15:00:00,10
6.92533,2019-03-10 16:00:00,10
8.62533,2019-03-10 17:00:00,10
9.01339,2019-03-10 18:00:00,10
9.77645,2019-03-10 19:00:00,10
9.16648,2019-03-10 20:00:00,10
8.07264,2019-03-10 21:00:00,10
7.22665,2019-03-10 22:00:00,10
5.84072,2019-03-10 23:00:00,10
5.55837,2019-03-11 00:00:00,10
6.6701,2019-03-11 01:00:00,10
7.28088,2019-03-11 02:00:00,10
6.57714,2019-03-11 03:00:00,10
7.30182,2019-03-11 04:00:00,10
6.89569,2019-03-11 05:00:00,10
6.34272,2019-03-11 06:00:00,10
6.45891,2019-03-11 07:00:00,10
4.8733,2019-03-11 08:00:00,10
4.71524,2019-03-11 09:00:00,10
5.52584,2019-03-11 10:00:00,10
5.0792,2019-03-11 11:00:00,10
5.34639,2019-03-11 12:00:00,10
5.22947,2019-03-11 13:00:00,10
6.54038,2019-03-11 14:00:00,10
6.56486,2019-03-11 15:00:00,10
6.48667,2019-03-11 16:00:00,10
6.30557,2019-03-11 17:00:00,10
5.74343,2019-03-11 18:00:00,10
3.81356,2019-03-11 19:00:00,10
3.47987,2019-03-11 20:00:00,10
3.15919,2019-03-11 21:00:00,10
3.85067,2019-03-11 22:00:00,10
4.00771,2019-03-11 23:00:00,10
