wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,relative_humidity,time,snw_dpth,week_of_year
115.0, None, None,0.0, None,4.0, None,12.6, None, None,100.0,2019-07-16 00:00:00, None,29
119.0, None, None,0.0, None,3.8, None,12.1, None, None,100.0,2019-07-16 01:00:00, None,29
125.0, None, None,0.0, None,3.0, None,12.0, None, None,100.0,2019-07-16 02:00:00, None,29
130.0, None, None,0.0, None,3.1, None,11.8, None, None,100.0,2019-07-16 03:00:00, None,29
136.0, None, None,0.0, None,3.1, None,11.5, None, None,100.0,2019-07-16 04:00:00, None,29
143.0, None, None,0.0, None,0.0, None,12.7, None, None,100.0,2019-07-16 05:00:00, None,29
163.0, None, None,0.0, None,2.8, None,14.0, None, None,100.0,2019-07-16 06:00:00, None,29
317.0, None, None,0.2, None,0.0, None,15.2, None, None,100.0,2019-07-16 07:00:00, None,29
119.0, None, None,0.0, None,0.0, None,15.6, None, None,98.0,2019-07-16 08:00:00, None,29
121.0, None, None,0.0, None,0.0, None,16.8, None, None,91.0,2019-07-16 09:00:00, None,29
206.0, None, None,0.0, None,2.3, None,19.5, None, None,76.0,2019-07-16 10:00:00, None,29
309.0, None, None,0.0, None,4.2, None,22.6, None, None,66.0,2019-07-16 11:00:00, None,29
265.0, None, None,0.0, None,6.0, None,25.3, None, None,62.0,2019-07-16 12:00:00, None,29
248.0, None, None,0.0, None,1.9, None,21.5, None, None,61.0,2019-07-16 13:00:00, None,29
171.0, None, None,0.0, None,2.6, None,20.9, None, None,66.0,2019-07-16 14:00:00, None,29
348.0, None, None,0.0, None,3.3, None,22.8, None, None,57.0,2019-07-16 15:00:00, None,29
300.0, None, None,0.0, None,4.5, None,24.2, None, None,51.0,2019-07-16 16:00:00, None,29
203.0, None, None,0.0, None,7.2, None,22.8, None, None,53.0,2019-07-16 17:00:00, None,29
144.0, None, None,0.0, None,6.3, None,21.1, None, None,58.0,2019-07-16 18:00:00, None,29
117.0, None, None,0.0, None,4.6, None,18.6, None, None,73.0,2019-07-16 19:00:00, None,29
121.0, None, None,0.0, None,3.8, None,16.6, None, None,88.0,2019-07-16 20:00:00, None,29
145.0, None, None,0.0, None,3.5, None,15.7, None, None,90.0,2019-07-16 21:00:00, None,29
148.0, None, None,0.0, None,3.2, None,15.6, None, None,91.0,2019-07-16 22:00:00, None,29
158.0, None, None,0.0, None,4.4, None,15.0, None, None,93.0,2019-07-16 23:00:00, None,29
126.0, None, None,0.0, None,2.9, None,14.7, None, None,93.0,2019-07-17 00:00:00, None,29
111.0, None, None,0.0, None,6.5, None,14.8, None, None,93.0,2019-07-17 01:00:00, None,29
107.0, None, None,0.4, None,4.7, None,13.9, None, None,96.0,2019-07-17 02:00:00, None,29
106.0, None, None,0.4, None,2.2, None,13.4, None, None,98.0,2019-07-17 03:00:00, None,29
99.0, None, None,0.4, None,2.2, None,13.2, None, None,99.0,2019-07-17 04:00:00, None,29
125.0, None, None,0.4, None,1.8, None,13.1, None, None,99.0,2019-07-17 05:00:00, None,29
127.0, None, None,0.4, None,2.3, None,13.0, None, None,100.0,2019-07-17 06:00:00, None,29
121.0, None, None,0.2, None,1.9, None,13.1, None, None,100.0,2019-07-17 07:00:00, None,29
287.0, None, None,0.8, None,0.0, None,13.3, None, None,100.0,2019-07-17 08:00:00, None,29
