time,tasmin,tasmax,pcp,week_of_year
2017-03-12,-16.1,0.8,8.3,11
2017-03-13,-1.0,4.8,2.3,11
2017-03-14,-5.4,4.8,7.0,11
2017-03-15,-8.6,1.1,0.0,11
2017-03-16,-8.8,0.9,0.0,11
2017-03-17,-6.4,-1.5,6.2,11
2017-03-18,-10.0,-0.7,7.0,11
