ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,snw_dpth,dwpt_temp
2.4,2.4,7.5,0.0,2020-04-22,0.0,13.0,17,,,,,,,,,,,
0.6,0.6,6.0,0.0,2020-04-23,0.0,17.5,17,,,,,,,,,,,
0.0,0.0,4.0,0.0,2020-04-24,0.0,16.5,17,,,,,,,,,,,
0.0,0.0,5.0,0.0,2020-04-25,0.0,17.0,17,,,,,,,,,,,
0.0,0.0,7.0,0.0,2020-04-26,0.0,15.5,17,,,,,,,,,,,
0.6,0.6,6.0,0.0,2020-04-27,0.0,18.0,17,,,,,,,,,,,
0.0,0.0,5.0,0.0,2020-04-28,0.0,17.0,17,,,,,,,,,,,
,,,,2020-04-22 00:00:00,,,17,0.0, 2.8,2.828,74.66, 0.0, 0.0, 6.6, 75.0, 2.7, -6999.0, -1.0
,,,,2020-04-22 01:00:00,,,17,0.0, 2.6,2.557,77.43, 0.0, 0.0, 6.6, 77.0, 2.4, -6999.0, -1.0
,,,,2020-04-22 02:00:00,,,17,0.0, 2.9,2.851,72.78, 0.0, 0.0, 6.6, 73.0, 2.4, -6999.0, -1.0
,,,,2020-04-22 03:00:00,,,17,0.0, 2.9,2.856,75.74, 0.0, 0.0, 6.6, 76.0, 2.4, -6999.0, -1.0
,,,,2020-04-22 04:00:00,,,17,0.0, 2.3,2.267,78.93, 0.0, 0.0, 6.6, 79.0, 2.2, -6999.0, -1.0
,,,,2020-04-22 05:00:00,,,17,0.0, 1.9,1.877,81.3, 0.0, 0.0, 6.6, 81.0, 1.8, -6999.0, -1.0
,,,,2020-04-22 06:00:00,,,17,0.0, 1.7,1.694,81.6, 0.0, 0.0, 6.6, 82.0, 1.7, -6999.0, -1.0
,,,,2020-04-22 07:00:00,,,17,0.0, 2.7,2.728,77.77, 0.0, 0.0, 2.8, 78.0, 1.7, -6999.0, -1.0
,,,,2020-04-22 08:00:00,,,17,0.0, 3.7,3.68,73.17, 0.0, 0.0, 3.7, 73.0, 1.7, -6999.0, -1.0
,,,,2020-04-22 09:00:00,,,17,0.0, 4.6,4.623,69.86, 0.0, 0.0, 4.6, 70.0, 1.7, -6999.0, 0.0
,,,,2020-04-22 10:00:00,,,17,0.0, 5.2,5.214,67.26, 0.0, 0.0, 5.2, 67.0, 1.7, -6999.0, 0.0
,,,,2020-04-22 11:00:00,,,17,0.0, 5.2,5.187,66.24, 0.0, 0.0, 5.4, 66.0, 1.7, -6999.0, -1.0
,,,,2020-04-22 12:00:00,,,17,0.0, 4.4,4.42,73.33, 0.0, 0.0, 5.4, 73.0, 1.7, -6999.0, 0.0
,,,,2020-04-22 13:00:00,,,17,0.0, 4.5,4.491,75.66, 0.0, 0.0, 5.4, 76.0, 1.7, -6999.0, 1.0
,,,,2020-04-22 14:00:00,,,17,0.0, 4.5,4.483,76.45, 0.0, 0.0, 5.4, 76.0, 1.7, -6999.0, 1.0
,,,,2020-04-22 15:00:00,,,17,0.0, 4.5,4.547,79.61, 0.1, 0.0, 5.4, 80.0, 1.7, -6999.0, 1.0
,,,,2020-04-22 16:00:00,,,17,0.3, 3.8,3.819,85.0, 0.3, 0.0, 5.4, 85.0, 1.7, -6999.0, 2.0
,,,,2020-04-22 17:00:00,,,17,0.6, 3.8,3.804,93.0, 0.3, 0.0, 5.4, 93.0, 1.7, -6999.0, 3.0
,,,,2020-04-22 18:00:00,,,17,0.9, 3.6,3.565,92.2, 0.3, 0.0, 5.4, 92.0, 1.7, -6999.0, 2.0
,,,,2020-04-22 19:00:00,,,17,1.1, 2.9,2.896,94.0, 0.2, 0.0, 3.6, 94.0, 2.8, -6999.0, 2.0
,,,,2020-04-22 20:00:00,,,17,, 2.6,2.612,96.0, None, None, 3.6, 96.0, 2.5, None, 2.0
,,,,2020-04-22 21:00:00,,,17,, 2.1,2.092,96.1, 0.1, 0.0, 3.6, 96.0, 2.1, -6999.0, 1.0
,,,,2020-04-22 22:00:00,,,17,, 2.0,1.989,96.0, None, None, 3.6, 96.0, 1.9, None, 2.0
,,,,2020-04-22 23:00:00,,,17,, 1.5,1.456,93.0, None, None, 3.6, 93.0, 1.4, None, 1.0
,,,,2020-04-23 00:00:00,,,17,, 1.6,1.551,93.0, None, None, 3.6, 93.0, 1.2, None, 0.0
,,,,2020-04-23 01:00:00,,,17,, 1.0,0.991,91.3, None, None, 3.6, 91.0, 0.7, None, 0.0
,,,,2020-04-23 02:00:00,,,17,, 1.7,1.739,88.6, None, None, 3.6, 89.0, 0.7, None, 0.0
,,,,2020-04-23 03:00:00,,,17,, 1.9,1.937,89.3, 0.0, 0.0, 3.6, 89.0, 0.7, -6999.0, 1.0
,,,,2020-04-23 04:00:00,,,17,, 1.9,1.933,87.1, None, None, 3.6, 87.0, 0.7, None, 0.0
,,,,2020-04-23 05:00:00,,,17,, None,1.933,85.5, None, None, None, None, None, None, None
,,,,2020-04-23 06:00:00,,,17,, None,1.885,85.9, None, None, None, None, None, None, None
,,,,2020-04-23 07:00:00,,,17,, None,2.162,84.3, None, None, None, None, None, None, None
,,,,2020-04-23 08:00:00,,,17,, 2.7,2.724,84.2, 0.0, 0.0, 2.8, 84.0, 1.8, -6999.0, 0.0
