RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
96.6, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 284.0, None, None,-4.26, None, None, None, None, None, None, None, None, None,2016-03-25 00:00:00, None,13
96.7, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 283.9, None, None,-4.403, None, None, None, None, None, None, None, None, None,2016-03-25 01:00:00, None,13
96.1, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 284.0, None, None,-4.477, None, None, None, None, None, None, None, None, None,2016-03-25 02:00:00, None,13
96.6, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 284.7, None, None,-4.668, None, None, None, None, None, None, None, None, None,2016-03-25 03:00:00, None,13
98.8, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 285.0, None, None,-4.752, None, None, None, None, None, None, None, None, None,2016-03-25 04:00:00, None,13
99.9, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 284.9, None, None,-4.819, None, None, None, None, None, None, None, None, None,2016-03-25 05:00:00, None,13
101.2, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 284.7, None, None,-4.79, None, None, None, None, None, None, None, None, None,2016-03-25 06:00:00, None,13
101.5, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 284.9, None, None,-4.697, None, None, None, None, None, None, None, None, None,2016-03-25 07:00:00, None,13
101.1, None, None, None, None, None, None, None, -4.0, None, None, None, None, None, 285.2, None, None,-4.297, None, None, None, None, None, None, None, None, None,2016-03-25 08:00:00, None,13
94.4, None, None, None, None, None, None, None, -4.0, None, None, None, None, None, 285.1, None, None,-3.484, None, None, None, None, None, None, None, None, None,2016-03-25 09:00:00, None,13
78.1, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 284.7, None, None,-2.118, None, None, None, None, None, None, None, None, None,2016-03-25 10:00:00, None,13
73.9, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 284.5, None, None,-0.953, None, None, None, None, None, None, None, None, None,2016-03-25 11:00:00, None,13
71.7, None, None, None, None, None, None, None, -4.0, None, None, None, None, None, 284.2, None, None,-0.09, None, None, None, None, None, None, None, None, None,2016-03-25 12:00:00, None,13
70.7, None, None, None, None, None, None, None, -4.0, None, None, None, None, None, 284.0, None, None,0.613, None, None, None, None, None, None, None, None, None,2016-03-25 13:00:00, None,13
70.3, None, None, None, None, None, None, None, -4.0, None, None, None, None, None, 281.8, None, None,0.745, None, None, None, None, None, None, None, None, None,2016-03-25 14:00:00, None,13
62.13, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 282.6, None, None,1.729, None, None, None, None, None, None, None, None, None,2016-03-25 15:00:00, None,13
64.75, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 282.3, None, None,0.998, None, None, None, None, None, None, None, None, None,2016-03-25 16:00:00, None,13
72.4, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 282.3, None, None,-0.746, None, None, None, None, None, None, None, None, None,2016-03-25 17:00:00, None,13
69.36, None, None, None, None, None, None, None, -4.0, None, None, None, None, None, 282.4, None, None,-0.119, None, None, None, None, None, None, None, None, None,2016-03-25 18:00:00, None,13
74.7, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 281.7, None, None,-1.169, None, None, None, None, None, None, None, None, None,2016-03-25 19:00:00, None,13
82.6, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 282.0, None, None,-2.381, None, None, None, None, None, None, None, None, None,2016-03-25 20:00:00, None,13
81.4, None, None, None, None, None, None, None, -6.0, None, None, None, None, None, 281.7, None, None,-3.314, None, None, None, None, None, None, None, None, None,2016-03-25 21:00:00, None,13
83.9, None, None, None, None, None, None, None, -7.0, None, None, None, None, None, 281.5, None, None,-4.983, None, None, None, None, None, None, None, None, None,2016-03-25 22:00:00, None,13
89.2, None, None, None, None, None, None, None, -7.0, None, None, None, None, None, 281.2, None, None,-6.17, None, None, None, None, None, None, None, None, None,2016-03-25 23:00:00, None,13
86.6, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 280.6, None, None,-6.943, None, None, None, None, None, None, None, None, None,2016-03-26 00:00:00, None,13
90.5, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 280.2, None, None,-7.74, None, None, None, None, None, None, None, None, None,2016-03-26 01:00:00, None,13
91.0, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 279.4, None, None,-7.55, None, None, None, None, None, None, None, None, None,2016-03-26 02:00:00, None,13
88.6, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 279.3, None, None,-7.45, None, None, None, None, None, None, None, None, None,2016-03-26 03:00:00, None,13
89.6, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 279.3, None, None,-7.62, None, None, None, None, None, None, None, None, None,2016-03-26 04:00:00, None,13
88.6, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 279.5, None, None,-7.57, None, None, None, None, None, None, None, None, None,2016-03-26 05:00:00, None,13
89.0, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 279.5, None, None,-7.73, None, None, None, None, None, None, None, None, None,2016-03-26 06:00:00, None,13
91.0, None, None, None, None, None, None, None, -8.0, None, None, None, None, None, 279.6, None, None,-7.42, None, None, None, None, None, None, None, None, None,2016-03-26 07:00:00, None,13
95.2, None, None, None, None, None, None, None, -7.0, None, None, None, None, None, 279.7, None, None,-6.687, None, None, None, None, None, None, None, None, None,2016-03-26 08:00:00, None,13
96.6, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 279.4, None, None,-4.285, None, None, None, None, None, None, None, None, None,2016-03-26 09:00:00, None,13
78.0, None, None, None, None, None, None, None, -6.0, None, None, None, None, None, 279.7, None, None,-2.626, None, None, None, None, None, None, None, None, None,2016-03-26 10:00:00, None,13
69.77, None, None, None, None, None, None, None, -5.0, None, None, None, None, None, 280.0, None, None,-1.029, None, None, None, None, None, None, None, None, None,2016-03-26 11:00:00, None,13
