time,HUMIDITY,week_of_year
2022-06-25 00:00:00,84.8,26
2022-06-25 01:00:00,86.9,26
2022-06-25 02:00:00,85.8,26
2022-06-25 03:00:00,81.8,26
2022-06-25 04:00:00,81.7,26
2022-06-25 05:00:00,78.6,26
2022-06-25 06:00:00,70.5,26
2022-06-25 07:00:00,64.1,26
2022-06-25 08:00:00,57.8,26
2022-06-25 09:00:00,52.7,26
2022-06-25 10:00:00,46.8,26
2022-06-25 11:00:00,41.6,26
2022-06-25 12:00:00,36.2,26
2022-06-25 13:00:00,28.4,26
2022-06-25 14:00:00,25.1,26
2022-06-25 15:00:00,25.8,26
2022-06-25 16:00:00,29.0,26
2022-06-25 17:00:00,38.1,26
2022-06-25 18:00:00,45.6,26
2022-06-25 19:00:00,44.6,26
2022-06-25 20:00:00,50.1,26
2022-06-25 21:00:00,65.2,26
2022-06-25 22:00:00,72.8,26
2022-06-25 23:00:00,78.0,26
2022-06-26 00:00:00,78.9,26
2022-06-26 01:00:00,83.4,26
2022-06-26 02:00:00,83.1,26
2022-06-26 03:00:00,86.5,26
2022-06-26 04:00:00,88.5,26
2022-06-26 05:00:00,82.4,26
2022-06-26 06:00:00,73.3,26
2022-06-26 07:00:00,66.7,26
2022-06-26 08:00:00,58.3,26
2022-06-26 09:00:00,53.2,26
2022-06-26 10:00:00,48.0,26
2022-06-26 11:00:00,44.1,26
2022-06-26 12:00:00,42.7,26
2022-06-26 13:00:00,37.8,26
2022-06-26 14:00:00,39.6,26
2022-06-26 15:00:00,46.9,26
2022-06-26 16:00:00,42.4,26
2022-06-26 17:00:00,46.0,26
2022-06-26 18:00:00,44.9,26
2022-06-26 19:00:00,44.8,26
2022-06-26 20:00:00,53.0,26
2022-06-26 21:00:00,61.5,26
2022-06-26 22:00:00,72.8,26
2022-06-26 23:00:00,79.4,26
2022-06-27 00:00:00,88.2,26
2022-06-27 01:00:00,92.1,26
2022-06-27 02:00:00,94.3,26
2022-06-27 03:00:00,96.0,26
2022-06-27 04:00:00,95.9,26
2022-06-27 05:00:00,96.8,26
2022-06-27 06:00:00,94.9,26
2022-06-27 07:00:00,83.2,26
2022-06-27 08:00:00,75.8,26
2022-06-27 09:00:00,75.3,26
2022-06-27 10:00:00,72.8,26
2022-06-27 11:00:00,74.0,26
2022-06-27 12:00:00,72.1,26
2022-06-27 13:00:00,67.9,26
2022-06-27 14:00:00,58.7,26
2022-06-27 15:00:00,54.8,26
2022-06-27 16:00:00,51.3,26
2022-06-27 17:00:00,50.2,26
2022-06-27 18:00:00,50.2,26
2022-06-27 19:00:00,50.3,26
2022-06-27 20:00:00,53.0,26
2022-06-27 21:00:00,65.1,26
2022-06-27 22:00:00,71.4,26
2022-06-27 23:00:00,82.4,26
