RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
78.82, None, None, None, 0.003, 71.92, -1.0, 2.0, None, None, None, None, 138.0, None, 137.5, None, None, 2.221, None, 10.1, 79.0, 11.98, None, 2.2, None, 0.0, 0.0,2021-05-14 00:00:00, None,20
83.6, None, None, None, 0.0, 69.0, -1.0, 1.6, None, None, None, None, 137.0, None, 137.3, None, None, 1.868, None, 10.1, 84.0, 5.041, None, 1.9, None, 0.0, 0.0,2021-05-14 01:00:00, None,20
84.4, None, None, None, 0.0, 78.32, -1.0, 1.6, None, None, None, None, 137.0, None, 137.2, None, None, 1.783, None, 10.1, 84.0, 2.173, None, 1.8, None, 0.0, 0.0,2021-05-14 02:00:00, None,20
82.5, None, None, None, 0.0, 88.2, -1.0, 1.6, None, None, None, None, 137.0, None, 137.1, None, None, 2.091, None, 10.1, 83.0, 5.724, None, 2.1, None, 0.0, 0.0,2021-05-14 03:00:00, None,20
86.0, None, None, None, None, None, -1.0, 1.2, None, None, None, None, None, None, None, None, None, 1.506, None, 10.1, 86.0, None, None, 1.5, None, None, None,2021-05-14 04:00:00, None,20
87.2, None, None, None, 0.001, 64.41, -1.0, 1.0, None, None, None, None, 137.0, None, 137.2, None, None, 1.065, None, 10.1, 87.0, 19.85, None, 1.1, None, 0.0, 0.0,2021-05-14 05:00:00, None,20
82.9, None, None, None, 0.137, 65.44, -1.0, 1.0, None, None, None, None, 137.0, None, 137.3, None, None, 1.992, None, 10.1, 83.0, 31.88, None, 2.0, None, 0.0, 0.0,2021-05-14 06:00:00, None,20
74.91, None, None, None, 0.58, 82.6, 0.0, 1.9, None, None, None, None, 137.0, None, 137.1, None, None, 3.569, None, 3.7, 75.0, 44.51, None, 3.6, None, 0.1, 0.0,2021-05-14 07:00:00, None,20
61.88, None, None, None, 1.32, 13.28, 0.0, 1.9, None, None, None, None, 137.0, None, 137.2, None, None, 6.371, None, 6.2, 62.0, 53.98, None, 6.4, None, 0.3, 0.0,2021-05-14 08:00:00, None,20
55.21, None, None, None, 3.527, 322.0, 0.0, 1.9, None, None, None, None, None, None, 136.5, None, None, 8.48, None, 8.6, 55.0, 33.44, None, 8.5, None, -0.1, None,2021-05-14 09:00:00, None,20
53.1, None, None, None, 4.175, 316.0, 0.0, 1.9, None, None, None, None, 136.0, None, 136.3, None, None, 9.39, None, 9.6, 53.0, 26.72, None, 9.4, None, 0.1, 0.0,2021-05-14 10:00:00, None,20
53.42, None, None, None, 3.759, 316.0, 1.0, 1.9, None, None, None, None, 136.0, None, 135.7, None, None, 9.51, None, 10.4, 53.0, 28.37, None, 9.5, None, 0.1, -1.0,2021-05-14 11:00:00, None,20
48.66, None, None, None, 2.793, 312.8, -1.0, 1.9, None, None, None, None, 135.0, None, 135.2, None, None, 9.15, None, 10.4, 49.0, 49.09, None, 9.2, None, 0.0, -1.0,2021-05-14 12:00:00, None,20
43.37, None, None, None, 2.071, 317.1, -1.0, 1.9, None, None, None, None, 134.0, None, 134.3, None, None, 10.82, None, 12.9, 43.0, 49.14, None, 10.8, None, 0.3, -1.0,2021-05-14 13:00:00, None,20
35.19, None, None, None, 1.678, 237.9, -2.0, 1.9, None, None, None, None, 134.0, None, 133.7, None, None, 12.79, None, 13.8, 35.0, 59.65, None, 12.8, None, 0.3, -1.0,2021-05-14 14:00:00, None,20
35.88, None, None, None, 2.018, 309.9, -2.0, 1.9, None, None, None, None, 133.0, None, 132.8, None, None, 12.81, None, 14.4, 36.0, 57.9, None, 12.8, None, 0.1, -1.0,2021-05-14 15:00:00, None,20
45.56, None, None, None, 0.881, 61.24, -1.0, 1.9, None, None, None, None, 132.0, None, 131.5, None, None, 10.23, None, 14.4, 46.0, 67.85, None, 10.2, None, -0.2, -1.0,2021-05-14 16:00:00, None,20
55.51, None, None, None, 0.396, 95.5, -1.0, 1.9, None, None, None, None, 132.0, None, 132.2, None, None, 7.62, None, 14.4, 56.0, 26.7, None, 7.6, None, -0.4, 1.0,2021-05-14 17:00:00, None,20
62.06, None, None, None, 0.037, 88.3, 0.0, 1.9, None, None, None, None, 132.0, None, 132.3, None, None, 6.351, None, 14.4, 62.0, 25.51, None, 6.4, None, -0.2, 0.0,2021-05-14 18:00:00, None,20
54.81, None, None, None, None, None, -1.0, 6.4, None, None, None, None, 132.0, None, 131.7, None, None, 7.76, None, 8.4, 55.0, None, None, 7.8, None, 0.3, -1.0,2021-05-14 19:00:00, None,20
58.55, None, None, None, 0.019, 69.03, -1.0, 6.2, None, None, None, None, 132.0, None, 131.7, None, None, 6.129, None, 8.4, 59.0, 27.68, None, 6.1, None, -0.3, 0.0,2021-05-14 20:00:00, None,20
66.75, None, None, None, 0.019, 79.49, -1.0, 4.4, None, None, None, None, 132.0, None, 131.8, None, None, 4.408, None, 8.4, 67.0, 9.83, None, 4.4, None, -0.4, 0.0,2021-05-14 21:00:00, None,20
66.68, None, None, None, 0.0, 83.2, -1.0, 4.2, None, None, None, None, 131.0, None, 131.3, None, None, 4.193, None, 8.4, 67.0, 2.135, None, 4.2, None, -0.1, 0.0,2021-05-14 22:00:00, None,20
67.07, None, None, None, 0.0, 77.0, -1.0, 3.9, None, None, None, None, 132.0, None, 131.8, None, None, 4.09, None, 8.4, 67.0, 13.72, None, 4.1, None, -0.1, 1.0,2021-05-14 23:00:00, None,20
70.13, None, None, None, 0.0, 72.13, -1.0, 3.7, None, None, None, None, 131.0, None, 131.3, None, None, 3.719, None, 8.4, 70.0, 3.937, None, 3.7, None, -0.1, -1.0,2021-05-15 00:00:00, None,20
71.04, None, None, None, 0.001, 77.3, -1.0, 3.6, None, None, None, None, 131.0, None, 131.3, None, None, 3.566, None, 8.4, 71.0, 9.96, None, 3.6, None, 0.0, 0.0,2021-05-15 01:00:00, None,20
71.7, None, None, None, 0.0, 76.03, -1.0, 3.4, None, None, None, None, 131.0, None, 131.3, None, None, 3.391, None, 8.4, 72.0, 6.211, None, 3.4, None, -0.1, 0.0,2021-05-15 02:00:00, None,20
69.89, None, None, None, 0.0, 75.28, -2.0, 3.2, None, None, None, None, 132.0, None, 131.5, None, None, 3.351, None, 8.4, 70.0, 6.585, None, 3.4, None, 0.0, 0.0,2021-05-15 03:00:00, None,20
72.01, None, None, None, 0.0, 74.42, -2.0, 2.9, None, None, None, None, 132.0, None, 131.5, None, None, 2.955, None, 8.4, 72.0, 8.49, None, 3.0, None, 0.0, 0.0,2021-05-15 04:00:00, None,20
70.47, None, None, None, 0.073, 80.5, -2.0, 2.9, None, None, None, None, 132.0, None, 131.8, None, None, 3.082, None, 8.4, 70.0, 12.01, None, 3.1, None, 0.0, 1.0,2021-05-15 05:00:00, None,20
72.11, None, None, None, 0.0, 68.16, -2.0, 2.9, None, None, None, None, 131.0, None, 131.4, None, None, 2.957, None, 8.4, 72.0, 11.24, None, 3.0, None, 0.0, 0.0,2021-05-15 06:00:00, None,20
62.36, None, None, None, 0.057, 81.2, -2.0, 2.9, None, None, None, None, 132.0, None, 131.8, None, None, 4.486, None, 4.5, 62.0, 11.57, None, 4.5, None, 0.0, 1.0,2021-05-15 07:00:00, None,20
46.61, None, None, None, 0.867, 85.3, -2.0, 2.9, None, None, None, None, 132.0, None, 131.8, None, None, 8.01, None, 7.7, 47.0, 39.68, None, 8.0, None, 0.4, 0.0,2021-05-15 08:00:00, None,20
41.54, None, None, None, 0.224, 18.48, -2.0, 2.9, None, None, None, None, 131.0, None, 130.6, None, None, 10.48, None, 10.5, 42.0, 69.02, None, 10.5, None, 0.6, -1.0,2021-05-15 09:00:00, None,20
35.85, None, None, None, 0.61, 27.54, -2.0, 2.9, None, None, None, None, 130.0, None, 129.9, None, None, 12.07, None, 12.4, 36.0, 68.15, None, 12.1, None, 0.4, -1.0,2021-05-15 10:00:00, None,20
29.29, None, None, None, 1.378, 284.2, -4.0, 2.9, None, None, None, None, 130.0, None, 129.9, None, None, 13.44, None, 13.8, 29.0, 73.76, None, 13.4, None, 0.0, 0.0,2021-05-15 11:00:00, None,20
30.32, None, None, None, 1.444, 279.8, -3.0, 2.9, None, None, None, None, 130.0, None, 130.3, None, None, 14.09, None, 14.1, 30.0, 73.59, None, 14.1, None, 0.0, 1.0,2021-05-15 12:00:00, None,20
29.58, None, None, None, 1.964, 258.9, -3.0, 2.9, None, None, None, None, 129.0, None, 128.6, None, None, 15.22, None, 15.2, 30.0, 75.25, None, 15.2, None, 0.0, -2.0,2021-05-15 13:00:00, None,20
27.51, None, None, None, 1.362, 302.2, -3.0, 2.9, None, None, None, None, 129.0, None, 128.6, None, None, 15.73, None, 15.9, 28.0, 63.98, None, 15.7, None, 0.1, 0.0,2021-05-15 14:00:00, None,20
26.82, None, None, None, 1.797, 320.2, -3.0, 2.9, None, None, None, None, 129.0, None, 128.5, None, None, 15.45, None, 15.9, 27.0, 63.54, None, 15.5, None, 0.0, 0.0,2021-05-15 15:00:00, None,20
26.94, None, None, None, 1.545, 16.16, -4.0, 2.9, None, None, None, None, 126.0, None, 125.7, None, None, 15.35, None, 15.9, 27.0, 73.41, None, 15.4, None, -0.1, -3.0,2021-05-15 16:00:00, None,20
29.53, None, None, None, 1.837, 354.4, -4.0, 2.9, None, None, None, None, 127.0, None, 126.6, None, None, 14.0, None, 15.9, 30.0, 66.91, None, 14.0, None, -0.1, 1.0,2021-05-15 17:00:00, None,20
30.61, None, None, None, 1.54, 33.31, -4.0, 2.9, None, None, None, None, 127.0, None, 127.0, None, None, 13.29, None, 15.9, 31.0, 72.02, None, 13.3, None, -0.3, 1.0,2021-05-15 18:00:00, None,20
40.26, None, None, None, 1.028, 59.8, -3.0, 9.9, None, None, None, None, 127.0, None, 126.8, None, None, 10.11, None, 13.7, 40.0, 65.1, None, 10.1, None, -0.1, 0.0,2021-05-15 19:00:00, None,20
54.32, None, None, None, 0.515, 86.6, -2.0, 7.1, None, None, None, None, 127.0, None, 126.6, None, None, 7.028, None, 13.7, 54.0, 55.23, None, 7.0, None, -0.4, 0.0,2021-05-15 20:00:00, None,20
55.66, None, None, None, 0.269, 83.1, -2.0, 6.1, None, None, None, None, 127.0, None, 126.8, None, None, 6.379, None, 13.7, 56.0, 37.63, None, 6.4, None, -0.3, 0.0,2021-05-15 21:00:00, None,20
59.87, None, None, None, 0.194, 87.9, -2.0, 5.4, None, None, None, None, 127.0, None, 126.7, None, None, 5.539, None, 13.7, 60.0, 24.47, None, 5.5, None, -0.1, 0.0,2021-05-15 22:00:00, None,20
58.3, None, None, None, 0.402, 79.41, -2.0, 5.2, None, None, None, None, 127.0, None, 127.0, None, None, 5.733, None, 13.7, 58.0, 40.73, None, 5.7, None, -0.1, 1.0,2021-05-15 23:00:00, None,20
55.16, None, None, None, 0.523, 88.1, -2.0, 5.2, None, None, None, None, 127.0, None, 127.0, None, None, 6.101, None, 13.7, 55.0, 31.26, None, 6.1, None, -0.1, 0.0,2021-05-16 00:00:00, None,20
60.51, None, None, None, 0.092, 84.6, -2.0, 5.1, None, None, None, None, 127.0, None, 126.8, None, None, 5.173, None, 13.7, 61.0, 22.28, None, 5.2, None, -0.1, 0.0,2021-05-16 01:00:00, None,20
57.54, None, None, None, 0.3, 87.5, -2.0, 5.1, None, None, None, None, 127.0, None, 126.6, None, None, 5.617, None, 13.7, 58.0, 20.55, None, 5.6, None, -0.1, 0.0,2021-05-16 02:00:00, None,20
59.71, None, None, None, 0.17, 93.8, -2.0, 5.1, None, None, None, None, 127.0, None, 126.7, None, None, 5.334, None, 13.7, 60.0, 11.95, None, 5.3, None, -0.1, 0.0,2021-05-16 03:00:00, None,20
60.78, None, None, None, 0.039, 95.3, -2.0, 5.1, None, None, None, None, 127.0, None, 126.5, None, None, 5.02, None, 13.7, 61.0, 11.7, None, 5.0, None, -0.1, 0.0,2021-05-16 04:00:00, None,20
58.84, None, None, None, 0.0, 87.7, -2.0, 4.8, None, None, None, None, 127.0, None, 126.7, None, None, 5.286, None, 13.7, 59.0, 10.69, None, 5.3, None, -0.1, 0.0,2021-05-16 05:00:00, None,20
58.64, None, None, None, 0.001, 100.6, -2.0, 4.8, None, None, None, None, 127.0, None, 126.6, None, None, 5.733, None, 13.7, 59.0, 5.22, None, 5.7, None, 0.0, 0.0,2021-05-16 06:00:00, None,20
57.08, None, None, None, 0.574, 89.5, -1.0, 5.7, None, None, None, None, 127.0, None, 126.7, None, None, 6.465, None, 6.7, 57.0, 8.49, None, 6.5, None, 0.2, 0.0,2021-05-16 07:00:00, None,20
54.4, None, None, None, 0.771, 91.2, -1.0, 5.7, None, None, None, None, 127.0, None, 126.5, None, None, 7.757, None, 7.7, 54.0, 13.44, None, 7.8, None, 0.3, 0.0,2021-05-16 08:00:00, None,20
46.07, None, None, None, 0.57, 94.9, -1.0, 5.7, None, None, None, None, 126.0, None, 125.5, None, None, 10.08, None, 10.7, 46.0, 33.4, None, 10.1, None, 0.4, -1.0,2021-05-16 09:00:00, None,20
35.05, None, None, None, 0.611, 94.4, -1.0, 5.7, None, None, None, None, None, None, 123.4, None, None, 13.4, None, 13.5, 35.0, 58.25, None, 13.4, None, None, None,2021-05-16 10:00:00, None,20
32.92, None, None, None, 1.579, 326.2, -1.0, 5.7, None, None, None, None, 124.0, None, 123.6, None, None, 15.07, None, 16.0, 33.0, 70.2, None, 15.1, None, 0.0, 0.0,2021-05-16 11:00:00, None,20
26.53, None, None, None, 2.482, 310.0, -3.0, 5.7, None, None, None, None, 124.0, None, 124.0, None, None, 16.21, None, 16.5, 27.0, 69.95, None, 16.2, None, -0.1, 1.0,2021-05-16 12:00:00, None,20
29.34, None, None, None, None, None, -1.0, 5.7, None, None, None, None, 123.0, None, None, None, None, 16.75, None, 16.9, 29.0, None, None, 16.8, None, 0.1, -1.0,2021-05-16 13:00:00, None,20
27.69, None, None, None, 2.247, 323.4, -2.0, 5.7, None, None, None, None, 121.0, None, 121.0, None, None, 17.44, None, 17.7, 28.0, 63.44, None, 17.4, None, 0.1, -2.0,2021-05-16 14:00:00, None,20
27.15, None, None, None, 2.5, 313.7, -1.0, 5.7, None, None, None, None, 120.0, None, 120.2, None, None, 17.79, None, 17.8, 27.0, 73.62, None, 17.8, None, 0.0, -1.0,2021-05-16 15:00:00, None,20
35.33, None, None, None, 1.288, 52.48, 0.0, 5.7, None, None, None, None, 119.0, None, 119.3, None, None, 15.02, None, 17.9, 35.0, 68.35, None, 15.0, None, -0.1, 1.0,2021-05-16 17:00:00, None,20
35.57, None, None, None, 1.521, 47.14, -1.0, 5.7, None, None, None, None, 119.0, None, 118.7, None, None, 13.78, None, 17.9, 36.0, 59.12, None, 13.8, None, -0.3, -1.0,2021-05-16 18:00:00, None,20
39.03, None, None, None, 1.397, 70.24, -1.0, 11.8, None, None, None, None, 119.0, None, 118.7, None, None, 12.57, None, 14.9, 39.0, 53.48, None, 12.6, None, -0.2, 0.0,2021-05-16 19:00:00, None,20
51.87, None, None, None, 1.502, 93.2, 0.0, 8.9, None, None, None, None, None, None, 118.9, None, None, 8.91, None, 14.9, 52.0, 32.36, None, 8.9, None, None, None,2021-05-16 20:00:00, None,20
57.55, None, None, None, 1.486, 100.8, 0.0, 7.8, None, None, None, None, 119.0, None, 119.3, None, None, 7.835, None, 14.9, 58.0, 23.5, None, 7.8, None, -0.4, 1.0,2021-05-16 21:00:00, None,20
57.22, None, None, None, 1.799, 98.3, 0.0, 7.4, None, None, None, None, 119.0, None, 119.2, None, None, 7.434, None, 14.9, 57.0, 19.37, None, 7.4, None, -0.1, 0.0,2021-05-16 22:00:00, None,20
55.54, None, None, None, 1.868, 97.2, -1.0, 7.2, None, None, None, None, 120.0, None, 119.6, None, None, 7.347, None, 14.9, 56.0, 23.73, None, 7.3, None, -0.1, 1.0,2021-05-16 23:00:00, None,20
56.34, None, None, None, 1.865, 98.4, -1.0, 7.1, None, None, None, None, 119.0, None, 119.3, None, None, 7.2, None, 14.9, 56.0, 22.19, None, 7.2, None, 0.0, 0.0,2021-05-17 00:00:00, None,20
