RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
44.91, None, None, 4.6, 0.37, 116.4, -16.0, -7.3, -16.0, 116.0, None, None, -6999.0, None, None, None, None, -7.26, None, -6.8, 45.0, None, 70.2, 0.4, -7.3, 0.5, -6999.0,2021-02-05 00:00:00, -6999.0,6
44.07, None, None, 7.6, 3.564, 319.5, -17.0, -7.6, -17.0, 320.0, None, None, -6999.0, None, None, None, None, -7.59, None, -6.8, 44.0, None, 17.91, 3.6, -7.6, 0.7, -6999.0,2021-02-05 01:00:00, -6999.0,6
44.34, None, None, 11.0, 4.612, 327.4, -17.0, -7.8, -17.0, 327.0, None, None, -6999.0, None, None, None, None, -7.66, None, -6.8, 44.0, None, 15.97, 4.6, -7.7, 0.4, -6999.0,2021-02-05 02:00:00, -6999.0,6
44.9, None, None, 14.6, 7.71, 343.9, -16.0, -7.8, -16.0, 344.0, None, None, -6999.0, None, None, None, None, -7.4, None, -6.8, 45.0, None, 13.7, 7.7, -7.4, 0.3, -6999.0,2021-02-05 03:00:00, -6999.0,6
43.22, None, None, 19.7, 7.5, 355.3, -17.0, -7.8, -17.0, 355.0, None, None, -6999.0, None, None, None, None, -7.67, None, -6.8, 43.0, None, 17.34, 7.5, -7.7, 0.1, -6999.0,2021-02-05 04:00:00, -6999.0,6
41.58, None, None, 19.6, 8.39, 354.9, -18.0, -8.1, -18.0, 355.0, None, None, -6999.0, None, None, None, None, -8.07, None, -6.8, 42.0, None, 16.72, 8.4, -8.1, 0.2, -6999.0,2021-02-05 05:00:00, -6999.0,6
41.92, None, None, 17.8, 9.04, 351.8, -18.0, -8.5, -18.0, 352.0, None, None, -6999.0, None, None, None, None, -8.46, None, -6.8, 42.0, None, 12.54, 9.0, -8.5, 0.1, -6999.0,2021-02-05 06:00:00, -6999.0,6
42.34, None, None, 13.9, 5.875, 350.3, -18.0, -8.5, -18.0, 350.0, None, None, -6999.0, None, None, None, None, -8.38, None, -8.4, 42.0, None, 19.19, 5.9, -8.4, 0.0, -6999.0,2021-02-05 07:00:00, -6999.0,6
43.08, None, None, 30.9, 1.562, 21.09, -17.0, -8.5, -17.0, 21.0, None, None, -6999.0, None, None, None, None, -8.15, None, -8.2, 43.0, None, 70.0, 1.6, -8.2, 0.0, -6999.0,2021-02-05 08:00:00, -6999.0,6
44.98, None, None, 20.3, 4.981, 287.4, -16.0, -8.5, -16.0, 287.0, None, None, -6999.0, None, None, None, None, -7.36, None, -7.4, 45.0, None, 33.81, 5.0, -7.4, -0.2, -6999.0,2021-02-05 09:00:00, -6999.0,6
42.68, None, None, 16.6, 3.476, 285.7, -16.0, -8.5, -16.0, 286.0, None, None, -6999.0, None, None, None, None, -6.443, None, -6.4, 43.0, None, 43.78, 3.5, -6.4, -0.4, -6999.0,2021-02-05 10:00:00, -6999.0,6
34.85, None, None, 27.3, 5.114, 305.9, -17.0, -8.5, -17.0, 306.0, None, None, -6999.0, None, None, None, None, -5.779, None, -5.8, 35.0, None, 43.09, 5.1, -5.8, -0.2, -6999.0,2021-02-05 11:00:00, -6999.0,6
30.11, None, None, 28.7, 5.459, 309.8, -19.0, -8.5, -19.0, 310.0, None, None, -6999.0, None, None, None, None, -5.507, None, -5.5, 30.0, None, 40.46, 5.5, -5.5, 0.0, -6999.0,2021-02-05 12:00:00, -6999.0,6
23.53, None, None, None, 5.562, 296.7, None, None, -19.0, None, None, None, None, None, None, None, None, -2.93, None, None, None, None, 38.77, None, None, None, None,2021-02-05 13:00:00, None,6
21.46, None, None, 24.6, 6.13, 292.1, -19.0, -8.5, -19.0, 292.0, None, None, -6999.0, None, None, None, None, -1.921, None, -1.9, 21.0, None, 40.27, 6.1, -1.9, -0.3, -6999.0,2021-02-05 14:00:00, -6999.0,6
21.89, None, None, 30.3, 5.375, 309.6, -21.0, -8.5, -21.0, 310.0, None, None, -6999.0, None, None, None, None, -3.952, None, -1.9, 22.0, None, 42.27, 5.4, -4.0, 0.6, -6999.0,2021-02-05 15:00:00, -6999.0,6
22.91, None, None, 26.5, 6.996, 330.0, -22.0, -8.5, -22.0, 330.0, None, None, -6999.0, None, None, None, None, -6.118, None, -1.9, 23.0, None, 33.56, 7.0, -6.1, 0.5, -6999.0,2021-02-05 16:00:00, -6999.0,6
23.52, None, None, 31.3, 7.68, 339.1, -23.0, -8.5, -23.0, 339.0, None, None, -6999.0, None, None, None, None, -7.33, None, -1.9, 24.0, None, 29.1, 7.7, -7.3, 0.3, -6999.0,2021-02-05 17:00:00, -6999.0,6
23.78, None, None, 26.7, 5.455, 332.1, -23.0, -8.5, -23.0, 332.0, None, None, -6999.0, None, None, None, None, -7.78, None, -1.9, 24.0, None, 34.63, 5.5, -7.8, 0.2, -6999.0,2021-02-05 18:00:00, -6999.0,6
24.37, None, None, 11.6, 1.664, 338.2, -23.0, -8.3, -23.0, 338.0, None, None, -6999.0, None, None, None, None, -8.31, None, -7.8, 24.0, None, 50.71, 1.7, -8.3, 0.2, -6999.0,2021-02-05 19:00:00, -6999.0,6
24.34, None, None, 15.7, 3.086, 334.5, -24.0, -8.9, -24.0, 335.0, None, None, -6999.0, None, None, None, None, -8.85, None, -7.8, 24.0, None, 32.53, 3.1, -8.9, 0.2, -6999.0,2021-02-05 20:00:00, -6999.0,6
24.37, None, None, 9.5, 2.258, 297.4, -24.0, -9.2, -24.0, 297.0, None, None, -6999.0, None, None, None, None, -9.15, None, -7.8, 24.0, None, 32.59, 2.3, -9.2, 0.0, -6999.0,2021-02-05 21:00:00, -6999.0,6
24.8, None, None, 11.6, 0.402, 298.4, -24.0, -9.2, -24.0, 298.0, None, None, -6999.0, None, None, None, None, -9.15, None, -7.8, 25.0, None, 74.1, 0.4, -9.2, 0.0, -6999.0,2021-02-05 22:00:00, -6999.0,6
25.32, None, None, 7.3, 1.058, 123.0, -24.0, -9.2, -24.0, 123.0, None, None, -6999.0, None, None, None, None, -9.1, None, -7.8, 25.0, None, 54.13, 1.1, -9.1, 0.0, -6999.0,2021-02-05 23:00:00, -6999.0,6
26.49, None, None, 7.8, 1.872, 110.1, -23.0, -9.2, -23.0, 110.0, None, None, -6999.0, None, None, None, None, -9.08, None, -7.8, 26.0, None, 39.65, 1.9, -9.1, 0.0, -6999.0,2021-02-06 00:00:00, -6999.0,6
