air_temp,min_air_temp_snc_last_reset,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,week_of_year
-3.8,-3.9, 320.0,0.9,-6999.0, 3.1,2020-10-14 00:00:00, 0.8,-6999.0,42
-3.9,-4.1, 233.0,0.9,-6999.0, 3.2,2020-10-14 01:00:00, 1.1,-6999.0,42
-4.1,-4.2, 260.0,0.9,-6999.0, 3.5,2020-10-14 02:00:00, 0.7,-6999.0,42
-3.8,-4.2, 286.0,0.9,-6999.0, 6.7,2020-10-14 03:00:00, 1.4,-6999.0,42
-2.9,-4.2, 253.0,0.9,-6999.0, 6.2,2020-10-14 04:00:00, 1.8,-6999.0,42
-3.9,-4.2, 308.0,0.9,-6999.0, 3.3,2020-10-14 05:00:00, 1.1,-6999.0,42
-3.2,-4.2, 283.0,0.9,-6999.0, 6.0,2020-10-14 06:00:00, 1.5,-6999.0,42
-3.0,-3.7, 274.0,-3.0,-6999.0, 4.2,2020-10-14 07:00:00, 1.0,-6999.0,42
-2.6,-3.7, 275.0,-2.6,-6999.0, 2.8,2020-10-14 08:00:00, 0.5,-6999.0,42
-2.3,-3.7, 246.0,-2.3,-6999.0, 2.5,2020-10-14 09:00:00, 0.4,-6999.0,42
-1.4,-3.7, 243.0,-1.4,-6999.0, 5.4,2020-10-14 10:00:00, 1.3,-6999.0,42
-0.7,-3.7, 220.0,-0.7,-6999.0, 0.0,2020-10-14 11:00:00, 0.0,-6999.0,42
0.7,-3.7, 222.0,0.8,-6999.0, 11.2,2020-10-14 12:00:00, 2.5,-6999.0,42
1.6,-3.7, 195.0,1.9,-6999.0, 14.4,2020-10-14 13:00:00, 3.0,-6999.0,42
1.2,-3.7, 245.0,1.9,-6999.0, 14.0,2020-10-14 14:00:00, 6.4,-6999.0,42
1.7,-3.7, 234.0,1.9,-6999.0, 11.6,2020-10-14 15:00:00, 3.5,-6999.0,42
3.1,-3.7, 240.0,3.1,-6999.0, 11.2,2020-10-14 16:00:00, 4.2,-6999.0,42
2.9,-3.7, 225.0,3.1,-6999.0, 20.0,2020-10-14 17:00:00, 5.3,-6999.0,42
1.4,-3.7, 244.0,3.1,-6999.0, 11.3,2020-10-14 18:00:00, 5.0,-6999.0,42
0.1,0.1, 260.0,1.5,-6999.0, 13.1,2020-10-14 19:00:00, 6.5,-6999.0,42
-0.8,-0.9, 254.0,1.5,-6999.0, 10.5,2020-10-14 20:00:00, 2.7,-6999.0,42
-1.9,-2.0, 258.0,1.5,-6999.0, 6.1,2020-10-14 21:00:00, 2.2,-6999.0,42
-2.6,-2.7, 196.0,1.5,-6999.0, 5.5,2020-10-14 22:00:00, 0.8,-6999.0,42
-1.7,-2.7, 227.0,1.5,-6999.0, 8.3,2020-10-14 23:00:00, 3.0,-6999.0,42
0.6,-2.7, 265.0,1.5,-6999.0, 16.2,2020-10-15 01:00:00, 8.0,-6999.0,42
0.4,-2.7, 263.0,1.5,-6999.0, 12.5,2020-10-15 02:00:00, 6.9,-6999.0,42
0.3,-2.7, 256.0,1.5,-6999.0, 16.4,2020-10-15 03:00:00, 7.0,-6999.0,42
0.3,-2.7, 252.0,1.5,-6999.0, 16.7,2020-10-15 04:00:00, 7.1,-6999.0,42
-0.6,-2.7, 246.0,1.5,-6999.0, 9.1,2020-10-15 05:00:00, 4.5,-6999.0,42
-0.5,-2.7, 264.0,1.5,-6999.0, 8.9,2020-10-15 06:00:00, 3.2,-6999.0,42
0.1,-0.6, 255.0,0.5,-6999.0, 19.6,2020-10-15 07:00:00, 6.6,-6999.0,42
0.3,-0.6, 263.0,0.5,-6999.0, 18.0,2020-10-15 08:00:00, 8.8,-6999.0,42
0.5,-0.6, 270.0,0.5,-6999.0, 15.5,2020-10-15 09:00:00, 7.8,-6999.0,42
