AirTemperature,Precipitation,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
20.5, 0.0,0.0, 1.2,2019-08-06 00:00:00, 322.0, 43.0,32
20.1, None,0.0, 0.8,2019-08-06 00:15:00, 345.0, 46.0,32
19.7, None,0.0, 0.6,2019-08-06 00:30:00, 350.0, 47.0,32
19.7, None,0.0, 1.0,2019-08-06 00:45:00, 42.0, 46.0,32
19.4, 0.0,0.0, 0.8,2019-08-06 01:00:00, 24.0, 48.0,32
19.7, None,0.0, 2.0,2019-08-06 01:15:00, 52.0, 48.0,32
20.0, None,0.0, 2.5,2019-08-06 01:30:00, 53.0, 47.0,32
20.0, None,0.0, 2.0,2019-08-06 01:45:00, 27.0, 48.0,32
19.8, 0.0,0.0, 1.9,2019-08-06 02:00:00, 15.0, 50.0,32
19.4, None,0.0, 1.7,2019-08-06 02:15:00, 358.0, 52.0,32
19.1, None,0.0, 2.1,2019-08-06 02:30:00, 14.0, 52.0,32
18.9, None,0.0, 4.2,2019-08-06 02:45:00, 34.0, 51.0,32
18.7, 0.0,0.0, 4.9,2019-08-06 03:00:00, 33.0, 53.0,32
17.9, None,0.0, 5.0,2019-08-06 03:15:00, 35.0, 56.0,32
17.5, None,0.0, 5.5,2019-08-06 03:30:00, 35.0, 58.0,32
17.3, None,0.0, 5.5,2019-08-06 03:45:00, 37.0, 56.0,32
17.2, 0.0,0.0, 5.5,2019-08-06 04:00:00, 37.0, 56.0,32
17.1, None,0.0, 5.8,2019-08-06 04:15:00, 37.0, 57.0,32
16.9, None,0.0, 5.6,2019-08-06 04:30:00, 37.0, 58.0,32
16.9, None,0.0, 5.3,2019-08-06 04:45:00, 38.0, 58.0,32
17.1, 0.0,0.0, 5.0,2019-08-06 05:00:00, 38.0, 56.0,32
17.3, None,0.0, 4.8,2019-08-06 05:15:00, 42.0, 56.0,32
17.5, None,0.0, 4.4,2019-08-06 05:30:00, 42.0, 56.0,32
17.9, None,0.0, 4.0,2019-08-06 05:45:00, 38.0, 53.0,32
18.7, 0.0,0.0, 4.2,2019-08-06 06:00:00, 33.0, 51.0,32
19.2, None,0.0, 4.5,2019-08-06 06:15:00, 38.0, 49.0,32
19.8, None,0.0, 4.6,2019-08-06 06:30:00, 39.0, 49.0,32
20.7, None,0.0, 4.7,2019-08-06 06:45:00, 40.0, 48.0,32
20.9, 0.0,0.0, 4.1,2019-08-06 07:00:00, 40.0, 46.0,32
21.9, None,0.0, 3.5,2019-08-06 07:15:00, 38.0, 46.0,32
22.4, None,0.0, 3.3,2019-08-06 07:30:00, 48.0, 45.0,32
22.5, None,0.0, 3.6,2019-08-06 07:45:00, 35.0, 45.0,32
22.5, 0.0,0.0, 3.8,2019-08-06 08:00:00, 43.0, 44.0,32
23.2, None,0.0, 3.1,2019-08-06 08:15:00, 42.0, 43.0,32
23.0, None,0.0, 3.8,2019-08-06 08:30:00, 41.0, 45.0,32
23.3, None,0.0, 3.5,2019-08-06 08:45:00, 40.0, 44.0,32
23.8, 0.0,0.0, 3.1,2019-08-06 09:00:00, 63.0, 42.0,32
24.0, None,0.0, 3.5,2019-08-06 09:15:00, 40.0, 44.0,32
23.8, None,0.0, 3.6,2019-08-06 09:30:00, 96.0, 48.0,32
23.5, None,0.0, 3.2,2019-08-06 09:45:00, 164.0, 49.0,32
23.9, 0.0,0.0, 4.3,2019-08-06 10:00:00, 191.0, 46.0,32
23.5, None,0.0, 4.9,2019-08-06 10:15:00, 189.0, 49.0,32
23.4, None,0.0, 4.8,2019-08-06 10:30:00, 199.0, 51.0,32
24.0, None,0.0, 5.1,2019-08-06 10:45:00, 180.0, 44.0,32
23.9, 0.0,0.0, 6.7,2019-08-06 11:00:00, 167.0, 47.0,32
24.0, None,0.0, 8.1,2019-08-06 11:15:00, 164.0, 47.0,32
24.9, None,0.0, 5.3,2019-08-06 11:30:00, 164.0, 41.0,32
24.6, None,0.0, 8.1,2019-08-06 11:45:00, 174.0, 44.0,32
24.7, 0.0,0.0, 8.4,2019-08-06 12:00:00, 172.0, 43.0,32
24.7, None,0.0, 8.7,2019-08-06 12:15:00, 154.0, 42.0,32
24.6, None,0.0, 8.2,2019-08-06 12:30:00, 177.0, 44.0,32
24.7, None,0.0, 7.5,2019-08-06 12:45:00, 200.0, 43.0,32
25.6, 0.0,0.0, 7.6,2019-08-06 13:00:00, 180.0, 41.0,32
26.2, None,0.0, 7.0,2019-08-06 13:15:00, 174.0, 41.0,32
26.2, None,0.0, 6.5,2019-08-06 13:30:00, 156.0, 40.0,32
26.5, None,0.0, 7.9,2019-08-06 13:45:00, 170.0, 38.0,32
26.7, 0.0,0.0, 6.0,2019-08-06 14:00:00, 159.0, 39.0,32
26.4, None,0.0, 10.5,2019-08-06 14:15:00, 171.0, 42.0,32
25.6, None,0.0, 10.5,2019-08-06 14:30:00, 170.0, 41.0,32
25.9, None,0.0, 9.1,2019-08-06 14:45:00, 170.0, 40.0,32
25.3, 0.0,0.0, 9.2,2019-08-06 15:00:00, 179.0, 44.0,32
25.5, None,0.0, 9.5,2019-08-06 15:15:00, 174.0, 42.0,32
25.2, None,0.0, 10.3,2019-08-06 15:30:00, 172.0, 42.0,32
25.7, None,0.0, 8.2,2019-08-06 15:45:00, 155.0, 40.0,32
25.8, 0.0,0.0, 8.8,2019-08-06 16:00:00, 173.0, 39.0,32
25.6, None,0.0, 7.9,2019-08-06 16:15:00, 184.0, 40.0,32
25.4, None,0.0, 9.0,2019-08-06 16:30:00, 182.0, 39.0,32
25.4, None,0.0, 7.2,2019-08-06 16:45:00, 178.0, 41.0,32
24.9, 0.0,0.0, 8.0,2019-08-06 17:00:00, 178.0, 41.0,32
24.8, None,0.0, 7.3,2019-08-06 17:15:00, 200.0, 41.0,32
24.7, None,0.0, 6.7,2019-08-06 17:30:00, 195.0, 42.0,32
24.3, None,0.0, 6.8,2019-08-06 17:45:00, 190.0, 43.0,32
24.0, 0.0,0.0, 6.1,2019-08-06 18:00:00, 179.0, 45.0,32
23.7, None,0.0, 4.5,2019-08-06 18:15:00, 234.0, 46.0,32
23.0, None,0.0, 4.4,2019-08-06 18:30:00, 241.0, 48.0,32
22.1, None,0.0, 3.1,2019-08-06 18:45:00, 265.0, 52.0,32
21.5, 0.0,0.0, 3.3,2019-08-06 19:00:00, 270.0, 52.0,32
21.0, None,0.0, 3.4,2019-08-06 19:15:00, 269.0, 54.0,32
20.6, None,0.0, 3.7,2019-08-06 19:30:00, 278.0, 53.0,32
20.4, None,0.0, 4.1,2019-08-06 19:45:00, 280.0, 51.0,32
20.3, 0.0,0.0, 4.4,2019-08-06 20:00:00, 283.0, 51.0,32
20.0, None,0.0, 3.9,2019-08-06 20:15:00, 300.0, 52.0,32
20.1, None,0.0, 4.5,2019-08-06 20:30:00, 302.0, 54.0,32
20.4, None,0.0, 5.5,2019-08-06 20:45:00, 313.0, 55.0,32
20.2, 0.0,0.0, 3.7,2019-08-06 21:00:00, 332.0, 55.0,32
20.1, None,0.0, 3.5,2019-08-06 21:15:00, 343.0, 54.0,32
19.9, None,0.0, 2.3,2019-08-06 21:30:00, 350.0, 55.0,32
19.6, None,0.0, 1.1,2019-08-06 21:45:00, 11.0, 57.0,32
19.5, 0.0,0.0, 1.1,2019-08-06 22:00:00, 347.0, 57.0,32
19.6, None,0.0, 1.3,2019-08-06 22:15:00, 327.0, 56.0,32
20.0, None,0.0, 1.1,2019-08-06 22:30:00, 311.0, 57.0,32
20.3, None,0.0, 1.3,2019-08-06 22:45:00, 238.0, 56.0,32
20.0, 0.0,0.0, 0.9,2019-08-06 23:00:00, 258.0, 57.0,32
20.1, None,0.0, 1.4,2019-08-06 23:15:00, 250.0, 57.0,32
20.6, None,0.0, 2.8,2019-08-06 23:30:00, 257.0, 54.0,32
20.5, None,0.0, 2.2,2019-08-06 23:45:00, 238.0, 55.0,32
20.9, 0.0,0.0, 3.2,2019-08-07 00:00:00, 251.0, 53.0,32
21.1, None,0.0, 3.4,2019-08-07 00:15:00, 260.0, 53.0,32
21.1, None,0.0, 3.5,2019-08-07 00:30:00, 256.0, 52.0,32
21.1, None,0.0, 3.2,2019-08-07 00:45:00, 261.0, 52.0,32
21.0, 0.0,0.0, 2.4,2019-08-07 01:00:00, 252.0, 53.0,32
20.9, None,0.0, 3.0,2019-08-07 01:15:00, 250.0, 52.0,32
20.7, None,0.0, 2.6,2019-08-07 01:30:00, 251.0, 53.0,32
20.8, None,0.0, 2.6,2019-08-07 01:45:00, 262.0, 53.0,32
20.8, 0.0,0.0, 2.3,2019-08-07 02:00:00, 262.0, 54.0,32
20.6, None,0.0, 1.9,2019-08-07 02:15:00, 295.0, 54.0,32
19.8, None,0.0, 0.5,2019-08-07 02:30:00, 6.0, 58.0,32
19.3, None,0.0, 0.9,2019-08-07 02:45:00, 89.0, 59.0,32
19.1, 0.0,0.0, 1.2,2019-08-07 03:00:00, 67.0, 59.0,32
19.1, None,0.0, 2.3,2019-08-07 03:15:00, 33.0, 60.0,32
18.8, None,0.0, 2.2,2019-08-07 03:30:00, 19.0, 61.0,32
18.3, None,0.0, 3.2,2019-08-07 03:45:00, 24.0, 64.0,32
17.8, 0.0,0.0, 3.5,2019-08-07 04:00:00, 28.0, 62.0,32
17.7, None,0.0, 4.5,2019-08-07 04:15:00, 35.0, 59.0,32
17.7, None,0.0, 4.6,2019-08-07 04:30:00, 35.0, 60.0,32
17.5, None,0.0, 4.8,2019-08-07 04:45:00, 37.0, 62.0,32
17.4, 0.0,0.0, 5.5,2019-08-07 05:00:00, 36.0, 63.0,32
17.5, None,0.0, 5.3,2019-08-07 05:15:00, 36.0, 63.0,32
17.6, None,0.0, 5.4,2019-08-07 05:30:00, 37.0, 65.0,32
17.6, None,0.0, 6.0,2019-08-07 05:45:00, 39.0, 65.0,32
18.2, 0.0,0.0, 6.1,2019-08-07 06:00:00, 39.0, 58.0,32
18.6, None,0.0, 6.6,2019-08-07 06:15:00, 37.0, 57.0,32
18.7, None,0.0, 6.3,2019-08-07 06:30:00, 37.0, 57.0,32
19.2, None,0.0, 5.2,2019-08-07 06:45:00, 38.0, 57.0,32
19.5, 0.0,0.0, 5.2,2019-08-07 07:00:00, 37.0, 53.0,32
20.4, None,0.0, 5.5,2019-08-07 07:15:00, 39.0, 52.0,32
20.9, None,0.0, 5.3,2019-08-07 07:30:00, 40.0, 54.0,32
21.1, None,0.0, 5.4,2019-08-07 07:45:00, 47.0, 53.0,32
21.4, 0.0,0.0, 5.4,2019-08-07 08:00:00, 41.0, 52.0,32
21.3, None,0.0, 6.0,2019-08-07 08:15:00, 36.0, 50.0,32
21.8, None,0.0, 4.8,2019-08-07 08:30:00, 38.0, 52.0,32
22.3, None,0.0, 3.9,2019-08-07 08:45:00, 43.0, 48.0,32
22.4, 0.0,0.0, 4.5,2019-08-07 09:00:00, 42.0, 50.0,32
22.8, None,0.0, 3.2,2019-08-07 09:15:00, 47.0, 47.0,32
23.3, None,0.0, 3.1,2019-08-07 09:30:00, 33.0, 47.0,32
23.5, None,0.0, 3.6,2019-08-07 09:45:00, 49.0, 52.0,32
23.4, 0.0,0.0, 3.0,2019-08-07 10:00:00, 166.0, 48.0,32
23.1, None,0.0, 5.8,2019-08-07 10:15:00, 181.0, 53.0,32
22.3, None,0.0, 7.9,2019-08-07 10:30:00, 179.0, 54.0,32
23.1, None,0.0, 6.9,2019-08-07 10:45:00, 179.0, 56.0,32
23.5, 0.0,0.0, 7.3,2019-08-07 11:00:00, 175.0, 51.0,32
23.6, None,0.0, 7.7,2019-08-07 11:15:00, 169.0, 52.0,32
23.3, None,0.0, 9.1,2019-08-07 11:30:00, 185.0, 53.0,32
23.4, None,0.0, 8.5,2019-08-07 11:45:00, 182.0, 51.0,32
23.7, 0.0,0.0, 7.9,2019-08-07 12:00:00, 192.0, 48.0,32
24.4, None,0.0, 7.7,2019-08-07 12:15:00, 186.0, 49.0,32
24.5, None,0.0, 9.4,2019-08-07 12:30:00, 183.0, 46.0,32
24.4, None,0.0, 8.9,2019-08-07 12:45:00, 172.0, 48.0,32
25.0, 0.0,0.0, 9.9,2019-08-07 13:00:00, 178.0, 47.0,32
25.4, None,0.0, 8.9,2019-08-07 13:15:00, 181.0, 47.0,32
24.9, None,0.0, 9.7,2019-08-07 13:30:00, 177.0, 49.0,32
25.1, None,0.0, 10.4,2019-08-07 13:45:00, 180.0, 48.0,32
25.3, 0.0,0.0, 9.9,2019-08-07 14:00:00, 175.0, 45.0,32
25.2, None,0.0, 10.7,2019-08-07 14:15:00, 182.0, 46.0,32
25.3, None,0.0, 9.4,2019-08-07 14:30:00, 186.0, 45.0,32
