CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -0.371,89.3, None, None, None, None,8.37,18.97,224.6, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 00:00:00, None, None,17
None, -0.96,91.4, None, None, None, None,9.95,15.05,220.3, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 01:00:00, None, None,17
None, -1.322,93.4, None, None, None, None,8.7,14.03,226.3, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 02:00:00, None, None,17
None, -1.296,95.9, None, None, None, None,7.916,15.41,232.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 03:00:00, None, None,17
None, -1.507,98.9, None, None, None, None,5.265,14.87,233.3, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 04:00:00, None, None,17
None, -1.559,99.6, None, None, None, None,4.325,14.15,231.3, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 05:00:00, None, None,17
None, -1.458,100.2, None, None, None, None,7.7,13.94,224.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 06:00:00, None, None,17
None, -1.393,100.3, None, None, None, None,6.039,14.28,221.9, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 07:00:00, None, None,17
None, -0.949,93.2, None, None, None, None,8.92,15.36,217.4, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 08:00:00, None, None,17
None, -1.001,98.2, None, None, None, None,6.153,15.08,233.1, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 09:00:00, None, None,17
None, -0.667,98.9, None, None, None, None,5.815,20.41,229.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-23 10:00:00, None, None,17
