air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
-4.9, None, -4.9, 2.0, None,2022-02-12 00:00:00, None,7
-5.4, None, -5.4, 2.0, None,2022-02-12 01:00:00, None,7
-6.2, None, -6.2, 2.0, None,2022-02-12 02:00:00, None,7
-6.7, None, -6.7, 2.0, None,2022-02-12 03:00:00, None,7
-7.4, None, -7.4, 2.0, None,2022-02-12 04:00:00, None,7
-8.0, None, -8.0, 2.0, None,2022-02-12 05:00:00, None,7
-8.2, None, -8.2, 2.0, None,2022-02-12 06:00:00, None,7
-8.5, None, -8.5, -8.2, None,2022-02-12 07:00:00, None,7
-8.4, None, -8.5, -8.2, None,2022-02-12 08:00:00, None,7
-7.4, None, -8.5, -7.4, None,2022-02-12 09:00:00, None,7
-5.7, None, -8.5, -5.8, None,2022-02-12 10:00:00, None,7
-0.1, None, -8.5, -0.3, None,2022-02-12 11:00:00, None,7
11.9, None, -8.5, 11.7, None,2022-02-12 12:00:00, None,7
17.6, None, -8.5, 17.6, None,2022-02-12 13:00:00, None,7
19.9, None, -8.5, 19.9, None,2022-02-12 14:00:00, None,7
18.6, None, -8.5, 19.9, None,2022-02-12 15:00:00, None,7
16.2, None, -8.5, 19.9, None,2022-02-12 16:00:00, None,7
11.8, None, -8.5, 19.9, None,2022-02-12 17:00:00, None,7
4.7, None, -8.5, 19.9, None,2022-02-12 18:00:00, None,7
1.3, None, 1.4, 4.7, None,2022-02-12 19:00:00, None,7
-0.2, None, -0.2, 4.7, None,2022-02-12 20:00:00, None,7
-1.2, None, -1.2, 4.7, None,2022-02-12 21:00:00, None,7
-1.9, None, -1.9, 4.7, None,2022-02-12 22:00:00, None,7
-2.4, None, -2.4, 4.7, None,2022-02-12 23:00:00, None,7
-2.9, None, -2.9, 4.7, None,2022-02-13 00:00:00, None,7
-3.2, None, -3.2, 4.7, None,2022-02-13 01:00:00, None,7
-3.7, None, -3.7, 4.7, None,2022-02-13 02:00:00, None,7
-4.2, None, -4.2, 4.7, None,2022-02-13 03:00:00, None,7
-4.3, None, -4.3, 4.7, None,2022-02-13 04:00:00, None,7
-4.6, None, -4.6, 4.7, None,2022-02-13 05:00:00, None,7
-4.8, None, -4.8, 4.7, None,2022-02-13 06:00:00, None,7
-4.8, None, -4.8, -4.8, None,2022-02-13 07:00:00, None,7
-5.0, None, -5.0, -4.8, None,2022-02-13 08:00:00, None,7
-4.4, None, -5.0, -4.5, None,2022-02-13 09:00:00, None,7
-3.5, None, -5.0, -3.6, None,2022-02-13 10:00:00, None,7
1.4, None, -5.0, 1.3, None,2022-02-13 11:00:00, None,7
12.4, None, -5.0, 12.3, None,2022-02-13 12:00:00, None,7
15.7, None, -5.0, 16.5, None,2022-02-13 13:00:00, None,7
14.1, None, -5.0, 16.5, None,2022-02-13 14:00:00, None,7
13.5, None, -5.0, 16.5, None,2022-02-13 15:00:00, None,7
13.3, None, -5.0, 16.5, None,2022-02-13 16:00:00, None,7
7.5, None, -5.0, 16.5, None,2022-02-13 17:00:00, None,7
3.6, None, -5.0, 16.5, None,2022-02-13 18:00:00, None,7
2.2, None, 2.2, 3.6, None,2022-02-13 19:00:00, None,7
3.1, None, 2.1, 3.6, None,2022-02-13 20:00:00, None,7
4.8, None, 2.1, 4.8, None,2022-02-13 21:00:00, None,7
5.1, None, 2.1, 5.1, None,2022-02-13 22:00:00, None,7
4.9, None, 2.1, 5.1, None,2022-02-13 23:00:00, None,7
4.6, None, 2.1, 5.1, None,2022-02-14 00:00:00, None,7
