pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,snwfl_amt_pst1hr,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -10.1, 88.6, None, None, None, 0.0, -11.0, -10.1, -10.1, 1033.3, 0.0, -11.0, 893.0, -3.9, 89.0, None,2022-02-12 00:00:00, 75.0, 74.85, 893.0,7
None, -10.26, 90.5, None, None, None, 0.0, -12.0, -10.3, -10.8, 1033.2, -0.1, -12.0, 893.0, -3.9, 91.0, None,2022-02-12 01:00:00, 75.0, 74.51, 893.0,7
None, -11.33, 90.9, None, None, None, 1.0, -12.0, -11.3, -11.4, 1034.5, 0.0, -12.0, 894.0, -3.9, 91.0, None,2022-02-12 02:00:00, 75.0, 74.77, 894.0,7
None, -11.92, 91.8, None, None, None, 0.0, -13.0, -11.9, -12.0, 1034.0, 0.0, -13.0, 893.0, -3.9, 92.0, None,2022-02-12 03:00:00, 75.0, 74.8, 893.0,7
None, -12.72, 90.3, None, None, None, 0.0, -14.0, -12.7, -12.7, 1034.7, 0.0, -14.0, 893.0, -3.9, 90.0, None,2022-02-12 04:00:00, 75.0, 74.5, 893.0,7
None, -13.26, 89.9, None, None, None, 0.0, -14.0, -13.3, -13.3, 1035.2, -0.1, -14.0, 893.0, -3.9, 90.0, None,2022-02-12 05:00:00, 75.0, 74.53, 893.0,7
None, -13.45, 89.5, None, None, None, 0.0, -15.0, -13.5, -13.6, 1035.4, 0.0, -15.0, 893.0, -3.9, 90.0, None,2022-02-12 06:00:00, 75.0, 74.73, 893.0,7
None, -13.79, 88.2, None, None, None, 0.0, -15.0, -13.8, -13.8, 1036.8, 0.0, -15.0, 894.0, -13.4, 88.0, None,2022-02-12 07:00:00, 75.0, 74.52, 894.0,7
None, -13.55, 86.2, None, None, None, 0.0, -15.0, -13.6, -14.0, 1035.9, 0.1, -15.0, 893.0, -13.4, 86.0, None,2022-02-12 08:00:00, 74.0, 74.28, 893.0,7
None, -11.77, 89.0, None, None, None, 1.0, -13.0, -11.8, -14.0, 1036.9, 0.0, -13.0, 894.0, -11.9, 89.0, None,2022-02-12 09:00:00, 75.0, 74.84, 894.0,7
None, -5.972, 75.86, None, None, None, 0.0, -9.0, -6.0, -14.0, 1034.9, 0.4, -9.0, 893.0, -6.2, 76.0, None,2022-02-12 10:00:00, 75.0, 74.81, 893.0,7
None, 1.467, 38.74, None, None, None, -1.0, -12.0, 1.5, -14.0, 1033.8, 1.3, -12.0, 893.0, 1.3, 39.0, None,2022-02-12 11:00:00, 74.0, 74.22, 893.0,7
None, 4.655, 30.92, None, None, None, 0.0, -11.0, 4.7, -14.0, 1032.3, 0.9, -11.0, 892.0, 4.6, 31.0, None,2022-02-12 12:00:00, 74.0, 74.21, 892.0,7
None, 3.877, 32.46, None, None, None, 1.0, -11.0, 3.9, -14.0, 1031.3, -0.1, -11.0, 891.0, 5.0, 32.0, None,2022-02-12 13:00:00, 75.0, 74.68, 891.0,7
None, 3.722, 32.53, None, None, None, 0.0, -11.0, 3.7, -14.0, 1031.5, -0.3, -11.0, 891.0, 5.0, 33.0, None,2022-02-12 14:00:00, 75.0, 74.79, 891.0,7
