station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, 10.66, None, 57.43, 2012-01-01 00:00:00, 6.831
None, 11.52, None, 77.1, 2012-01-01 01:00:00, 4.889
None, 7.68, None, 85.0, 2012-01-01 02:00:00, 3.791
None, 8.88, None, 78.8, 2012-01-01 03:00:00, 4.387
None, 7.98, None, 84.1, 2012-01-01 04:00:00, 4.388
None, 6.788, None, 91.6, 2012-01-01 05:00:00, 3.894
None, 6.788, None, 88.6, 2012-01-01 06:00:00, 4.79
None, 8.37, None, 85.1, 2012-01-01 07:00:00, 5.525
None, 9.14, None, 80.8, 2012-01-01 08:00:00, 6.339
None, 8.93, None, 75.6, 2012-01-01 09:00:00, 7.27
None, 8.6, None, 73.4, 2012-01-01 10:00:00, 7.72
None, 9.54, None, 74.6, 2012-01-01 11:00:00, 7.82
None, 9.52, None, 71.4, 2012-01-01 12:00:00, 8.46
None, 9.51, None, 72.7, 2012-01-01 13:00:00, 8.66
None, 9.4, None, 71.8, 2012-01-01 14:00:00, 9.03
None, 9.47, None, 71.8, 2012-01-01 15:00:00, 9.18
None, 9.56, None, 70.4, 2012-01-01 16:00:00, 9.4
None, 8.47, None, 65.71, 2012-01-01 17:00:00, 10.13
None, 8.46, None, 56.81, 2012-01-01 18:00:00, 11.04
None, 8.1, None, 51.02, 2012-01-01 19:00:00, 11.63
None, 8.34, None, 37.09, 2012-01-01 20:00:00, 13.44
None, 8.23, None, 33.41, 2012-01-01 21:00:00, 14.07
None, 7.92, None, 36.93, 2012-01-01 22:00:00, 13.71
None, 6.977, None, 37.91, 2012-01-01 23:00:00, 13.66
None, 6.372, None, 45.38, 2012-01-02 00:00:00, 12.91
None, 7.31, None, 36.99, 2012-01-02 01:00:00, 14.08
None, 7.71, None, 37.54, 2012-01-02 02:00:00, 14.02
None, 7.3, None, 40.05, 2012-01-02 03:00:00, 13.85
None, 7.34, None, 70.2, 2012-01-02 04:00:00, 9.95
None, 6.991, None, 49.33, 2012-01-02 05:00:00, 12.53
