station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, time, avg_air_temp_pst1hr
None, None, 1.376, None, 2012-01-01 00:00:00, -12.75
None, None, 1.893, None, 2012-01-01 01:00:00, -13.19
None, None, 1.846, None, 2012-01-01 02:00:00, -13.18
None, None, 1.983, None, 2012-01-01 03:00:00, -12.59
None, None, 2.148, None, 2012-01-01 04:00:00, -12.89
None, None, 2.067, None, 2012-01-01 05:00:00, -13.22
None, None, 1.993, None, 2012-01-01 06:00:00, -13.48
None, None, 2.456, None, 2012-01-01 07:00:00, -13.31
None, None, 1.897, None, 2012-01-01 08:00:00, -13.27
None, None, 1.888, None, 2012-01-01 09:00:00, -13.47
None, None, 1.777, None, 2012-01-01 10:00:00, -12.92
None, None, 2.14, None, 2012-01-01 11:00:00, -11.3
None, None, 2.02, None, 2012-01-01 12:00:00, -10.33
None, None, 1.344, None, 2012-01-01 13:00:00, -8.9
None, None, 1.117, None, 2012-01-01 14:00:00, -7.66
None, None, 1.586, None, 2012-01-01 15:00:00, -6.833
None, None, 1.488, None, 2012-01-01 16:00:00, -6.499
None, None, 1.704, None, 2012-01-01 17:00:00, -6.685
None, None, 1.775, None, 2012-01-01 18:00:00, -6.359
None, None, 1.587, None, 2012-01-01 19:00:00, -5.537
None, None, 1.134, None, 2012-01-01 20:00:00, -5.197
None, None, 0.786, None, 2012-01-01 21:00:00, -2.676
None, None, 3.186, None, 2012-01-01 22:00:00, -0.202999
None, None, 4.168, None, 2012-01-01 23:00:00, 1.44
None, None, 5.982, None, 2012-01-02 00:00:00, 2.11
None, None, 6.663, None, 2012-01-02 01:00:00, 2.505
None, None, 6.157, None, 2012-01-02 02:00:00, 2.612
None, None, 4.996, None, 2012-01-02 03:00:00, 2.468
None, None, 4.756, None, 2012-01-02 04:00:00, 2.624
None, None, 5.873, None, 2012-01-02 05:00:00, 3.075
None, None, 6.207, None, 2012-01-02 06:00:00, 3.055
None, None, 6.401, None, 2012-01-02 07:00:00, 3.094
None, None, 5.952, None, 2012-01-02 08:00:00, 3.326
None, None, 6.499, None, 2012-01-02 09:00:00, 3.762
None, None, 6.259, None, 2012-01-02 10:00:00, 3.977
None, None, 3.942, None, 2012-01-02 11:00:00, 3.843
None, None, 3.491, None, 2012-01-02 12:00:00, 3.609
None, None, 4.181, None, 2012-01-02 13:00:00, 3.315
None, None, 3.106, None, 2012-01-02 14:00:00, 3.191
None, None, 3.131, None, 2012-01-02 15:00:00, 3.162
None, None, 1.646, None, 2012-01-02 16:00:00, 2.855
None, None, 3.446, None, 2012-01-02 17:00:00, 1.913
None, None, 2.728, None, 2012-01-02 18:00:00, 2.55
None, None, 2.328, None, 2012-01-02 19:00:00, 1.723
None, None, 1.467, None, 2012-01-02 20:00:00, 0.008999
None, None, 2.33, None, 2012-01-02 21:00:00, 0.442999
None, None, 1.975, None, 2012-01-02 22:00:00, 1.047
None, None, 1.515, None, 2012-01-02 23:00:00, 1.099
None, None, 0.921999, None, 2012-01-03 00:00:00, -0.087999
None, None, 1.033, None, 2012-01-03 01:00:00, -0.087999
None, None, 0.98, None, 2012-01-03 02:00:00, -0.014
None, None, 0.892, None, 2012-01-03 03:00:00, -0.085
None, None, 0.746999, None, 2012-01-03 04:00:00, -0.064
None, None, 1.666, None, 2012-01-03 05:00:00, 1.112
None, None, 2.626, None, 2012-01-03 06:00:00, 2.277
None, None, 3.6, None, 2012-01-03 07:00:00, 2.903
None, None, 5.93, None, 2012-01-03 08:00:00, 3.468
None, None, 5.842, None, 2012-01-03 09:00:00, 2.053
None, None, 3.101, None, 2012-01-03 10:00:00, 2.026
None, None, 5.251, None, 2012-01-03 11:00:00, 3.371
None, None, 5.572, None, 2012-01-03 12:00:00, 3.849
None, None, 6.118, None, 2012-01-03 13:00:00, 4.578
None, None, 6.102, None, 2012-01-03 14:00:00, 5.055
None, None, 6.504, None, 2012-01-03 15:00:00, 5.185
None, None, 5.333, None, 2012-01-03 16:00:00, 5.168
None, None, 5.122, None, 2012-01-03 17:00:00, 5.231
None, None, 5.687, None, 2012-01-03 18:00:00, 5.14
None, None, 6.609, None, 2012-01-03 19:00:00, 4.898
None, None, 6.011, None, 2012-01-03 20:00:00, 5.098
None, None, 6.05, None, 2012-01-03 21:00:00, 5.535
None, None, 6.999, None, 2012-01-03 22:00:00, 5.175
None, None, 4.418, None, 2012-01-03 23:00:00, 5.235
None, None, 3.886, None, 2012-01-04 00:00:00, 5.5
None, None, 2.684, None, 2012-01-04 01:00:00, 5.106
None, None, 5.47, None, 2012-01-04 02:00:00, 6.131
None, None, 6.108, None, 2012-01-04 03:00:00, 6.383
None, None, 6.174, None, 2012-01-04 04:00:00, 6.47
None, None, 7.72, None, 2012-01-04 05:00:00, 6.486
None, None, 7.9, None, 2012-01-04 06:00:00, 6.23
None, None, 7.2, None, 2012-01-04 07:00:00, 6.347
None, None, 7.71, None, 2012-01-04 08:00:00, 6.384
None, None, 6.934, None, 2012-01-04 09:00:00, 6.354
None, None, 5.774, None, 2012-01-04 10:00:00, 6.301
None, None, 4.326, None, 2012-01-04 11:00:00, 6.43
None, None, 3.345, None, 2012-01-04 12:00:00, 6.565
None, None, 3.347, None, 2012-01-04 13:00:00, 7.38
None, None, 2.865, None, 2012-01-04 14:00:00, 7.27
None, None, 2.777, None, 2012-01-04 15:00:00, 7.19
None, None, 2.756, None, 2012-01-04 16:00:00, 6.867
None, None, 3.34, None, 2012-01-04 17:00:00, 6.454
None, None, 3.135, None, 2012-01-04 18:00:00, 6.246
None, None, 2.305, None, 2012-01-04 19:00:00, 6.234
None, None, 2.939, None, 2012-01-04 20:00:00, 5.772
None, None, 2.717, None, 2012-01-04 21:00:00, 2.367
