station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
None, None, 3.133, 0.0, 66.32, 2012-01-01 00:00:00, None, 3.866
None, None, 3.49, 0.0, 61.35, 2012-01-01 01:00:00, None, 4.088
None, None, 3.097, 0.0, 61.91, 2012-01-01 02:00:00, None, 4.065
None, None, 2.326, 0.0, 64.67, 2012-01-01 03:00:00, None, 3.862
None, None, 2.647, 0.0, 73.3, 2012-01-01 04:00:00, None, 3.36
None, None, 2.575, 0.0, 81.9, 2012-01-01 05:00:00, None, 2.845
None, None, 4.719, 0.0, 87.0, 2012-01-01 06:00:00, None, 2.872
None, None, 4.532, 0.0, 91.4, 2012-01-01 07:00:00, None, 2.422
None, None, 4.9, 0.0, 91.5, 2012-01-01 08:00:00, None, 2.423
None, None, 3.698, 0.0, 90.0, 2012-01-01 09:00:00, None, 2.638
None, None, 3.093, 0.0, 83.8, 2012-01-01 10:00:00, None, 3.319
None, None, 4.274, 0.0, 77.1, 2012-01-01 11:00:00, None, 4.157
None, None, 3.679, 0.0, 66.72, 2012-01-01 12:00:00, None, 4.962
None, None, 3.569, 0.0, 61.51, 2012-01-01 13:00:00, None, 5.947
None, None, 3.512, 0.0, 61.4, 2012-01-01 14:00:00, None, 7.11
None, None, 3.372, 0.0, 62.74, 2012-01-01 15:00:00, None, 7.64
None, None, 3.911, 0.0, 62.7, 2012-01-01 16:00:00, None, 7.8
None, None, 4.301, 0.0, 63.6, 2012-01-01 17:00:00, None, 7.64
None, None, 4.885, 0.0, 63.45, 2012-01-01 18:00:00, None, 7.4
None, None, 4.74, 0.0, 58.1, 2012-01-01 19:00:00, None, 8.34
None, None, 5.187, 0.0, 57.78, 2012-01-01 20:00:00, None, 8.56
None, None, 4.295, 0.0, 58.48, 2012-01-01 21:00:00, None, 8.65
None, None, 3.171, 0.0, 60.81, 2012-01-01 22:00:00, None, 8.22
None, None, 2.72, 0.0, 61.11, 2012-01-01 23:00:00, None, 8.02
None, None, 1.643, 0.0, 67.95, 2012-01-02 00:00:00, None, 6.554
None, None, 2.018, 0.0, 69.89, 2012-01-02 01:00:00, None, 6.1
None, None, 2.148, 0.0, 71.4, 2012-01-02 02:00:00, None, 5.644
None, None, 1.555, 0.0, 67.51, 2012-01-02 03:00:00, None, 6.29
None, None, 2.368, 0.0, 62.85, 2012-01-02 04:00:00, None, 7.03
None, None, 1.751, 0.0, 60.04, 2012-01-02 05:00:00, None, 7.73
None, None, 3.032, 0.0, 58.92, 2012-01-02 06:00:00, None, 8.07
None, None, 2.322, 0.0, 57.34, 2012-01-02 07:00:00, None, 8.22
None, None, 1.084, 0.0, 58.52, 2012-01-02 08:00:00, None, 8.01
None, None, 1.682, 0.0, 59.12, 2012-01-02 09:00:00, None, 8.03
None, None, 3.561, 0.0, 57.49, 2012-01-02 10:00:00, None, 9.03
None, None, 3.489, 0.0, 61.79, 2012-01-02 11:00:00, None, 8.63
None, None, 1.285, 0.0, 63.16, 2012-01-02 12:00:00, None, 9.17
None, None, 2.647, 0.0, 62.83, 2012-01-02 13:00:00, None, 10.03
None, None, 2.307, 1.0, 76.9, 2012-01-02 14:00:00, None, 8.41
None, None, 2.111, 0.0, 86.6, 2012-01-02 15:00:00, None, 7.64
None, None, 2.875, 0.0, 83.1, 2012-01-02 16:00:00, None, 7.48
None, None, 3.252, 0.0, 81.7, 2012-01-02 17:00:00, None, 7.18
None, None, 2.437, 0.0, 81.7, 2012-01-02 18:00:00, None, 7.43
None, None, 1.239, 0.0, 90.0, 2012-01-02 19:00:00, None, 6.577
