station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, 5.253, 80.3, 2012-01-01 00:00:00, -2.524
None, None, 4.67, 80.6, 2012-01-01 01:00:00, -2.416
None, None, 3.795, 82.1, 2012-01-01 02:00:00, -2.357
None, None, 2.364, 80.3, 2012-01-01 03:00:00, -2.127
None, None, 2.048, 76.9, 2012-01-01 04:00:00, -1.929
None, None, 3.324, 73.7, 2012-01-01 05:00:00, -1.514
None, None, 4.398, 71.5, 2012-01-01 06:00:00, -1.319
None, None, 3.599, 68.54, 2012-01-01 07:00:00, -0.773999
None, None, 4.063, 68.66, 2012-01-01 08:00:00, -0.676999
None, None, 3.843, 66.78, 2012-01-01 09:00:00, -0.287999
None, None, 4.463, 66.7, 2012-01-01 10:00:00, -0.164
None, None, 6.493, 65.91, 2012-01-01 11:00:00, 0.130999
None, None, 6.201, 73.4, 2012-01-01 12:00:00, -0.057999
None, None, 7.9, 88.6, 2012-01-01 13:00:00, -1.064
None, None, 8.87, 88.9, 2012-01-01 14:00:00, -1.129
None, None, 8.68, 90.0, 2012-01-01 15:00:00, -1.201
None, None, 8.31, 88.5, 2012-01-01 16:00:00, -1.144
None, None, 7.47, 88.8, 2012-01-01 17:00:00, -0.996999
None, None, 8.12, 90.1, 2012-01-01 18:00:00, -0.800999
None, None, 7.72, 90.7, 2012-01-01 19:00:00, -0.551999
None, None, 5.35, 96.1, 2012-01-01 20:00:00, -0.532999
None, None, 1.701, 98.4, 2012-01-01 21:00:00, -0.625
None, None, 0.223, 98.2, 2012-01-01 22:00:00, -0.252999
None, None, 0.216, 98.5, 2012-01-01 23:00:00, -0.184
None, None, 0.214, 98.8, 2012-01-02 00:00:00, -0.400999
None, None, 0.212999, None, 2012-01-02 01:00:00, -0.8
None, None, 0.216, 100.0, 2012-01-02 02:00:00, -0.906
None, None, 0.216, 100.0, 2012-01-02 03:00:00, -0.859
None, None, 0.216, 100.0, 2012-01-02 04:00:00, -0.862999
None, None, 0.216, 100.0, 2012-01-02 05:00:00, -0.884999
None, None, 0.212999, 100.0, 2012-01-02 06:00:00, -1.037
None, None, 0.210999, 100.0, 2012-01-02 07:00:00, -0.925999
None, None, 0.209, 100.0, 2012-01-02 08:00:00, -0.763999
None, None, 0.209999, 100.0, 2012-01-02 09:00:00, -0.354
None, None, 0.209999, 100.0, 2012-01-02 10:00:00, 0.061999
None, None, 0.204999, 100.0, 2012-01-02 11:00:00, 0.748
None, None, 0.206, 99.6, 2012-01-02 12:00:00, 1.686
None, None, 0.210999, 99.0, 2012-01-02 13:00:00, 1.438
None, None, 0.212999, 99.8, 2012-01-02 14:00:00, 1.555
None, None, 0.216999, 99.7, 2012-01-02 15:00:00, 1.316
None, None, 0.214, None, 2012-01-02 16:00:00, 1.096
None, None, 0.218999, None, 2012-01-02 17:00:00, 0.834999
None, None, 0.218999, 100.0, 2012-01-02 18:00:00, 0.825999
None, None, 0.224999, 100.0, 2012-01-02 19:00:00, 0.757
None, None, 0.247999, 100.0, 2012-01-02 20:00:00, 0.671999
None, None, 0.28, 100.0, 2012-01-02 21:00:00, 0.745
None, None, 0.246999, 100.0, 2012-01-02 22:00:00, 0.74
None, None, 0.391999, 100.0, 2012-01-02 23:00:00, 0.748
None, None, 1.341, 100.0, 2012-01-03 00:00:00, 0.759999
None, None, 0.428999, 100.0, 2012-01-03 01:00:00, 0.864
None, None, 0.587, 100.0, 2012-01-03 02:00:00, 0.731
None, None, 1.924, 100.0, 2012-01-03 03:00:00, 1.273
None, None, 4.091, None, 2012-01-03 04:00:00, 1.147
None, None, 4.75, 100.0, 2012-01-03 05:00:00, 1.082
None, None, 4.917, 100.0, 2012-01-03 06:00:00, 0.962999
None, None, 3.957, 100.0, 2012-01-03 07:00:00, 1.074
None, None, 3.446, 100.0, 2012-01-03 08:00:00, 1.436
None, None, 4.011, 95.9, 2012-01-03 09:00:00, 2.55
None, None, 3.087, 93.8, 2012-01-03 10:00:00, 2.482
None, None, 2.913, 97.1, 2012-01-03 11:00:00, 1.76
None, None, 2.304, 98.7, 2012-01-03 12:00:00, 1.492
None, None, 1.819, 99.4, 2012-01-03 13:00:00, 1.519
None, None, 1.539, 99.3, 2012-01-03 14:00:00, 1.672
None, None, 1.285, 97.9, 2012-01-03 15:00:00, 2.125
None, None, 1.67, 96.5, 2012-01-03 16:00:00, 2.451
None, None, 1.417, 97.5, 2012-01-03 17:00:00, 2.249
None, None, 1.241, 99.6, 2012-01-03 18:00:00, 1.927
None, None, 2.168, 99.9, 2012-01-03 19:00:00, 1.676
None, None, 1.285, None, 2012-01-03 20:00:00, 1.526
None, None, 1.442, 100.0, 2012-01-03 21:00:00, 1.444
None, None, 1.62, 100.0, 2012-01-03 22:00:00, 1.512
None, None, 1.653, None, 2012-01-03 23:00:00, 1.905
None, None, 2.409, 98.6, 2012-01-04 00:00:00, 2.464
None, None, 5.0, 90.2, 2012-01-04 01:00:00, 4.113
None, None, 2.986, 95.7, 2012-01-04 02:00:00, 2.853
None, None, 1.697, 93.7, 2012-01-04 03:00:00, 3.269
None, None, 1.628, 97.7, 2012-01-04 04:00:00, 2.515
None, None, 2.321, 97.6, 2012-01-04 05:00:00, 2.612
None, None, 1.295, 99.4, 2012-01-04 06:00:00, 2.33
None, None, 0.977999, 99.5, 2012-01-04 07:00:00, 2.569
None, None, 1.431, 98.7, 2012-01-04 08:00:00, 2.868
None, None, 1.614, None, 2012-01-04 09:00:00, 2.204
None, None, 1.442, 100.0, 2012-01-04 10:00:00, 2.398
None, None, 1.315, 99.7, 2012-01-04 11:00:00, 2.601
None, None, 1.71, 99.8, 2012-01-04 12:00:00, 3.111
None, None, 1.579, 99.7, 2012-01-04 13:00:00, 3.898
None, None, 1.836, 93.1, 2012-01-04 14:00:00, 5.604
None, None, 5.41, 78.1, 2012-01-04 15:00:00, 7.46
None, None, 3.096, 80.7, 2012-01-04 16:00:00, 6.976
None, None, 1.313, 90.7, 2012-01-04 17:00:00, 5.545
None, None, 2.052, 93.9, 2012-01-04 18:00:00, 4.9
None, None, 2.22, 92.8, 2012-01-04 19:00:00, 4.907
None, None, 2.53, 92.0, 2012-01-04 20:00:00, 5.07
None, None, 1.691, 91.0, 2012-01-04 21:00:00, 5.075
None, None, 2.197, 89.2, 2012-01-04 22:00:00, 5.04
None, None, 3.308, 87.9, 2012-01-04 23:00:00, 4.856
None, None, 5.305, 88.0, 2012-01-05 00:00:00, 4.464
None, None, 6.46, 87.0, 2012-01-05 01:00:00, 4.443
None, None, 7.27, 85.9, 2012-01-05 02:00:00, 4.099
None, None, 6.151, 87.1, 2012-01-05 03:00:00, 3.88
None, None, 6.436, 85.5, 2012-01-05 04:00:00, 4.155
None, None, 6.095, 86.9, 2012-01-05 05:00:00, 3.886
None, None, 4.839, 84.2, 2012-01-05 06:00:00, 4.055
None, None, 4.203, 84.6, 2012-01-05 07:00:00, 3.797
None, None, 3.49, 87.2, 2012-01-05 08:00:00, 3.59
None, None, 4.466, 84.6, 2012-01-05 09:00:00, 3.908
None, None, 4.212, 86.5, 2012-01-05 10:00:00, 3.708
None, None, 4.949, 87.4, 2012-01-05 11:00:00, 3.651
None, None, 3.812, 87.0, 2012-01-05 12:00:00, 3.77
None, None, 3.497, 87.0, 2012-01-05 13:00:00, 3.808
None, None, 4.208, 87.3, 2012-01-05 14:00:00, 3.833
None, None, 2.782, 86.4, 2012-01-05 15:00:00, 3.969
None, None, 4.263, 85.5, 2012-01-05 16:00:00, 3.964
None, None, 3.086, 83.5, 2012-01-05 17:00:00, 3.773
None, None, 2.325, 84.5, 2012-01-05 18:00:00, 3.254
None, None, 1.799, 86.8, 2012-01-05 19:00:00, 2.647
None, None, 2.411, 84.0, 2012-01-05 20:00:00, 2.892
None, None, 2.61, 86.3, 2012-01-05 21:00:00, 2.613
None, None, 1.258, 86.2, 2012-01-05 22:00:00, 2.261
None, None, 1.344, 87.1, 2012-01-05 23:00:00, 1.898
None, None, 1.417, 87.3, 2012-01-06 00:00:00, 1.809
None, None, 1.372, 87.4, 2012-01-06 01:00:00, 1.656
None, None, 1.508, 87.4, 2012-01-06 02:00:00, 1.872
None, None, 1.228, 90.5, 2012-01-06 03:00:00, 1.665
None, None, 1.665, 91.1, 2012-01-06 04:00:00, 1.504
None, None, 1.133, 95.2, 2012-01-06 05:00:00, 0.856
None, None, 1.31, 96.2, 2012-01-06 06:00:00, 0.674
None, None, 1.745, 95.5, 2012-01-06 07:00:00, 0.912999
None, None, 1.0, 97.5, 2012-01-06 08:00:00, 0.681999
None, None, 1.128, 98.9, 2012-01-06 09:00:00, 0.611
None, None, 1.453, 99.4, 2012-01-06 10:00:00, 0.695999
None, None, 1.168, 98.6, 2012-01-06 11:00:00, 0.912999
None, None, 1.001, 97.8, 2012-01-06 12:00:00, 1.088
None, None, 1.092, 94.9, 2012-01-06 13:00:00, 1.712
None, None, 1.234, 92.7, 2012-01-06 14:00:00, 2.021
None, None, 1.356, 93.3, 2012-01-06 15:00:00, 1.948
None, None, 1.172, 95.0, 2012-01-06 16:00:00, 1.781
None, None, 1.121, 97.1, 2012-01-06 17:00:00, 1.516
None, None, 0.898999, 97.6, 2012-01-06 18:00:00, 1.468
None, None, 1.368, 97.1, 2012-01-06 19:00:00, 1.503
None, None, 1.122, 95.9, 2012-01-06 20:00:00, 1.596
None, None, 1.212, 94.7, 2012-01-06 21:00:00, 1.956
None, None, 1.317, 94.9, 2012-01-06 22:00:00, 2.127
None, None, 1.832, 95.0, 2012-01-06 23:00:00, 2.271
None, None, 1.436, 93.9, 2012-01-07 00:00:00, 2.5
None, None, 1.313, 93.7, 2012-01-07 01:00:00, 2.563
None, None, 1.528, 93.8, 2012-01-07 02:00:00, 2.593
None, None, 1.649, 94.1, 2012-01-07 03:00:00, 2.599
None, None, 1.829, 93.4, 2012-01-07 04:00:00, 2.665
