pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None, 9.9, 9.9, 9.9, 0.0, 15.1, None,2022-05-21 00:00:00, None,21
None, 9.5, 9.49, 9.5, -0.1, 15.1, None,2022-05-21 01:00:00, None,21
None, 9.1, 9.06, 9.1, -0.1, 15.1, None,2022-05-21 02:00:00, None,21
None, 8.6, 8.56, 8.5, 0.0, 15.1, None,2022-05-21 03:00:00, None,21
None, 8.4, 8.39, 8.1, 0.0, 15.1, None,2022-05-21 04:00:00, None,21
None, 8.7, 8.71, 8.1, 0.0, 15.1, None,2022-05-21 05:00:00, None,21
None, 8.2, 8.24, 8.0, -0.1, 15.1, None,2022-05-21 06:00:00, None,21
None, 8.1, 8.14, 8.1, 0.1, 8.5, None,2022-05-21 07:00:00, None,21
None, 9.0, 8.97, 8.0, 0.1, 9.1, None,2022-05-21 08:00:00, None,21
None, 12.0, 12.0, 8.0, 1.0, 12.0, None,2022-05-21 09:00:00, None,21
None, 13.5, 13.52, 13.6, -0.5, 17.9, None,2022-05-21 21:00:00, None,21
None, 12.2, 12.21, 12.2, -0.3, 17.9, None,2022-05-21 22:00:00, None,21
None, 11.5, 11.54, 11.6, -0.2, 17.9, None,2022-05-21 23:00:00, None,21
None, 10.9, 10.88, 10.9, -0.1, 17.9, None,2022-05-22 00:00:00, None,21
None, 10.5, 10.45, 10.5, -0.1, 17.9, None,2022-05-22 01:00:00, None,21
None, 9.9, 9.93, 9.9, 0.0, 17.9, None,2022-05-22 02:00:00, None,21
None, 9.5, 9.46, 9.4, -0.1, 17.9, None,2022-05-22 03:00:00, None,21
None, 9.3, 9.3, 9.2, -0.1, 17.9, None,2022-05-22 04:00:00, None,21
None, 9.0, 9.0, 8.7, 0.0, 17.9, None,2022-05-22 05:00:00, None,21
None, 8.5, 8.48, 8.4, 0.0, 17.9, None,2022-05-22 06:00:00, None,21
None, 8.7, 8.72, 8.4, 0.1, 8.9, None,2022-05-22 07:00:00, None,21
None, 8.7, 8.72, 8.4, 0.1, 8.9, None,2022-05-22 08:00:00, None,21
None, 13.3, 13.25, 8.4, 1.1, 13.3, None,2022-05-22 09:00:00, None,21
None, 13.1, 13.08, 13.1, -0.3, 19.2, None,2022-05-22 22:00:00, None,21
None, 12.6, 12.64, 12.7, 0.0, 19.2, None,2022-05-22 23:00:00, None,21
None, 12.4, 12.43, 12.4, 0.0, 19.2, None,2022-05-23 00:00:00, None,21
None, 12.4, 12.42, 12.2, 0.0, 19.2, None,2022-05-23 01:00:00, None,21
None, 12.0, 12.02, 12.1, 0.0, 19.2, None,2022-05-23 02:00:00, None,21
None, 12.4, 12.41, 12.0, 0.1, 19.2, None,2022-05-23 03:00:00, None,21
None, 11.7, 11.68, 11.4, -0.2, 19.2, None,2022-05-23 04:00:00, None,21
None, 11.4, 11.36, 11.3, 0.0, 19.2, None,2022-05-23 05:00:00, None,21
None, 11.4, 11.41, 11.3, 0.1, 19.2, None,2022-05-23 06:00:00, None,21
None, 12.1, 12.08, 11.4, 0.1, 12.1, None,2022-05-23 07:00:00, None,21
None, 13.3, 13.33, 11.4, 0.4, 13.3, None,2022-05-23 08:00:00, None,21
None, 13.5, 13.52, 11.4, 0.4, 13.9, None,2022-05-23 09:00:00, None,21
None, 15.0, 14.97, 14.9, -0.2, 17.3, None,2022-05-23 20:00:00, None,21
None, 13.1, 13.12, 13.2, -0.4, 17.3, None,2022-05-23 21:00:00, None,21
