station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, snwfl_amt_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, None, -1.005, None, None, None, -6999.0, -3.0, -6999.0, -6999.0, -1.0, -1.4, 1.0, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 00:00:00, 10.0, 10.04, -6999.0
None, None, -1.071, None, None, None, -6999.0, 2.0, -6999.0, -6999.0, -1.1, -1.4, 1.0, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 01:00:00, 12.0, 12.07, -6999.0
None, None, -0.93, None, None, None, -6999.0, 4.0, -6999.0, -6999.0, -0.9, -1.4, 1.9, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 02:00:00, 16.0, 16.04, -6999.0
None, None, -0.75, None, None, None, -6999.0, 5.0, -6999.0, -6999.0, -0.8, -1.4, 1.7, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 03:00:00, 21.0, 20.85, -6999.0
None, None, -0.618, None, None, None, -6999.0, 0.0, -6999.0, -6999.0, -0.6, -1.4, 1.8, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 04:00:00, 21.0, 20.59, -6999.0
None, None, -0.608, None, None, None, -6999.0, 4.0, -6999.0, -6999.0, -0.6, -1.4, 1.9, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 05:00:00, 25.0, 25.0, -6999.0
None, None, -0.457, None, None, None, -6999.0, 0.0, -6999.0, -6999.0, -0.5, -1.4, 2.1, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 06:00:00, 25.0, 24.72, -6999.0
None, None, -0.344, None, None, None, -6999.0, 2.0, -6999.0, -6999.0, -0.3, -0.5, 1.3, None, -6999.0, -0.3, -6999.0, None, 2021-01-01 07:00:00, 26.0, 26.31, -6999.0
None, None, -0.221, None, None, None, -6999.0, 3.0, -6999.0, -6999.0, -0.2, -0.5, 1.4, None, -6999.0, -0.2, -6999.0, None, 2021-01-01 08:00:00, 29.0, 29.17, -6999.0
None, None, -0.145, None, None, None, -6999.0, 3.0, -6999.0, -6999.0, -0.1, -0.5, 0.9, None, -6999.0, -0.1, -6999.0, None, 2021-01-01 09:00:00, 32.0, 31.76, -6999.0
None, None, -0.061, None, None, None, -6999.0, 1.0, -6999.0, -6999.0, -0.1, -0.5, 0.6, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 10:00:00, 33.0, 32.83, -6999.0
None, None, 0.006, None, None, None, -6999.0, 1.0, -6999.0, -6999.0, 0.0, -0.5, 0.3, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 11:00:00, 33.0, 33.35, -6999.0
None, None, 0.044, None, None, None, -6999.0, 1.0, -6999.0, -6999.0, 0.0, -0.5, 0.5, None, -6999.0, 0.0, -6999.0, None, 2021-01-01 12:00:00, 34.0, 34.12, -6999.0
