station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
48.38, None, None, 0.1, 0.0, 113.7, -14.0, -6.9, -14.0, 114.0, None, None, -6999.0, None, None, None, None, -6.179, None, -5.9, 48.0, None, 18.45, 0.0, -6.2, 0.2, -6999.0, 2021-01-01 00:00:00, -6999.0
49.63, None, None, 0.1, 0.0, 143.1, -14.0, -6.9, -14.0, 143.0, None, None, -6999.0, None, None, None, None, -5.816, None, -5.8, 50.0, None, 22.83, 0.0, -5.8, -0.1, -6999.0, 2021-01-01 01:00:00, -6999.0
49.41, None, None, 0.1, 0.0, 111.1, -14.0, -6.9, -14.0, 111.0, None, None, -6999.0, None, None, None, None, -5.916, None, -5.8, 49.0, None, 19.2, 0.0, -5.9, 0.1, -6999.0, 2021-01-01 02:00:00, -6999.0
50.64, None, None, 0.1, 0.0, 122.1, -13.0, -6.9, -13.0, 122.0, None, None, -6999.0, None, None, None, None, -5.372, None, -5.4, 51.0, None, 16.18, 0.0, -5.4, -0.1, -6999.0, 2021-01-01 03:00:00, -6999.0
50.44, None, None, 0.1, 0.0, 112.3, -13.0, -6.9, -13.0, 112.0, None, None, -6999.0, None, None, None, None, -5.352, None, -5.3, 50.0, None, 13.64, 0.0, -5.4, 0.4, -6999.0, 2021-01-01 04:00:00, -6999.0
50.85, None, None, 0.1, 0.0, 127.9, -13.0, -6.9, -13.0, 128.0, None, None, -6999.0, None, None, None, None, -5.119, None, -5.1, 51.0, None, 15.31, 0.0, -5.1, 0.3, -6999.0, 2021-01-01 05:00:00, -6999.0
51.1, None, None, 0.1, 0.0, 142.9, -12.0, -6.9, -12.0, 143.0, None, None, -6999.0, None, None, None, None, -4.829, None, -4.8, 51.0, None, 24.77, 0.0, -4.8, 0.0, -6999.0, 2021-01-01 06:00:00, -6999.0
51.03, None, None, 0.1, 0.0, 106.4, -12.0, -4.9, -12.0, 106.0, None, None, -6999.0, None, None, None, None, -4.752, None, -4.7, 51.0, None, 23.65, 0.0, -4.8, 0.0, -6999.0, 2021-01-01 07:00:00, -6999.0
50.62, None, None, 0.1, 0.0, 130.5, -13.0, -5.0, -13.0, 131.0, None, None, -6999.0, None, None, None, None, -4.965, None, -4.7, 51.0, None, 15.84, 0.0, -5.0, 0.3, -6999.0, 2021-01-01 08:00:00, -6999.0
50.66, None, None, 0.1, 0.0, 133.8, -13.0, -5.0, -13.0, 134.0, None, None, -6999.0, None, None, None, None, -4.906, None, -4.7, 51.0, None, 15.39, 0.0, -4.9, 0.7, -6999.0, 2021-01-01 09:00:00, -6999.0
50.72, None, None, 0.1, 0.0, 138.8, -13.0, -5.0, -13.0, 139.0, None, None, -6999.0, None, None, None, None, -4.812, None, -4.7, 51.0, None, 17.18, 0.0, -4.8, 1.8, -6999.0, 2021-01-01 10:00:00, -6999.0
51.06, None, None, 0.1, 0.0, 125.8, -12.0, -5.0, -12.0, 126.0, None, None, -6999.0, None, None, None, None, -4.502, None, -4.4, 51.0, None, 15.89, 0.0, -4.5, 0.8, -6999.0, 2021-01-01 11:00:00, -6999.0
50.79, None, None, 0.1, 0.0, 113.0, -12.0, -5.0, -12.0, 113.0, None, None, -6999.0, None, None, None, None, -4.47, None, -4.4, 51.0, None, 17.74, 0.0, -4.5, 0.2, -6999.0, 2021-01-01 12:00:00, -6999.0
49.83, None, None, 0.1, 0.0, 142.8, -13.0, -5.0, -13.0, 143.0, None, None, -6999.0, None, None, None, None, -4.916, None, -4.3, 50.0, None, 19.01, 0.0, -4.9, 0.1, -6999.0, 2021-01-01 13:00:00, -6999.0
49.47, None, None, 0.1, 0.0, 107.7, -13.0, -5.1, -13.0, 108.0, None, None, -6999.0, None, None, None, None, -4.983, None, -4.3, 49.0, None, 22.94, 0.0, -5.0, 0.2, -6999.0, 2021-01-01 14:00:00, -6999.0
50.5, None, None, 0.1, 0.0, 140.7, -12.0, -5.1, -12.0, 141.0, None, None, -6999.0, None, None, None, None, -4.395, None, -4.3, 51.0, None, 18.65, 0.0, -4.4, -0.1, -6999.0, 2021-01-01 15:00:00, -6999.0
51.11, None, None, 0.1, 0.0, 123.8, -11.0, -5.1, -11.0, 124.0, None, None, -6999.0, None, None, None, None, -3.741, None, -3.7, 51.0, None, 15.12, 0.0, -3.7, -0.3, -6999.0, 2021-01-01 16:00:00, -6999.0
51.15, None, None, 0.1, 0.0, 148.1, -11.0, -5.1, -11.0, 148.0, None, None, -6999.0, None, None, None, None, -3.598, None, -3.6, 51.0, None, 20.7, 0.0, -3.6, 0.2, -6999.0, 2021-01-01 17:00:00, -6999.0
51.29, None, None, 0.1, 0.0, 132.3, -11.0, -5.1, -11.0, 132.0, None, None, -6999.0, None, None, None, None, -3.637, None, -3.6, 51.0, None, 17.34, 0.0, -3.6, 0.7, -6999.0, 2021-01-01 18:00:00, -6999.0
51.22, None, None, 0.1, 0.0, 146.1, -11.0, -3.6, -11.0, 146.0, None, None, -6999.0, None, None, None, None, -3.13, None, -3.1, 51.0, None, 22.5, 0.0, -3.1, 0.8, -6999.0, 2021-01-01 19:00:00, -6999.0
51.19, None, None, 0.1, 0.0, 144.5, -11.0, -3.6, -11.0, 145.0, None, None, -6999.0, None, None, None, None, -3.034, None, -3.0, 51.0, None, 20.44, 0.0, -3.0, 0.8, -6999.0, 2021-01-01 20:00:00, -6999.0
51.21, None, None, 0.1, 0.0, 128.3, -11.0, -3.6, -11.0, 128.0, None, None, -6999.0, None, None, None, None, -3.103, None, -3.0, 51.0, None, 20.78, 0.0, -3.1, 0.5, -6999.0, 2021-01-01 21:00:00, -6999.0
51.27, None, None, 0.1, 0.0, 121.7, -11.0, -3.6, -11.0, 122.0, None, None, -6999.0, None, None, None, None, -3.301, None, -3.0, 51.0, None, 38.98, 0.0, -3.3, 2.0, -6999.0, 2021-01-01 22:00:00, -6999.0
51.34, None, None, 0.1, 0.0, 138.9, -11.0, -3.6, -11.0, 139.0, None, None, -6999.0, None, None, None, None, -3.577, None, -3.0, 51.0, None, 35.22, 0.0, -3.6, 1.4, -6999.0, 2021-01-01 23:00:00, -6999.0
51.3, None, None, 0.1, 0.0, 284.9, -12.0, -4.1, -12.0, 285.0, None, None, -6999.0, None, None, None, None, -4.049, None, -3.0, 51.0, None, 48.51, 0.0, -4.0, 0.4, -6999.0, 2021-01-02 00:00:00, -6999.0
51.37, None, None, 0.1, 0.0, 15.36, -12.0, -4.1, -12.0, 15.0, None, None, -6999.0, None, None, None, None, -4.039, None, -3.0, 51.0, None, 58.3, 0.0, -4.0, 0.1, -6999.0, 2021-01-02 01:00:00, -6999.0
51.4, None, None, 0.1, 0.0, 41.11, -11.0, -4.1, -11.0, 41.0, None, None, -6999.0, None, None, None, None, -3.838, None, -3.0, 51.0, None, 43.58, 0.0, -3.8, 0.2, -6999.0, 2021-01-02 02:00:00, -6999.0
51.4, None, None, 0.1, 0.0, 331.4, -11.0, -4.1, -11.0, 331.0, None, None, -6999.0, None, None, None, None, -3.799, None, -3.0, 51.0, None, 60.04, 0.0, -3.8, 0.4, -6999.0, 2021-01-02 03:00:00, -6999.0
51.36, None, None, 0.1, 0.0, 98.2, -11.0, -4.1, -11.0, 98.0, None, None, -6999.0, None, None, None, None, -3.598, None, -3.0, 51.0, None, 18.79, 0.0, -3.6, 0.4, -6999.0, 2021-01-02 04:00:00, -6999.0
51.3, None, None, 0.1, 0.0, 81.3, -11.0, -4.1, -11.0, 81.0, None, None, -6999.0, None, None, None, None, -3.445, None, -3.0, 51.0, None, 31.96, 0.0, -3.4, 0.6, -6999.0, 2021-01-02 05:00:00, -6999.0
51.15, None, None, 0.1, 0.0, 103.2, -11.0, -4.1, -11.0, 103.0, None, None, -6999.0, None, None, None, None, -3.177, None, -3.0, 51.0, None, 23.82, 0.0, -3.2, 0.6, -6999.0, 2021-01-02 06:00:00, -6999.0
51.25, None, None, 0.1, 0.0, 90.2, -11.0, -3.4, -11.0, 90.0, None, None, -6999.0, None, None, None, None, -3.378, None, -3.1, 51.0, None, 36.52, 0.0, -3.4, 1.0, -6999.0, 2021-01-02 07:00:00, -6999.0
51.2, None, None, 0.1, 0.0, 119.9, -11.0, -3.4, -11.0, 120.0, None, None, -6999.0, None, None, None, None, -3.301, None, -3.1, 51.0, None, 24.0, 0.0, -3.3, 0.4, -6999.0, 2021-01-02 08:00:00, -6999.0
51.12, None, None, 0.1, 0.0, 123.5, -11.0, -3.4, -11.0, 124.0, None, None, -6999.0, None, None, None, None, -3.168, None, -3.1, 51.0, None, 18.97, 0.0, -3.2, 1.2, -6999.0, 2021-01-02 09:00:00, -6999.0
51.11, None, None, 0.1, 0.0, 114.6, -11.0, -3.4, -11.0, 115.0, None, None, -6999.0, None, None, None, None, -3.129, None, -3.1, 51.0, None, 23.08, 0.0, -3.1, 0.7, -6999.0, 2021-01-02 10:00:00, -6999.0
51.11, None, None, 0.1, 0.0, 77.3, -11.0, -3.4, -11.0, 77.0, None, None, -6999.0, None, None, None, None, -3.053, None, -3.0, 51.0, None, 45.47, 0.0, -3.1, 0.6, -6999.0, 2021-01-02 11:00:00, -6999.0
51.15, None, None, 0.1, 0.0, 129.7, -11.0, -3.4, -11.0, 130.0, None, None, -6999.0, None, None, None, None, -3.043, None, -2.9, 51.0, None, 28.05, 0.0, -3.0, 0.6, -6999.0, 2021-01-02 12:00:00, -6999.0
