station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
None, -6.484, 22.4, None, None, None, 0.4, 3.074, 0.005, 84.2, -23.0, 0.0, -6.5, -6.8, 0.0, -23.0, None, 84.0, -6.3, None, None, 22.0, None, 2021-01-01 00:00:00, -6999.0, None, -6999.0, -6999.0
None, -6.715, 22.46, None, None, None, 4.5, 13.76, 0.154, 94.3, -23.0, 0.2, -6.7, -6.8, 0.0, -23.0, None, 94.0, -6.3, None, None, 22.0, None, 2021-01-01 01:00:00, -6999.0, None, -6999.0, -6999.0
None, -6.804, 22.49, None, None, None, 3.5, 6.323, 0.107, 84.6, -23.0, 0.1, -6.8, -7.1, 0.0, -23.0, None, 85.0, -6.3, None, None, 22.0, None, 2021-01-01 02:00:00, -6999.0, None, -6999.0, -6999.0
None, -5.927, 22.23, None, None, None, 8.3, 12.15, 0.689, 86.5, -22.0, 0.7, -5.9, -7.1, 0.0, -22.0, None, 87.0, -5.9, None, None, 22.0, None, 2021-01-01 03:00:00, -6999.0, None, -6999.0, -6999.0
None, -5.477, 22.09, None, None, None, 7.8, 11.1, 0.655, 81.9, -22.0, 0.7, -5.5, -7.1, 0.0, -22.0, None, 82.0, -5.5, None, None, 22.0, None, 2021-01-01 04:00:00, -6999.0, None, -6999.0, -6999.0
None, -5.286, 22.04, None, None, None, 16.1, 19.56, 1.743, 80.4, -22.0, 1.7, -5.3, -7.1, 0.0, -22.0, None, 80.0, -5.3, None, None, 22.0, None, 2021-01-01 05:00:00, -6999.0, None, -6999.0, -6999.0
None, -4.753, 21.88, None, None, None, 26.5, 26.61, 4.069, 88.5, -21.0, 4.1, -4.8, -7.1, 0.0, -21.0, None, 89.0, -4.8, None, None, 22.0, None, 2021-01-01 06:00:00, -6999.0, None, -6999.0, -6999.0
None, -4.402, 21.77, None, None, None, 27.7, 29.7, 9.96, 90.2, -21.0, 10.0, -4.4, -4.8, 0.0, -21.0, None, 90.0, -4.4, None, None, 22.0, None, 2021-01-01 07:00:00, -6999.0, None, -6999.0, -6999.0
None, -4.268, 21.73, None, None, None, 31.4, 30.31, 10.46, 86.0, -21.0, 10.5, -4.3, -4.8, 0.0, -21.0, None, 86.0, -4.2, None, None, 22.0, None, 2021-01-01 08:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.852, 21.61, None, None, None, 29.8, 31.75, 12.81, 88.5, -21.0, 12.8, -3.9, -4.8, 0.0, -21.0, None, 89.0, -3.9, None, None, 22.0, None, 2021-01-01 09:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.888, 21.62, None, None, None, 36.7, 30.82, 13.93, 90.0, -21.0, 13.9, -3.9, -4.8, 0.0, -21.0, None, 90.0, -3.6, None, None, 22.0, None, 2021-01-01 10:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.417, 21.48, None, None, None, 32.5, 31.25, 11.66, 95.2, -20.0, 11.7, -3.4, -4.8, 0.0, -20.0, None, 95.0, -3.4, None, None, 21.0, None, 2021-01-01 11:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.614, 21.53, None, None, None, 30.9, 31.48, 11.71, 98.3, -21.0, 11.7, -3.6, -4.8, 0.0, -21.0, None, 98.0, -3.4, None, None, 22.0, None, 2021-01-01 12:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.284, 21.44, None, None, None, 34.4, 32.3, 15.19, 94.5, -20.0, 15.2, -3.3, -4.8, 0.0, -20.0, None, 95.0, -3.3, None, None, 21.0, None, 2021-01-01 13:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.142, 21.27, None, None, None, 30.4, 27.78, 13.55, 91.1, -20.0, 13.6, -3.1, -4.8, 0.0, -20.0, None, 91.0, -3.1, None, None, 21.0, None, 2021-01-01 14:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.199, 21.41, None, None, None, 32.0, 29.48, 11.79, 98.7, -20.0, 11.8, -3.2, -4.8, 0.0, -20.0, None, 99.0, -3.1, None, None, 21.0, None, 2021-01-01 15:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.199, 21.41, None, None, None, 31.1, 32.29, 11.93, 94.1, -20.0, 11.9, -3.2, -4.8, 0.0, -20.0, None, 94.0, -3.1, None, None, 21.0, None, 2021-01-01 16:00:00, -6999.0, None, -6999.0, -6999.0
None, -3.321, 21.45, None, None, None, 35.4, 31.57, 12.55, 101.1, -20.0, 12.6, -3.3, -4.8, 0.0, -20.0, None, 101.0, -3.1, None, None, 21.0, None, 2021-01-01 17:00:00, -6999.0, None, -6999.0, -6999.0
None, -2.747, 21.27, None, None, None, 31.9, 30.3, 14.4, 97.3, -20.0, 14.4, -2.7, -4.8, 0.0, -20.0, None, 97.0, -2.7, None, None, 21.0, None, 2021-01-01 18:00:00, -6999.0, None, -6999.0, -6999.0
None, -2.306, 21.14, None, None, None, 39.7, 28.18, 15.92, 96.8, -20.0, 15.9, -2.3, -2.7, 0.0, -20.0, None, 97.0, -2.2, None, None, 21.0, None, 2021-01-01 19:00:00, -6999.0, None, -6999.0, -6999.0
None, -2.175, 21.1, None, None, None, 39.5, 31.03, 17.67, 94.1, -20.0, 17.7, -2.2, -2.7, 0.0, -20.0, None, 94.0, -2.2, None, None, 21.0, None, 2021-01-01 20:00:00, -6999.0, None, -6999.0, -6999.0
None, -1.969, 21.04, None, None, None, 42.6, 30.27, 19.99, 93.2, -19.0, 20.0, -2.0, -2.7, 0.0, -19.0, None, 93.0, -1.9, None, None, 21.0, None, 2021-01-01 21:00:00, -6999.0, None, -6999.0, -6999.0
None, -2.099, 21.08, None, None, None, 48.2, 30.13, 24.28, 101.4, -19.0, 24.3, -2.1, -2.7, 0.0, -19.0, None, 101.0, -1.9, None, None, 21.0, None, 2021-01-01 22:00:00, -6999.0, None, -6999.0, -6999.0
