station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
95.4, None, None, 0.0, 0.0, 178.9, -5.0, -5.1, None, None, 179.0, None, 121.0, None, 120.6, 6.3, None, -4.758, None, -4.6, 95.0, 44.23, 0.0, -4.8, None, 0.0, 0.0, 2021-01-01 00:00:00, None
94.7, None, None, 0.0, 0.0, 154.7, -6.0, -5.1, None, None, 155.0, None, 121.0, None, 120.6, 6.1, None, -4.923, None, -4.5, 95.0, 49.73, 0.0, -4.9, None, 0.0, 0.0, 2021-01-01 01:00:00, None
95.0, None, None, 0.0, 0.0, 167.7, -5.0, -5.1, None, None, 168.0, None, 121.0, None, 120.6, 5.6, None, -4.586, None, -4.5, 95.0, 48.64, 0.0, -4.6, None, 0.1, 0.0, 2021-01-01 02:00:00, None
95.1, None, None, 0.0, 0.0, 125.0, -5.0, -5.1, None, None, 125.0, None, 120.0, None, 120.3, 4.9, None, -4.124, None, -4.1, 95.0, 26.23, 0.0, -4.1, None, 0.2, 0.0, 2021-01-01 03:00:00, None
95.8, None, None, 0.0, 0.0, 100.9, -4.0, -5.1, None, None, 101.0, None, 121.0, None, 120.7, 4.3, None, -3.533, None, -3.5, 96.0, 26.11, 0.0, -3.5, None, 0.3, 1.0, 2021-01-01 04:00:00, None
94.5, None, None, 0.0, 0.0, 124.8, -4.0, -5.1, None, None, 125.0, None, 121.0, None, 120.7, 3.9, None, -3.603, None, -3.4, 95.0, 31.45, 0.0, -3.6, None, 0.4, 0.0, 2021-01-01 05:00:00, None
94.5, None, None, 0.0, 0.0, 138.1, -5.0, -5.1, None, None, 138.0, None, 121.0, None, 120.9, 3.4, None, -3.908, None, -3.4, 95.0, 52.02, 0.0, -3.9, None, 0.6, 0.0, 2021-01-01 06:00:00, None
94.5, None, None, 0.0, 0.0, 123.9, -5.0, -3.9, None, None, 124.0, None, 122.0, None, 121.5, 3.2, None, -3.899, None, -3.8, 95.0, 38.07, 0.0, -3.9, None, 0.8, 1.0, 2021-01-01 07:00:00, None
94.0, None, None, 0.0, 0.0, 166.3, -4.0, -3.9, None, None, 166.0, None, 122.0, None, 122.1, 3.4, None, -3.707, None, -3.7, 94.0, 30.58, 0.0, -3.7, None, 0.9, 1.0, 2021-01-01 08:00:00, None
94.6, None, None, 0.0, 0.0, 170.0, -4.0, -3.9, None, None, 170.0, None, 122.0, None, 122.2, 4.1, None, -3.288, None, -3.3, 95.0, 34.18, 0.0, -3.3, None, 0.9, 0.0, 2021-01-01 09:00:00, None
93.8, None, None, 0.0, 0.0, 125.1, -3.0, -3.9, None, None, 125.0, None, 124.0, None, 123.7, 5.4, None, -2.416, None, -2.4, 94.0, 22.35, 0.0, -2.4, None, 1.3, 2.0, 2021-01-01 10:00:00, None
94.3, None, None, 0.0, 0.0, 110.5, -3.0, -3.9, None, None, 111.0, None, 124.0, None, 124.0, 6.3, None, -1.91, None, -1.9, 94.0, 31.03, 0.0, -1.9, None, 0.9, 1.0, 2021-01-01 11:00:00, None
