station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -2.549, 100.0, None, None, None, 22.7, 30.2, None, 10.39, 179.5, -3.0, 10.4, -2.5, -2.8, None, None, None, 180.0, -2.3, None, None, 100.0, None, 2021-01-01 00:00:00, None, None
None, -2.529, 100.0, None, None, None, 21.4, 21.79, None, 11.09, 198.3, -3.0, 11.1, -2.5, -2.8, None, None, None, 198.0, -2.3, None, None, 100.0, None, 2021-01-01 01:00:00, None, None
None, -2.83, 99.9, None, None, None, 17.7, 26.27, None, 6.296, 187.5, -3.0, 6.3, -2.8, -2.9, None, None, None, 188.0, -2.3, None, None, 100.0, None, 2021-01-01 02:00:00, None, None
None, -2.869, 99.9, None, None, None, 10.9, 32.47, None, 4.412, 167.2, -3.0, 4.4, -2.9, -3.0, None, None, None, 167.0, -2.3, None, None, 100.0, None, 2021-01-01 03:00:00, None, None
None, -2.755, 100.0, None, None, None, 7.4, 23.4, None, 3.592, 157.6, -3.0, 3.6, -2.8, -3.0, None, None, None, 158.0, -2.3, None, None, 100.0, None, 2021-01-01 04:00:00, None, None
None, -2.707, 100.0, None, None, None, 7.8, 19.92, None, 5.358, 152.0, -3.0, 5.4, -2.7, -3.0, None, None, None, 152.0, -2.3, None, None, 100.0, None, 2021-01-01 05:00:00, None, None
None, -2.62, 99.9, None, None, None, 8.2, 20.75, None, 5.62, 161.4, -2.0, 5.6, -2.6, -3.0, None, None, None, 161.0, -2.3, None, None, 100.0, None, 2021-01-01 06:00:00, None, None
None, -2.173, 99.9, None, None, None, 10.1, 14.89, None, 7.485, 162.3, -2.0, 7.5, -2.2, -2.7, None, None, None, 162.0, -2.1, None, None, 100.0, None, 2021-01-01 07:00:00, None, None
None, -1.679, 99.9, None, None, None, 11.6, 16.63, None, 8.68, 162.8, -2.0, 8.7, -1.7, -2.7, None, None, None, 163.0, -1.7, None, None, 100.0, None, 2021-01-01 08:00:00, None, None
None, -1.225, 100.0, None, None, None, 13.7, 20.94, None, 9.77, 165.6, -1.0, 9.8, -1.2, -2.7, None, None, None, 166.0, -1.2, None, None, 100.0, None, 2021-01-01 09:00:00, None, None
