station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -6.624, -5.7, -6999.0, -6999.0, -6999.0, -6999.0, -6.6, -6.8, -0.1, -6999.0, 0.0, 2021-01-01 00:00:00, 33.0, 32.6, -6999.0
None, -6.456, -5.7, -6999.0, -6999.0, -6999.0, -6999.0, -6.5, -6.8, 0.0, -6999.0, 0.0, 2021-01-01 01:00:00, 33.0, 32.64, -6999.0
None, -6.183, -5.7, -6999.0, -6999.0, -6999.0, -6999.0, -6.2, -6.8, 0.0, -6999.0, 0.0, 2021-01-01 02:00:00, 33.0, 32.59, -6999.0
None, -6.769, -5.7, -6999.0, -6999.0, -6999.0, -6999.0, -6.8, -7.0, 0.0, -6999.0, 0.0, 2021-01-01 03:00:00, 33.0, 32.57, -6999.0
None, -6.416, -5.7, -6999.0, -6999.0, -6999.0, -6999.0, -6.4, -7.0, 0.0, -6999.0, 0.0, 2021-01-01 04:00:00, 32.0, 32.49, -6999.0
None, -5.755, -5.7, -6999.0, -6999.0, -6999.0, -6999.0, -5.8, -7.0, 0.0, -6999.0, 0.0, 2021-01-01 05:00:00, 33.0, 32.61, -6999.0
None, -5.639, -5.5, -6999.0, -6999.0, -6999.0, -6999.0, -5.6, -7.0, 0.0, -6999.0, 0.0, 2021-01-01 06:00:00, 33.0, 32.54, -6999.0
None, -5.205, -5.2, -6999.0, -6999.0, -6999.0, -6999.0, -5.2, -5.7, 0.1, -6999.0, 0.0, 2021-01-01 07:00:00, 33.0, 32.54, -6999.0
None, -4.868, -4.8, -6999.0, -6999.0, -6999.0, -6999.0, -4.9, -5.7, 0.0, -6999.0, 0.0, 2021-01-01 08:00:00, 32.0, 32.44, -6999.0
None, -4.29, -4.3, -6999.0, -6999.0, -6999.0, -6999.0, -4.3, -5.7, 0.0, -6999.0, 0.0, 2021-01-01 09:00:00, 32.0, 32.4, -6999.0
None, -3.696, -3.4, -6999.0, -6999.0, -6999.0, -6999.0, -3.7, -5.7, 0.0, -6999.0, 0.0, 2021-01-01 10:00:00, 32.0, 32.44, -6999.0
None, -3.295, -3.0, -6999.0, -6999.0, -6999.0, -6999.0, -3.3, -5.7, 0.2, -6999.0, 0.0, 2021-01-01 11:00:00, 32.0, 32.28, -6999.0
None, -3.228, -3.0, -6999.0, -6999.0, -6999.0, -6999.0, -3.2, -5.7, 0.1, -6999.0, 0.0, 2021-01-01 12:00:00, 32.0, 31.92, -6999.0
None, -2.932, -2.9, -6999.0, -6999.0, -6999.0, -6999.0, -2.9, -5.7, 0.0, -6999.0, 0.0, 2021-01-01 13:00:00, 32.0, 31.96, -6999.0
None, -2.59, -2.6, -6999.0, -6999.0, -6999.0, -6999.0, -2.6, -5.7, 0.1, -6999.0, 0.0, 2021-01-01 14:00:00, 32.0, 31.75, -6999.0
None, -2.637, -2.2, -6999.0, -6999.0, -6999.0, -6999.0, -2.6, -5.7, 0.1, -6999.0, 0.0, 2021-01-01 15:00:00, 31.0, 31.32, -6999.0
None, -2.923, -2.2, -6999.0, -6999.0, -6999.0, -6999.0, -2.9, -5.7, 0.2, -6999.0, 1.0, 2021-01-01 16:00:00, 32.0, 32.4, -6999.0
None, -2.876, -2.2, -6999.0, -6999.0, -6999.0, -6999.0, -2.9, -5.7, 0.0, -6999.0, 0.0, 2021-01-01 17:00:00, 33.0, 32.61, -6999.0
None, -2.494, -2.2, -6999.0, -6999.0, -6999.0, -6999.0, -2.5, -5.7, 0.0, -6999.0, 0.0, 2021-01-01 18:00:00, 32.0, 32.14, -6999.0
None, -1.772, -1.7, -6999.0, -6999.0, -6999.0, -6999.0, -1.8, -2.6, 0.1, -6999.0, 0.0, 2021-01-01 19:00:00, 32.0, 32.42, -6999.0
None, -1.079, -0.7, -6999.0, -6999.0, -6999.0, -6999.0, -1.1, -2.6, 0.0, -6999.0, 1.0, 2021-01-01 20:00:00, 33.0, 32.95, -6999.0
None, 0.75, 0.9, -6999.0, -6999.0, -6999.0, -6999.0, 0.8, -2.6, -0.9, -6999.0, -2.0, 2021-01-01 21:00:00, 31.0, 31.19, -6999.0
None, -0.131, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, -0.1, -2.6, 1.3, -6999.0, 0.0, 2021-01-01 22:00:00, 31.0, 30.69, -6999.0
None, 0.029, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, 0.0, -2.6, -0.2, -6999.0, 0.0, 2021-01-01 23:00:00, 30.0, 30.38, -6999.0
None, -0.208, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, -0.2, -2.6, 0.0, -6999.0, 0.0, 2021-01-02 00:00:00, 30.0, 30.41, -6999.0
None, -0.198, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, -0.2, -2.6, 0.2, -6999.0, 0.0, 2021-01-02 01:00:00, 30.0, 30.44, -6999.0
None, -0.615, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, -0.6, -2.6, 0.0, -6999.0, 0.0, 2021-01-02 02:00:00, 30.0, 30.42, -6999.0
None, -0.7, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, -0.7, -2.6, 0.0, -6999.0, 0.0, 2021-01-02 03:00:00, 31.0, 30.65, -6999.0
None, -0.596, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, -0.6, -2.6, 0.1, -6999.0, 0.0, 2021-01-02 04:00:00, 31.0, 30.69, -6999.0
None, -1.098, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, -1.1, -2.6, -0.1, -6999.0, 0.0, 2021-01-02 05:00:00, 31.0, 30.72, -6999.0
None, -0.918, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, -0.9, -2.6, 0.0, -6999.0, 0.0, 2021-01-02 06:00:00, 31.0, 30.76, -6999.0
None, 0.485, 1.1, -6999.0, -6999.0, -6999.0, -6999.0, 0.5, -0.9, -0.3, -6999.0, 0.0, 2021-01-02 07:00:00, 31.0, 31.09, -6999.0
None, 0.598, 1.2, -6999.0, -6999.0, -6999.0, -6999.0, 0.6, -0.9, 0.2, -6999.0, 0.0, 2021-01-02 08:00:00, 31.0, 31.38, -6999.0
None, 0.957, 1.3, -6999.0, -6999.0, -6999.0, -6999.0, 1.0, -0.9, -0.3, -6999.0, 0.0, 2021-01-02 09:00:00, 32.0, 31.63, -6999.0
None, 0.946, 1.3, -6999.0, -6999.0, -6999.0, -6999.0, 0.9, -0.9, -0.5, -6999.0, 0.0, 2021-01-02 10:00:00, 32.0, 32.08, -6999.0
None, 0.993, 1.5, -6999.0, -6999.0, -6999.0, -6999.0, 1.0, -0.9, -0.2, -6999.0, -1.0, 2021-01-02 11:00:00, 32.0, 31.5, -6999.0
None, 1.409, 1.8, -6999.0, -6999.0, -6999.0, -6999.0, 1.4, -0.9, -0.6, -6999.0, 0.0, 2021-01-02 12:00:00, 31.0, 31.22, -6999.0
None, 1.881, 2.0, -6999.0, -6999.0, -6999.0, -6999.0, 1.9, -0.9, 0.0, -6999.0, -1.0, 2021-01-02 13:00:00, 31.0, 30.51, -6999.0
None, 1.141, 2.2, -6999.0, -6999.0, -6999.0, -6999.0, 1.1, -0.9, 0.4, -6999.0, 0.0, 2021-01-02 14:00:00, 30.0, 30.37, -6999.0
