station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, PRECIP_DETECTOR_RATIO, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, time, stn_pres
None, None, None, 20.4, 11.5, 268.1, -6999.0, -3.2, None, None, 268.0, None, None, 100.0, None, 100.4, None, -2.456, None, -1.0, None, None, 21.42, 11.5, -2.5, 0.0, -1.0, -6999.0, 2021-01-01 00:00:00, -6999.0
None, None, None, 27.1, 14.2, 267.5, -6999.0, -3.2, None, None, 268.0, None, None, 104.0, None, 104.1, None, -2.617, None, -1.0, None, None, 18.06, 14.2, -2.6, 0.0, 4.0, -6999.0, 2021-01-01 01:00:00, -6999.0
None, None, None, 26.7, 14.92, 263.3, -6999.0, -3.2, None, None, 263.0, None, None, 103.0, None, 102.5, None, -2.607, None, -1.0, None, None, 14.51, 14.9, -2.6, 0.0, -2.0, -6999.0, 2021-01-01 02:00:00, -6999.0
None, None, None, 24.6, 14.02, 262.3, -6999.0, -3.2, None, None, 262.0, None, None, 107.0, None, 107.1, None, -2.219, None, -1.0, None, None, 14.67, 14.0, -2.2, 0.0, 5.0, -6999.0, 2021-01-01 03:00:00, -6999.0
None, None, None, 27.2, 12.61, 272.1, -6999.0, -3.2, None, None, 272.0, None, None, 108.0, None, 107.9, None, -2.096, None, -1.0, None, None, 18.12, 12.6, -2.1, 0.0, 1.0, -6999.0, 2021-01-01 04:00:00, -6999.0
None, None, None, 26.5, 12.7, 271.2, -6999.0, -3.2, None, None, 271.0, None, None, 110.0, None, 110.4, None, -2.002, None, -1.0, None, None, 18.57, 12.7, -2.0, 0.0, 3.0, -6999.0, 2021-01-01 05:00:00, -6999.0
None, None, None, 23.6, 10.97, 274.2, -6999.0, -3.2, None, None, 274.0, None, None, 110.0, None, 110.2, None, -2.002, None, -1.0, None, None, 20.37, 11.0, -2.0, 0.0, 0.0, -6999.0, 2021-01-01 06:00:00, -6999.0
None, None, None, 27.7, 12.14, 270.5, -6999.0, -2.4, None, None, 271.0, None, None, 110.0, None, 110.1, None, -2.049, None, -1.9, None, None, 18.97, 12.1, -2.0, 0.0, 0.0, -6999.0, 2021-01-01 07:00:00, -6999.0
None, None, None, 26.3, 10.85, 270.2, -6999.0, -2.4, None, None, 270.0, None, None, 111.0, None, 111.0, None, -2.039, None, -1.9, None, None, 20.49, 10.9, -2.0, 0.0, 1.0, -6999.0, 2021-01-01 08:00:00, -6999.0
None, None, None, 27.2, 12.69, 263.7, -6999.0, -2.4, None, None, 264.0, None, None, 114.0, None, 113.6, None, -2.305, None, -1.9, None, None, 14.59, 12.7, -2.3, 0.0, 3.0, -6999.0, 2021-01-01 09:00:00, -6999.0
