station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth
0.0, -4.93, 89.1, -3.5, 89.0, -6.0, -4.9, -5.1, -6.0, 0.0, 0.0, 2021-01-01 00:00:00, -6999.0
0.0, -4.698, 91.3, -3.5, 91.0, -6.0, -4.7, -5.1, -6.0, 0.0, 0.0, 2021-01-01 01:00:00, -6999.0
0.0, -4.828, 92.1, -3.5, 92.0, -6.0, -4.8, -5.1, -6.0, 0.0, 0.0, 2021-01-01 02:00:00, -6999.0
0.0, -4.67, 93.2, -3.5, 93.0, -5.0, -4.7, -5.1, -5.0, 0.0, 0.0, 2021-01-01 03:00:00, -6999.0
0.0, -4.638, 93.5, -3.5, 94.0, -6.0, -4.6, -5.1, -6.0, 0.0, 0.0, 2021-01-01 04:00:00, -6999.0
0.0, -4.359, 93.8, -3.5, 94.0, -5.0, -4.4, -5.1, -5.0, 0.0, 0.0, 2021-01-01 05:00:00, -6999.0
0.0, -4.111, 94.3, -3.5, 94.0, -5.0, -4.1, -5.1, -5.0, 0.0, 0.0, 2021-01-01 06:00:00, -6999.0
0.0, -4.237, 94.3, -4.1, 94.0, -5.0, -4.2, -4.3, -5.0, 0.0, 0.0, 2021-01-01 07:00:00, -6999.0
0.0, -3.953, 94.3, -3.9, 94.0, -5.0, -4.0, -4.3, -5.0, 0.0, 0.0, 2021-01-01 08:00:00, -6999.0
0.0, -3.426, 94.0, -3.2, 94.0, -4.0, -3.4, -4.3, -4.0, 0.0, 0.0, 2021-01-01 09:00:00, -6999.0
0.0, -2.482, 93.0, -2.3, 93.0, -3.0, -2.5, -4.3, -3.0, 0.1, 0.0, 2021-01-01 10:00:00, -6999.0
0.0, -0.777, 88.8, -0.7, 89.0, -2.0, -0.8, -4.3, -2.0, 0.0, 0.0, 2021-01-01 11:00:00, -6999.0
0.0, 0.322, 87.6, 0.3, 88.0, -2.0, 0.3, -4.3, -2.0, 0.0, 0.0, 2021-01-01 12:00:00, -6999.0
0.0, 1.503, 85.8, 1.7, 86.0, 0.0, 1.5, -4.3, 0.0, 0.0, 0.0, 2021-01-01 13:00:00, -6999.0
0.0, 1.137, 88.3, 1.7, 88.0, -1.0, 1.1, -4.3, -1.0, 0.0, 0.0, 2021-01-01 14:00:00, -6999.0
0.0, 0.322, 92.6, 1.7, 93.0, -1.0, 0.3, -4.3, -1.0, 0.1, 0.0, 2021-01-01 15:00:00, -6999.0
0.3, -0.135, 93.9, 1.7, 94.0, -1.0, -0.1, -4.3, -1.0, 0.3, 0.0, 2021-01-01 16:00:00, -6999.0
0.3, -0.864, 95.1, 1.7, 95.0, -1.0, -0.9, -4.3, -1.0, 0.0, 0.0, 2021-01-01 17:00:00, -6999.0
0.3, -1.187, 96.0, 1.7, 96.0, -2.0, -1.2, -4.3, -2.0, 0.0, 0.0, 2021-01-01 18:00:00, -6999.0
0.3, -1.108, 96.2, -1.0, 96.0, -1.0, -1.1, -1.3, -1.0, 0.0, 0.0, 2021-01-01 19:00:00, -6999.0
0.3, -0.974, 96.3, -1.0, 96.0, -2.0, -1.0, -1.3, -2.0, 0.0, 0.0, 2021-01-01 20:00:00, -6999.0
0.3, -1.045, 96.4, -1.0, 96.0, -1.0, -1.0, -1.3, -1.0, 0.0, 0.0, 2021-01-01 21:00:00, -6999.0
0.3, -0.919, 96.7, -0.9, 97.0, -1.0, -0.9, -1.3, -1.0, 0.1, 0.0, 2021-01-01 22:00:00, -6999.0
0.5, -0.801, 96.6, -0.6, 97.0, -1.0, -0.8, -1.3, -1.0, 0.2, 0.0, 2021-01-01 23:00:00, -6999.0
0.8, -0.43, 96.8, -0.4, 97.0, -1.0, -0.4, -1.3, -1.0, 0.3, 0.0, 2021-01-02 00:00:00, -6999.0
