AirTemperature,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
7.2,0.0,3.8, None,2018-04-30 00:00:00,253.0,100.0,18
7.2,0.0,4.5, None,2018-04-30 00:15:00,233.0,100.0,18
7.1,0.0,4.8, None,2018-04-30 00:30:00,234.0,100.0,18
7.1,0.0,4.6, None,2018-04-30 00:45:00,227.0,100.0,18
7.0,0.0,4.2, None,2018-04-30 01:00:00,241.0,100.0,18
6.9,0.0,4.3, None,2018-04-30 01:15:00,274.0,100.0,18
6.9,0.0,4.0, None,2018-04-30 01:30:00,265.0,100.0,18
6.9,0.0,3.6, None,2018-04-30 01:45:00,228.0,100.0,18
6.9,0.0,4.5, None,2018-04-30 02:00:00,268.0,100.0,18
6.8,0.0,3.3, None,2018-04-30 02:15:00,266.0,100.0,18
6.8,0.0,4.2, None,2018-04-30 02:30:00,275.0,100.0,18
6.8,0.0,4.1, None,2018-04-30 02:45:00,243.0,100.0,18
6.7,0.0,3.8, None,2018-04-30 03:00:00,270.0,100.0,18
6.7,0.0,3.9, None,2018-04-30 03:15:00,278.0,100.0,18
6.7,0.0,4.0, None,2018-04-30 03:30:00,245.0,100.0,18
6.7,0.0,4.2, None,2018-04-30 03:45:00,256.0,100.0,18
6.7,0.0,3.9, None,2018-04-30 04:00:00,253.0,100.0,18
6.6,0.0,3.6, None,2018-04-30 04:15:00,261.0,100.0,18
6.6,0.0,1.9, None,2018-04-30 04:30:00,277.0,100.0,18
6.6,0.0,0.0, None,2018-04-30 04:45:00,238.0,100.0,18
6.6,0.0,0.0, None,2018-04-30 05:00:00,300.0,100.0,18
6.6,0.254,0.0, None,2018-04-30 05:15:00,303.0,100.0,18
6.6,0.0,0.0, None,2018-04-30 05:30:00,301.0,100.0,18
6.7,0.0,0.0, None,2018-04-30 05:45:00,306.0,100.0,18
6.8,0.0,0.0, None,2018-04-30 06:00:00,256.0,100.0,18
6.8,0.0,0.0, None,2018-04-30 06:15:00,279.0,100.0,18
6.9,0.0,0.0, None,2018-04-30 06:30:00,250.0,100.0,18
6.9,0.0,3.0, None,2018-04-30 06:45:00,266.0,100.0,18
7.0,0.0,3.0, None,2018-04-30 07:00:00,259.0,100.0,18
7.2,0.0,2.0, None,2018-04-30 07:15:00,271.0,100.0,18
7.4,0.0,0.0, None,2018-04-30 07:30:00,269.0,100.0,18
7.8,0.0,0.0, None,2018-04-30 07:45:00,186.0,100.0,18
8.0,0.0,3.0, None,2018-04-30 08:00:00,75.0,98.0,18
8.3,0.0,2.6, None,2018-04-30 08:15:00,120.0,97.0,18
