pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None,-2.723, None,2018-01-08 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 33.07,2
None, None,-2.592, None,2018-01-08 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 33.03,2
None, None,-2.62, None,2018-01-08 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 33.37,2
None, None,-2.535, None,2018-01-08 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 34.06,2
None, None,-2.657, None,2018-01-08 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 34.48,2
None, None,-2.837, None,2018-01-08 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 34.37,2
None, None,-2.94, None,2018-01-08 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 35.53,2
None, None,-3.081, None,2018-01-08 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 36.17,2
None, None,-3.279, None,2018-01-08 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 36.2,2
None, None,-3.468, None,2018-01-08 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 36.2,2
None, None,-3.477, None,2018-01-08 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 37.12,2
None, None,-3.27, None,2018-01-08 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 37.4,2
None, None,-3.129, None,2018-01-08 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 37.68,2
None, None,-3.232, None,2018-01-08 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 38.12,2
None, None,-3.251, None,2018-01-08 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 38.83,2
None, None,-3.327, None,2018-01-08 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 39.3,2
None, None,-3.393, None,2018-01-08 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 40.47,2
None, None,-3.383, None,2018-01-08 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 41.25,2
None, None,-3.44, None,2018-01-08 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 41.81,2
