RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
90.8, None, None, None, 0.551, 321.8, 7.0, 8.9, 7.0, 845.0, None, None, None, None, None, None, None, None, 8.84, None, 17.8, None, None, 8.79, None, 8.8, 974.3, 0.0, None, 91.0,2022-07-09 00:00:00, 845.0,28
92.1, None, None, None, 0.886, 321.4, 6.0, 7.7, 6.0, 845.0, None, None, None, None, None, None, None, None, 7.667, None, 17.8, None, None, 10.6, None, 7.7, 974.3, 0.0, None, 92.0,2022-07-09 01:00:00, 845.0,28
93.2, None, None, None, 1.289, 333.1, 6.0, 6.8, 6.0, 845.0, None, None, None, None, None, None, None, None, 6.825, None, 17.8, None, None, 14.4, None, 6.8, 974.4, -0.1, None, 93.0,2022-07-09 02:00:00, 845.0,28
94.4, None, None, None, 1.683, 331.8, 5.0, 5.6, 5.0, 845.0, None, None, None, None, None, None, None, None, 5.568, None, 17.8, None, None, 11.81, None, 5.6, 974.4, -0.1, None, 94.0,2022-07-09 03:00:00, 845.0,28
95.6, None, None, None, 1.801, 334.0, 4.0, 4.9, 4.0, 846.0, None, None, None, None, None, None, None, None, 5.045, None, 17.8, None, None, 11.2, None, 5.0, 975.8, -0.1, None, 96.0,2022-07-09 04:00:00, 846.0,28
95.4, None, None, None, 1.802, 335.2, 5.0, 4.9, 5.0, 832.0, None, None, None, None, None, None, None, None, 5.804, None, 17.8, None, None, 13.19, None, 5.8, None, 0.0, None, 95.0,2022-07-09 05:00:00, 832.0,28
95.2, None, None, None, 1.521, 333.4, 6.0, 4.9, 6.0, 832.0, None, None, None, None, None, None, None, None, 6.783, None, 17.8, None, None, 16.78, None, 6.8, None, 0.0, None, 95.0,2022-07-09 06:00:00, 832.0,28
86.8, None, None, None, 0.848, 320.1, 8.0, 6.8, 8.0, 832.0, None, None, None, None, None, None, None, None, None, None, 10.4, None, None, 31.26, None, 10.6, None, 0.0, None, 87.0,2022-07-09 07:00:00, 832.0,28
58.77, None, None, None, 0.576, 96.0, 6.0, 6.8, 6.0, 832.0, None, None, None, None, None, None, None, None, 14.12, None, 14.2, None, None, 78.94, None, 14.1, 958.9, -0.5, None, 59.0,2022-07-09 08:00:00, 832.0,28
53.33, None, None, None, 2.012, 3.277, 6.0, 6.8, 6.0, 833.0, None, None, None, None, None, None, None, None, 15.41, None, 15.4, None, None, 56.37, None, 15.4, 960.0, -0.3, None, 53.0,2022-07-09 09:00:00, 833.0,28
